property_id,calculation_id,property_name,value,unit
prop_entry_Al3Sc_005_bulk,calc_entry_Al3Sc_005,bulk_modulus,155,GPa
prop_entry_Al3Sc_005_shear,calc_entry_Al3Sc_005,shear_modulus,65,GPa
prop_entry_Al3Ti_006_bulk,calc_entry_Al3Ti_006,bulk_modulus,160,GPa
prop_entry_Al3Ti_006_shear,calc_entry_Al3Ti_006,shear_modulus,70,GPa
prop_entry_Co3Al_009_bulk,calc_entry_Co3Al_009,bulk_modulus,180,GPa
prop_entry_Co3Al_009_shear,calc_entry_Co3Al_009,shear_modulus,82,GPa
prop_entry_Co3Ga_024_bulk,calc_entry_Co3Ga_024,bulk_modulus,212,GPa
prop_entry_Co3Ga_024_shear,calc_entry_Co3Ga_024,shear_modulus,55,GPa
prop_entry_Co3Ge_025_bulk,calc_entry_Co3Ge_025,bulk_modulus,218,GPa
prop_entry_Co3Ge_025_shear,calc_entry_Co3Ge_025,shear_modulus,60,GPa
prop_entry_Co3Hf_029_bulk,calc_entry_Co3Hf_029,bulk_modulus,152,GPa
prop_entry_Co3Hf_029_shear,calc_entry_Co3Hf_029,shear_modulus,80,GPa
prop_entry_Co3Mn_035_bulk,calc_entry_Co3Mn_035,bulk_modulus,188,GPa
prop_entry_Co3Mn_035_shear,calc_entry_Co3Mn_035,shear_modulus,110,GPa
prop_entry_Co3Nb_026_bulk,calc_entry_Co3Nb_026,bulk_modulus,224,GPa
prop_entry_Co3Nb_026_shear,calc_entry_Co3Nb_026,shear_modulus,65,GPa
prop_entry_Co3Sc_027_bulk,calc_entry_Co3Sc_027,bulk_modulus,140,GPa
prop_entry_Co3Sc_027_shear,calc_entry_Co3Sc_027,shear_modulus,70,GPa
prop_entry_Co3Si_030_bulk,calc_entry_Co3Si_030,bulk_modulus,158,GPa
prop_entry_Co3Si_030_shear,calc_entry_Co3Si_030,shear_modulus,85,GPa
prop_entry_Co3Sn_031_bulk,calc_entry_Co3Sn_031,bulk_modulus,164,GPa
prop_entry_Co3Sn_031_shear,calc_entry_Co3Sn_031,shear_modulus,90,GPa
prop_entry_Co3Ta_011_bulk,calc_entry_Co3Ta_011,bulk_modulus,198,GPa
prop_entry_Co3Ta_011_shear,calc_entry_Co3Ta_011,shear_modulus,86,GPa
prop_entry_Co3Ti_004_bulk,calc_entry_Co3Ti_004,bulk_modulus,190,GPa
prop_entry_Co3Ti_004_shear,calc_entry_Co3Ti_004,shear_modulus,90,GPa
prop_entry_Co3V_033_bulk,calc_entry_Co3V_033,bulk_modulus,176,GPa
prop_entry_Co3V_033_shear,calc_entry_Co3V_033,shear_modulus,100,GPa
prop_entry_Co3W_010_bulk,calc_entry_Co3W_010,bulk_modulus,200,GPa
prop_entry_Co3W_010_shear,calc_entry_Co3W_010,shear_modulus,88,GPa
prop_entry_Co3Y_028_bulk,calc_entry_Co3Y_028,bulk_modulus,146,GPa
prop_entry_Co3Y_028_shear,calc_entry_Co3Y_028,shear_modulus,75,GPa
prop_entry_Co3Zn_032_bulk,calc_entry_Co3Zn_032,bulk_modulus,170,GPa
