# Paper ref: Table (tab:gamma_prime) -- gamma' candidate ranking Top 10
# composite_score = 0.35*stability + 0.35*lattice + 0.30*bulk (Eq.(2), a_ref=3.57A)
rank,formula,lattice_a,energy_above_hull,formation_energy_per_atom,bulk_modulus,lattice_mismatch,stability_score,lattice_score,bulk_score,composite_score
1,Ni3Al,3.572,0.0,-0.42,180.0,0.002000000000000224,1.0,0.9933333333333326,0.6,0.8776666666666664
2,Co3Ti,3.55,0.0,-0.45,190.0,0.020000000000000018,1.0,0.9333333333333332,0.6333333333333333,0.8666666666666665
3,Mo3Nb,3.5858,0.0074,-0.1535,234.84,0.015800000000000036,0.852,0.9473333333333332,0.7828,0.8646066666666665
4,Cr3Ge,3.6438,0.0045,-0.0762,235.53,0.07380000000000031,0.91,0.7539999999999989,0.7851,0.8179299999999996
5,Pd3Sn,3.5403,0.0078,-0.0668,199.96,0.02970000000000006,0.8440000000000001,0.9009999999999998,0.6665333333333333,0.8107099999999999
6,Ir3Cu,3.5107,0.0014,-0.425,183.18,0.05929999999999991,0.972,0.8023333333333336,0.6106,0.8041966666666667
7,Nb3Mn,3.6074,0.0058,-0.4269,178.19,0.03740000000000032,0.884,0.8753333333333323,0.5939666666666666,0.7939566666666663
8,Nb3Ti,3.5234,0.0201,-0.3454,222.87,0.04659999999999975,0.5980000000000001,0.8446666666666675,0.7429,0.7278033333333336
9,Zr3Fe,3.6545,0.0131,-0.332,199.37,0.08450000000000024,0.738,0.7183333333333325,0.6645666666666666,0.7090866666666664
10,Pt3Ge,3.5496,0.0207,-0.4783,177.08,0.020399999999999974,0.5860000000000001,0.932,0.5902666666666667,0.70838
11,Zr3In,3.4047,0.0019,-0.3538,213.02,0.16529999999999978,0.962,0.44900000000000073,0.7100666666666667,0.7068700000000002
12,Ir3Sb,3.6699,0.0007,-0.1168,126.99,0.09990000000000032,0.986,0.6669999999999989,0.4233,0.7055399999999996
13,W3Sb,3.5624,0.0138,-0.3199,110.3,0.007600000000000051,0.724,0.9746666666666665,0.36766666666666664,0.7048333333333331
14,Ti3V,3.7022,0.0015,-0.2705,165.01,0.1322000000000001,0.97,0.559333333333333,0.5500333333333333,0.7002766666666665
15,Pd3Hf,3.6316,0.0076,-0.516,119.38,0.06160000000000032,0.848,0.7946666666666655,0.3979333333333333,0.6943133333333329
16,Co3Al,3.67,0.01,-0.36,180.0,0.10000000000000009,0.8,0.6666666666666663,0.6,0.6933333333333331
17,Ni3Ga,3.66,0.01,-0.38,165.0,0.0900000000000003,0.8,0.699999999999999,0.55,0.6899999999999996
18,Mn3Y,3.7065,0.0048,-0.2155,180.43,0.1365000000000003,0.904,0.544999999999999,0.6014333333333334,0.6875799999999996
19,Rh3Sb,3.5396,0.0239,-0.4879,183.98,0.03039999999999976,0.522,0.8986666666666675,0.6132666666666666,0.6812133333333337
20,Pd3Mg,3.4204,0.0095,-0.1737,221.21,0.14959999999999996,0.81,0.5013333333333334,0.7373666666666667,0.6801766666666667
21,V3Zr,3.4633,0.0141,-0.0389,202.65,0.10670000000000002,0.718,0.6443333333333332,0.6755,0.6794666666666666
22,Cr3Fe,3.5739,0.0365,-0.4532,238.18,0.0039000000000002366,0.27000000000000013,0.9869999999999992,0.7939333333333334,0.6781299999999997
23,Pd3Fe,3.6423,0.0257,-0.2266,241.24,0.07230000000000025,0.486,0.7589999999999991,0.8041333333333334,0.6769899999999996
24,Ag3Ta,3.6232,0.0151,-0.2045,140.92,0.05320000000000036,0.698,0.8226666666666654,0.4697333333333333,0.6731533333333328
25,Cu3Be,3.7105,0.0154,-0.0951,240.7,0.1405000000000003,0.692,0.5316666666666656,0.8023333333333333,0.6689833333333329
26,Ag3Ti,3.5642,0.0393,0.0882,245.88,0.005799999999999805,0.21399999999999997,0.9806666666666674,0.8196,0.6640133333333336
27,V3Mg,3.4313,0.0044,-0.5362,152.02,0.13870000000000005,0.912,0.5376666666666665,0.5067333333333334,0.6594033333333333
28,Ag3In,3.6729,0.0228,-0.2051,234.6,0.10289999999999999,0.544,0.657,0.782,0.65495
29,Nb3Be,3.4287,0.0112,-0.5521,194.67,0.14129999999999976,0.776,0.5290000000000008,0.6488999999999999,0.6514200000000002
30,V3Sc,3.4797,0.0155,0.0785,164.43,0.09030000000000005,0.69,0.6989999999999998,0.5481,0.6505799999999998
31,Ni3Sb,3.4852,0.0094,-0.3334,107.96,0.08479999999999999,0.812,0.7173333333333334,0.35986666666666667,0.6432266666666666
32,Rh3Zr,3.5744,0.0263,-0.5252,132.12,0.0043999999999999595,0.474,0.9853333333333335,0.4404,0.6428866666666667
33,Mn3In,3.7012,0.0216,-0.2698,239.11,0.1312000000000002,0.5680000000000001,0.562666666666666,0.7970333333333334,0.634843333333333
34,Cu3Zr,3.5751,0.0379,-0.0371,204.39,0.0051000000000001044,0.242,0.9829999999999997,0.6812999999999999,0.6331399999999998
35,Ru3V,3.4632,0.0211,0.0715,204.59,0.10679999999999978,0.5780000000000001,0.6440000000000007,0.6819666666666667,0.6322900000000002
36,Nb3Mg,3.6478,0.0296,-0.2833,225.17,0.07780000000000031,0.40800000000000003,0.7406666666666656,0.7505666666666666,0.6272033333333329
37,W3Nb,3.5425,0.0334,-0.2287,189.94,0.027499999999999858,0.3320000000000001,0.9083333333333338,0.6331333333333333,0.6240566666666668
38,Pd3Ti,3.5817,0.0272,-0.2798,116.67,0.011700000000000266,0.45600000000000007,0.9609999999999991,0.3889,0.6126199999999997
39,Nb3Ga,3.5115,0.0355,-0.2143,226.13,0.058499999999999996,0.29000000000000015,0.8049999999999999,0.7537666666666667,0.60938
40,Ti3Y,3.7548,0.016,-0.3881,230.35,0.18480000000000008,0.6799999999999999,0.3839999999999997,0.7678333333333334,0.6027499999999999
41,Nb3Hf,3.4293,0.0124,-0.1472,142.92,0.14069999999999983,0.752,0.5310000000000006,0.47639999999999993,0.5919700000000001
42,Hf3Cu,3.6166,0.0282,-0.1582,142.56,0.0466000000000002,0.43600000000000005,0.844666666666666,0.4752,0.5907933333333331
43,Mo3In,3.4764,0.0207,-0.3558,140.66,0.0935999999999999,0.5860000000000001,0.6880000000000003,0.46886666666666665,0.5865600000000001
44,Zr3Ti,3.8279,0.0006,-0.151,187.84,0.25790000000000024,0.988,0.14033333333333253,0.6261333333333333,0.5827566666666664
45,Mo3Y,3.4671,0.0321,-0.3178,225.71,0.10289999999999999,0.3580000000000001,0.657,0.7523666666666667,0.58096
46,Mo3Fe,3.7374,0.0105,-0.0707,147.67,0.16740000000000022,0.79,0.4419999999999993,0.4922333333333333,0.5788699999999997
47,Fe3Ti,3.4009,0.0064,-0.2662,119.9,0.1690999999999998,0.872,0.4363333333333339,0.39966666666666667,0.5778166666666669
48,Ti3Ga,3.4888,0.022,-0.3441,126.29,0.08119999999999994,0.56,0.7293333333333335,0.4209666666666667,0.5775566666666667
49,Nb3In,3.7488,0.0194,-0.0092,217.14,0.1788000000000003,0.612,0.403999999999999,0.7238,0.5727399999999996
50,Cr3Y,3.5385,0.0458,-0.1313,225.51,0.03149999999999986,0.08400000000000007,0.8950000000000005,0.7516999999999999,0.5681600000000001
51,Hf3Mn,3.4368,0.0255,-0.4169,201.69,0.13319999999999999,0.4900000000000001,0.556,0.6723,0.56779
52,Cr3Al,3.5666,0.082,-0.1202,219.93,0.0033999999999996255,0.0,0.9886666666666679,0.7331,0.5659633333333337
53,Zr3Cu,3.5503,0.0397,-0.4995,163.96,0.01969999999999983,0.20600000000000007,0.9343333333333339,0.5465333333333333,0.5630766666666669
54,Pt3Al,3.9,0.0,-0.55,210.0,0.33000000000000007,1.0,0,0.7,0.5599999999999999
55,Ag3Sc,4.1602,0.0007,-0.1672,212.82,0.5901999999999998,0.986,0,0.7094,0.55792
56,Cr3Zr,3.8699,0.0036,-0.0914,232.81,0.29990000000000006,0.928,0.0003333333333330746,0.7760333333333334,0.5577266666666666
57,Zr3Mg,3.7869,0.0131,-0.4297,202.24,0.21690000000000031,0.738,0.2769999999999989,0.6741333333333334,0.5574899999999996
58,Mo3Sc,3.5007,0.0404,-0.2397,220.82,0.0692999999999997,0.19200000000000006,0.769000000000001,0.7360666666666666,0.5571700000000004
59,Mo3Si,3.9871,0.0045,-0.0733,238.65,0.4171,0.91,0,0.7955,0.55715
60,Rh3Mg,4.0772,0.0032,-0.0418,226.78,0.5072000000000005,0.9359999999999999,0,0.7559333333333333,0.5543799999999999
61,Ni3Ge,3.61,0.04,-0.35,175.0,0.040000000000000036,0.20000000000000007,0.8666666666666665,0.5833333333333334,0.5483333333333332
62,Ag3Fe,3.5285,0.0344,-0.1192,135.42,0.04149999999999965,0.31200000000000006,0.8616666666666678,0.45139999999999997,0.5462033333333337
63,Co3Cu,3.7779,0.0205,-0.2329,225.4,0.20789999999999997,0.5900000000000001,0.30700000000000005,0.7513333333333333,0.53935
