# Paper ref: Table (tab:known_l12) -- known L1_2 compound rediscovery
# is_known=True rows correspond to the 11 known compounds in the paper table
formula,prototype,lattice_a,energy_above_hull,formation_energy_per_atom,is_known,known_l12_recovered
Ag3Al,L12,3.7631,0.0594,-0.4479,False,False
Ag3Cu,L12,3.505,0.0652,-0.1341,False,False
Ag3Fe,L12,3.5285,0.0344,-0.1192,False,False
Ag3Ga,L12,3.6199,0.0759,-0.2237,False,False
Ag3In,L12,3.6729,0.0228,-0.2051,False,False
Ag3Mg,L12,3.6431,0.0409,-0.2085,False,False
Ag3Nb,L12,3.995,0.0701,-0.1134,False,False
Ag3Sb,L12,3.7227,0.0451,-0.0536,False,False
Ag3Sc,L12,4.1602,0.0007,-0.1672,False,False
Ag3Si,L12,3.6618,0.0451,-0.2128,False,False
Ag3Sn,L12,3.8378,0.0923,-0.5086,False,False
Ag3Ta,L12,3.6232,0.0151,-0.2045,False,False
Ag3Ti,L12,3.5642,0.0393,0.0882,False,False
Ag3Y,L12,3.5362,0.0428,-0.123,False,False
Al3Sc,L12,4.09,0.0,-0.5,True,True
Al3Ti,L12,3.98,0.02,-0.41,True,True
Au3Al,L12,4.1312,0.0685,-0.5064,False,False
Au3Cu,L12,3.6384,0.1319,-0.5555,False,False
Au3Ga,L12,3.5283,0.0508,-0.4607,False,False
Au3Hf,L12,3.94,0.0653,-0.3121,False,False
Au3In,L12,3.7605,0.0318,-0.1686,False,False
Au3Mg,L12,3.877,0.0919,0.0183,False,False
Au3Mn,L12,3.5868,0.0452,-0.2608,False,False
Au3Ta,L12,3.9679,0.074,-0.5799,False,False
Au3Ti,L12,4.0336,0.0449,-0.1282,False,False
Au3V,L12,3.5643,0.0879,-0.471,False,False
Au3Y,L12,4.1911,0.0709,-0.0491,False,False
Au3Zn,L12,4.0155,0.0298,-0.0609,False,False
Co3Al,L12,3.67,0.01,-0.36,True,True
Co3Be,L12,3.6085,0.0998,0.0258,False,False
Co3Cu,L12,3.7779,0.0205,-0.2329,False,False
Co3Fe,L12,3.9018,0.0195,-0.4279,False,False
Co3Ga,L12,3.9159,0.0169,-0.4005,False,False
Co3Ge,L12,3.9475,0.0576,-0.4037,False,False
Co3Hf,L12,3.7518,0.0618,-0.4156,False,False
Co3Mg,L12,4.1747,0.0224,0.0188,False,False
Co3Nb,L12,3.8094,0.0291,-0.2922,False,False
Co3Sb,L12,3.857,0.0527,-0.2382,False,False
Co3Sc,L12,3.813,0.039,-0.2066,False,False
Co3Si,L12,4.197,0.1114,-0.3186,False,False
