# Paper ref: Supplementary (tab:sup_lattice_match) -- Ni3Al lattice-matched 14 candidates
# a_ref = 3.57 A (hardcoded), |da| <= 0.03 A, ROUND() for float boundary
formula,lattice_a,lattice_diff_ni3al,energy_above_hull,formation_energy_per_atom
Co3Ti,3.55,0.02,0.0,-0.45
Cu3Nb,3.56,0.01,0.004,-0.315
Cu3Sc,3.6,0.03,0.012,-0.325
Cu3Ta,3.58,0.01,0.008,-0.32
Cu3Ti,3.54,0.03,0.0,-0.31
Ni3Al,3.572,0.002,0.0,-0.42
Ni3Sn,3.54,0.03,0.028,-0.335
Ni3V,3.58,0.01,0.036,-0.345
Ni3Zn,3.56,0.01,0.032,-0.34
Ni3Zr,3.6,0.03,0.04,-0.35
Pt3Si,3.54,0.03,0.028,-0.485
Pt3Sn,3.56,0.01,0.032,-0.49
Pt3V,3.6,0.03,0.04,-0.3
Pt3Zn,3.58,0.01,0.036,-0.495
