qid,difficulty,full,no_fewshot,no_dict,no_reranker,no_guard,no_nbest,no_graph
q_easy_001,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_002,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_003,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_004,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_005,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_006,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_007,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_008,easy,1.0000,1.0000,0.9943,1.0000,1.0000,1.0000,1.0000
q_easy_009,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_010,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_011,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_012,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_013,easy,1.0000,1.0000,0.9923,1.0000,1.0000,1.0000,1.0000
q_easy_014,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_015,easy,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_016,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_017,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_018,easy,0.9617,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_019,easy,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_easy_020,easy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_001,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_002,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_003,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_004,medium,1.0000,0.4000,0.9990,0.0026,1.0000,1.0000,0.9995
q_medium_005,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_006,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_007,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_008,medium,1.0000,0.8000,1.0000,0.0588,1.0000,1.0000,1.0000
q_medium_009,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_010,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_011,medium,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_012,medium,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_013,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_014,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_015,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_016,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_017,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_018,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_019,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_020,medium,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000
q_medium_021,medium,1.0000,0.6000,0.8000,1.0000,1.0000,1.0000,1.0000
q_medium_022,medium,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_023,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_024,medium,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_025,medium,1.0000,0.8000,0.8000,0.0250,1.0000,0.8000,1.0000
q_medium_026,medium,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q_medium_027,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_028,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_029,medium,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_medium_030,medium,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_001,hard,0.0265,0.0212,0.0000,0.0265,0.0265,0.0265,0.0265
q_hard_002,hard,1.0000,0.8000,0.0000,1.0000,1.0000,1.0000,1.0000
q_hard_003,hard,1.0000,0.4000,1.0000,0.0111,1.0000,1.0000,1.0000
q_hard_004,hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_005,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_006,hard,1.0000,0.6000,0.0000,1.0000,1.0000,1.0000,1.0000
q_hard_007,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_008,hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_009,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_010,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_011,hard,1.0000,0.2000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_012,hard,1.0000,0.8000,0.7143,1.0000,1.0000,1.0000,1.0000
q_hard_013,hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_014,hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q_hard_015,hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_016,hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_017,hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_018,hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000
q_hard_019,hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_020,hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
