# Paper ref: Section 4.3.3, Supplementary S6 (tab:sup_injection_results)
# 162 candidates (stable=8, metastable=154). stability_class is authoritative (stable: Ehull<=0.001, metastable: 0.001<Ehull<=0.05)
# is_stable_legacy: original DB flag (may conflict with stability_class for 28 entries)
formula,lattice_a,energy_above_hull,formation_energy_per_atom,stability_class,is_stable_legacy
Ag3Fe,3.5285,0.0344,-0.1192,metastable,False
Ag3In,3.6729,0.0228,-0.2051,metastable,False
Ag3Mg,3.6431,0.0409,-0.2085,metastable,False
Ag3Sb,3.7227,0.0451,-0.0536,metastable,False
Ag3Sc,4.1602,0.0007,-0.1672,stable,True
Ag3Si,3.6618,0.0451,-0.2128,metastable,False
Ag3Ta,3.6232,0.0151,-0.2045,metastable,False
Ag3Ti,3.5642,0.0393,0.0882,metastable,False
Ag3Y,3.5362,0.0428,-0.123,metastable,False
Al3Sc,4.09,0.0,-0.5,stable,True
Al3Ti,3.98,0.02,-0.41,metastable,True
Au3In,3.7605,0.0318,-0.1686,metastable,False
Au3Mn,3.5868,0.0452,-0.2608,metastable,False
Au3Ti,4.0336,0.0449,-0.1282,metastable,False
Au3Zn,4.0155,0.0298,-0.0609,metastable,False
Co3Al,3.67,0.01,-0.36,metastable,True
Co3Cu,3.7779,0.0205,-0.2329,metastable,False
Co3Fe,3.9018,0.0195,-0.4279,metastable,False
Co3Ga,3.9159,0.0169,-0.4005,metastable,False
Co3Mg,4.1747,0.0224,0.0188,metastable,False
Co3Nb,3.8094,0.0291,-0.2922,metastable,False
Co3Sc,3.813,0.039,-0.2066,metastable,False
Co3Sn,3.8596,0.0218,-0.2914,metastable,False
Co3Ta,3.72,0.04,-0.34,metastable,False
Co3Ti,3.55,0.0,-0.45,stable,True
Co3W,3.74,0.05,-0.33,metastable,False
Co3Zn,4.0985,0.0191,-0.0356,metastable,False
Co3Zr,4.0116,0.0174,-0.5895,metastable,False
Cr3Fe,3.5739,0.0365,-0.4532,metastable,False
Cr3Ge,3.6438,0.0045,-0.0762,metastable,True
Cr3Sn,3.7047,0.0368,-0.1818,metastable,False
Cr3Y,3.5385,0.0458,-0.1313,metastable,False
Cr3Zr,3.8699,0.0036,-0.0914,metastable,True
Cu3Be,3.7105,0.0154,-0.0951,metastable,False
Cu3Fe,4.09,0.0483,-0.0375,metastable,False
Cu3Mn,4.1111,0.0309,-0.2547,metastable,False
Cu3Nb,3.448,0.0304,-0.1503,metastable,False
Cu3Ta,4.1846,0.0054,-0.2278,metastable,True
Cu3Y,3.9981,0.0276,-0.0054,metastable,False
Cu3Zr,3.5751,0.0379,-0.0371,metastable,False
Fe3Al,4.1442,0.0339,-0.4539,metastable,False
Fe3Be,4.1242,0.0478,0.0847,metastable,False
Fe3In,3.7769,0.0436,-0.3109,metastable,False
Fe3Nb,4.0033,0.0232,-0.4421,metastable,False
Fe3Si,4.0343,0.007,-0.501,metastable,True
