name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
CsCl,4110,Pm-3m,CsCl,2,5.181,-2.10516701780956,,0.048765620000000176
CsBr,4111,Pm-3m,CsCl,2,4.487,-1.92282628870792,,0.04143123500000012
RbCl,5151,Pm-3m,CsCl,2,5.126,-2.06957501280956,,0.06233479499999994
TlCl,5677,Pm-3m,CsCl,2,2.323,-1.15672801530956,,0.04738283500000007
KCl,5995,Pm-3m,CsCl,2,5.123,-2.06505924030956,,0.07819627750000135
ThTe,6293,Pm-3m,CsCl,2,0.0,-1.09758697166667,,0.0
SiOs,8080,Pm-3m,CsCl,2,0.0,-0.3434495625,,0.033006704535841536
NaCl,8090,Pm-3m,CsCl,2,4.237,-1.89392711323539,,0.15699969249999546
RbF,8091,Pm-3m,CsCl,2,7.051,-2.73451094456555,,0.12287070999999994
PuAs,8269,Pm-3m,CsCl,2,0.0,-0.8398461375,,0.19295059000000003
UAs,8281,Pm-3m,CsCl,2,0.0,-0.582944645,,0.13297251
CsI,8355,Pm-3m,CsCl,2,3.857,-1.62051940121416,,0.03186423666666527
SiRh,8386,Pm-3m,CsCl,2,0.0,-0.539796512500001,,0.28431601124999994
SiRu,8480,Pm-3m,CsCl,2,0.0,-0.6368062775,,0.002273607500000052
InSb,8484,Pm-3m,CsCl,2,0.0,0.1018445225,,0.23518437
InTe,8487,Pm-3m,CsCl,2,0.0,-0.0842171466666652,,0.2629089699999998
ZrPd,9972,Pm-3m,CsCl,2,0.0,-0.585041659999999,,0.06512298125000004
FeCo,10127,Pm-3m,CsCl,2,0.0,-0.0333419150000003,,0.031640219999999906
ZnCu,10128,Pm-3m,CsCl,2,0.0,-0.0905041150000003,,0.003848952233779762
USb,10323,Pm-3m,CsCl,2,0.0,-0.204518074999999,,0.02789458062500136
CdAg,10359,Pm-3m,CsCl,2,0.0,-0.0670945487500001,,0.0038324438888891615
CeAg,10361,Pm-3m,CsCl,2,0.0,-0.244193677500001,,0.0
DyAg,10365,Pm-3m,CsCl,2,0.0,-0.335554942083335,,0.0006244250000000395
NpTe,10375,Pm-3m,CsCl,2,0.0,-0.536375376041667,,0.06194636515624885
AlAu,10381,Pm-3m,CsCl,2,0.0,-0.24622367,,0.14938112625
CeAl,10401,Pm-3m,CsCl,2,0.0,-0.31812355375,,0.06004809499999997
AlCo,10411,Pm-3m,CsCl,2,0.0,-0.610342165,,0.003813699999999809
DyAl,10445,Pm-3m,CsCl,2,0.0,-0.395507823333335,,0.02122244624999997
AlIr,10480,Pm-3m,CsCl,2,0.0,-0.946320085,,4.67000000003992e-06
