name,entry_id,spacegroup,prototype,ntypes,band_gap,delta_e,volume_pa,stability
U3Si,5216,Pm-3m,AuCu3,2,0.0,-0.219170015000001,,0.023807571249999993
FeNi3,7241,Pm-3m,AuCu3,2,0.0,-0.0890992900000001,,0.0
Cu3Au,7246,Pm-3m,AuCu3,2,0.0,-0.0412270774999999,,0.0
FePt3,7825,Pm-3m,AuCu3,2,0.0,-0.200583625,,0.0008124793750001191
Pd3Pb,7834,Pm-3m,AuCu3,2,0.0,-0.29965135,,0.0028342850000000475
UGe3,10071,Pm-3m,AuCu3,2,0.0,-0.320288290000001,,0.00032632249999992036
InPt3,10118,Pm-3m,AuCu3,2,0.0,-0.369872787499999,,0.0008256925000006965
FeIr3,10122,Pm-3m,AuCu3,2,0.0,-0.0038499699999992,,0.0584880749999996
CuAu3,10123,Pm-3m,AuCu3,2,0.0,-0.0243849549999999,,0.009315249999999806
NpGe3,10307,Pm-3m,AuCu3,2,0.0,-0.218187575937501,,7.20825000000147e-05
DyAl3,10447,Pm-3m,AuCu3,2,0.0,-0.420638754166667,,0.010979616250000379
ErAl3,10454,Pm-3m,AuCu3,2,0.0,-0.416281587499999,,0.0032692955000009905
HoAl3,10477,Pm-3m,AuCu3,2,0.0,-0.419251880833333,,0.005378295500000019
LiAl3,10489,Pm-3m,AuCu3,2,0.0,-0.0996664275000003,,0.0
LuAl3,10494,Pm-3m,AuCu3,2,0.0,-0.39538211875,,0.0
NpAl3,10537,Pm-3m,AuCu3,2,0.0,-0.0962618446875005,,0.021344041874999525
Sm3Al,10543,Pm-3m,AuCu3,2,0.0,-0.175866360624999,,0.026554935000001223
Pr3Al,10559,Pm-3m,AuCu3,2,0.0,-0.166174865625001,,0.028732548749999004
PrAl3,10560,Pm-3m,AuCu3,2,0.0,-0.347826496875,,0.097520785000001
PuAl3,10570,Pm-3m,AuCu3,2,0.0,-0.266834425,,0.02243226875000004
Tb3Al,10587,Pm-3m,AuCu3,2,0.0,0.306674928999997,,0.42026861270833116
TmAl3,10601,Pm-3m,AuCu3,2,0.0,-0.40951589,,0.0014805220000000952
UAl3,10602,Pm-3m,AuCu3,2,0.0,-0.12081020625,,0.026805794374999498
Y3Al,10611,Pm-3m,AuCu3,2,0.0,-0.18682277125,,0.04984421687500026
YAl3,10614,Pm-3m,AuCu3,2,0.0,-0.421757358750001,,0.017147111250000013
YbAl3,10618,Pm-3m,AuCu3,2,0.0,-0.1729807925,,0.09094823249999992
InAg3,10638,Pm-3m,AuCu3,2,0.0,-0.0397650981250002,,0.017789788750000007
MgAg3,10655,Pm-3m,AuCu3,2,0.0,-0.165356150416668,,0.008916323749998983
AgPt3,10664,Pm-3m,AuCu3,2,0.0,0.0274021581250006,,0.05142231083333414
TmAg3,10680,Pm-3m,AuCu3,2,0.0,-0.125486840625,,0.15238744
LiAu3,10769,Pm-3m,AuCu3,2,0.0,-0.36872929,,0.0
Ti3Au,10814,Pm-3m,AuCu3,2,0.0,-0.276160747839699,,0.13281844249999997
V3Au,10819,P4/mmm,AuCu3,2,0.0,0.0804060999999994,,0.13752365905222858
SrBi3,10964,Pm-3m,AuCu3,2,0.0,-0.44967529625,,0.0018897949999996944
Ca3Pb,10999,Pm-3m,AuCu3,2,0.0,-0.3912271775,,0.03392165562500049
CaSn3,11003,Pm-3m,AuCu3,2,0.0,-0.463820795138401,,0.0005862650000008074
CaTl3,11006,Pm-3m,AuCu3,2,0.0,-0.23969722125,,0.0
Nd3In,11110,Pm-3m,AuCu3,2,0.0,-0.285892273750001,,0.00024211499999976516
NdIn3,11111,Pm-3m,AuCu3,2,0.0,-0.47815616625,,0.0022322249999999766
InNi3,11117,Pm-3m,AuCu3,2,0.0,-0.0652887424999999,,0.03791163000000024
Pr3In,11138,Pm-3m,AuCu3,2,0.0,-0.287017153125,,5.189999999999362e-05
PrIn3,11139,Pm-3m,AuCu3,2,0.0,-0.482026354375,,0.0009788025000004308
Pu3In,11150,Pm-3m,AuCu3,2,0.0,-0.0343495699999998,,0.0670849300000002
