calculation_id,entry_id,method,functional,calculation_type
calc_entry_Ni3Al_001,entry_Ni3Al_001,DFT,PBE,static
calc_entry_Ni3Ga_002,entry_Ni3Ga_002,DFT,PBE,static
calc_entry_Ni3Ge_003,entry_Ni3Ge_003,DFT,PBE,static
calc_entry_Co3Ti_004,entry_Co3Ti_004,DFT,PBE,static
calc_entry_Al3Sc_005,entry_Al3Sc_005,DFT,PBE,static
calc_entry_Al3Ti_006,entry_Al3Ti_006,DFT,PBE,static
calc_entry_Pt3Al_007,entry_Pt3Al_007,DFT,PBE,static
calc_entry_Ir3Nb_008,entry_Ir3Nb_008,DFT,PBE,static
calc_entry_Co3Al_009,entry_Co3Al_009,DFT,PBE,static
calc_entry_Co3W_010,entry_Co3W_010,DFT,PBE,static
calc_entry_Co3Ta_011,entry_Co3Ta_011,DFT,PBE,static
calc_entry_Ni3Ti_012,entry_Ni3Ti_012,DFT,PBE,static
calc_entry_Ni3Nb_013,entry_Ni3Nb_013,DFT,PBE,static
calc_entry_Ni3Ta_014,entry_Ni3Ta_014,DFT,PBE,static
calc_entry_Ni3Sc_015,entry_Ni3Sc_015,DFT,PBE,static
calc_entry_Ni3Y_016,entry_Ni3Y_016,DFT,PBE,static
calc_entry_Ni3Hf_017,entry_Ni3Hf_017,DFT,PBE,static
calc_entry_Ni3Si_018,entry_Ni3Si_018,DFT,PBE,static
calc_entry_Ni3Sn_019,entry_Ni3Sn_019,DFT,PBE,static
calc_entry_Ni3Zn_020,entry_Ni3Zn_020,DFT,PBE,static
calc_entry_Ni3V_021,entry_Ni3V_021,DFT,PBE,static
calc_entry_Ni3Zr_022,entry_Ni3Zr_022,DFT,PBE,static
calc_entry_Ni3Mn_023,entry_Ni3Mn_023,DFT,PBE,static
calc_entry_Co3Ga_024,entry_Co3Ga_024,DFT,PBE,static
calc_entry_Co3Ge_025,entry_Co3Ge_025,DFT,PBE,static
calc_entry_Co3Nb_026,entry_Co3Nb_026,DFT,PBE,static
calc_entry_Co3Sc_027,entry_Co3Sc_027,DFT,PBE,static
calc_entry_Co3Y_028,entry_Co3Y_028,DFT,PBE,static
calc_entry_Co3Hf_029,entry_Co3Hf_029,DFT,PBE,static
calc_entry_Co3Si_030,entry_Co3Si_030,DFT,PBE,static
calc_entry_Co3Sn_031,entry_Co3Sn_031,DFT,PBE,static
calc_entry_Co3Zn_032,entry_Co3Zn_032,DFT,PBE,static
calc_entry_Co3V_033,entry_Co3V_033,DFT,PBE,static
calc_entry_Co3Zr_034,entry_Co3Zr_034,DFT,PBE,static
calc_entry_Co3Mn_035,entry_Co3Mn_035,DFT,PBE,static
calc_entry_Fe3Al_036,entry_Fe3Al_036,DFT,PBE,static
calc_entry_Fe3Ga_037,entry_Fe3Ga_037,DFT,PBE,static
calc_entry_Fe3Ge_038,entry_Fe3Ge_038,DFT,PBE,static
calc_entry_Fe3Ti_039,entry_Fe3Ti_039,DFT,PBE,static
calc_entry_Fe3Nb_040,entry_Fe3Nb_040,DFT,PBE,static
calc_entry_Fe3Ta_041,entry_Fe3Ta_041,DFT,PBE,static
calc_entry_Fe3Sc_042,entry_Fe3Sc_042,DFT,PBE,static
calc_entry_Fe3Y_043,entry_Fe3Y_043,DFT,PBE,static
calc_entry_Fe3Hf_044,entry_Fe3Hf_044,DFT,PBE,static
calc_entry_Fe3Si_045,entry_Fe3Si_045,DFT,PBE,static
calc_entry_Fe3Sn_046,entry_Fe3Sn_046,DFT,PBE,static
calc_entry_Fe3Zn_047,entry_Fe3Zn_047,DFT,PBE,static
calc_entry_Fe3V_048,entry_Fe3V_048,DFT,PBE,static
calc_entry_Fe3Zr_049,entry_Fe3Zr_049,DFT,PBE,static
calc_entry_Fe3Mn_050,entry_Fe3Mn_050,DFT,PBE,static
calc_entry_Cu3Al_051,entry_Cu3Al_051,DFT,PBE,static
calc_entry_Cu3Ga_052,entry_Cu3Ga_052,DFT,PBE,static
calc_entry_Cu3Ge_053,entry_Cu3Ge_053,DFT,PBE,static
calc_entry_Cu3Ti_054,entry_Cu3Ti_054,DFT,PBE,static
calc_entry_Cu3Nb_055,entry_Cu3Nb_055,DFT,PBE,static
calc_entry_Cu3Ta_056,entry_Cu3Ta_056,DFT,PBE,static
calc_entry_Cu3Sc_057,entry_Cu3Sc_057,DFT,PBE,static
calc_entry_Cu3Y_058,entry_Cu3Y_058,DFT,PBE,static
calc_entry_Cu3Hf_059,entry_Cu3Hf_059,DFT,PBE,static
