composition_id,entry_id,element,atomic_fraction,site_label
comp_entry_Ni3Al_001_A,entry_Ni3Al_001,Ni,0.75,A
comp_entry_Ni3Al_001_B,entry_Ni3Al_001,Al,0.25,B
comp_entry_Ni3Ga_002_A,entry_Ni3Ga_002,Ni,0.75,A
comp_entry_Ni3Ga_002_B,entry_Ni3Ga_002,Ga,0.25,B
comp_entry_Ni3Ge_003_A,entry_Ni3Ge_003,Ni,0.75,A
comp_entry_Ni3Ge_003_B,entry_Ni3Ge_003,Ge,0.25,B
comp_entry_Co3Ti_004_A,entry_Co3Ti_004,Co,0.75,A
comp_entry_Co3Ti_004_B,entry_Co3Ti_004,Ti,0.25,B
comp_entry_Al3Sc_005_A,entry_Al3Sc_005,Al,0.75,A
comp_entry_Al3Sc_005_B,entry_Al3Sc_005,Sc,0.25,B
comp_entry_Al3Ti_006_A,entry_Al3Ti_006,Al,0.75,A
comp_entry_Al3Ti_006_B,entry_Al3Ti_006,Ti,0.25,B
comp_entry_Pt3Al_007_A,entry_Pt3Al_007,Pt,0.75,A
comp_entry_Pt3Al_007_B,entry_Pt3Al_007,Al,0.25,B
comp_entry_Ir3Nb_008_A,entry_Ir3Nb_008,Ir,0.75,A
comp_entry_Ir3Nb_008_B,entry_Ir3Nb_008,Nb,0.25,B
comp_entry_Co3Al_009_A,entry_Co3Al_009,Co,0.75,A
comp_entry_Co3Al_009_B,entry_Co3Al_009,Al,0.25,B
comp_entry_Co3W_010_A,entry_Co3W_010,Co,0.75,A
comp_entry_Co3W_010_B,entry_Co3W_010,W,0.25,B
comp_entry_Co3Ta_011_A,entry_Co3Ta_011,Co,0.75,A
comp_entry_Co3Ta_011_B,entry_Co3Ta_011,Ta,0.25,B
comp_entry_Ni3Ti_012_A,entry_Ni3Ti_012,Ni,0.75,A
comp_entry_Ni3Ti_012_B,entry_Ni3Ti_012,Ti,0.25,B
comp_entry_Ni3Nb_013_A,entry_Ni3Nb_013,Ni,0.75,A
comp_entry_Ni3Nb_013_B,entry_Ni3Nb_013,Nb,0.25,B
comp_entry_Ni3Ta_014_A,entry_Ni3Ta_014,Ni,0.75,A
comp_entry_Ni3Ta_014_B,entry_Ni3Ta_014,Ta,0.25,B
comp_entry_Ni3Sc_015_A,entry_Ni3Sc_015,Ni,0.75,A
comp_entry_Ni3Sc_015_B,entry_Ni3Sc_015,Sc,0.25,B
comp_entry_Ni3Y_016_A,entry_Ni3Y_016,Ni,0.75,A
comp_entry_Ni3Y_016_B,entry_Ni3Y_016,Y,0.25,B
comp_entry_Ni3Hf_017_A,entry_Ni3Hf_017,Ni,0.75,A
comp_entry_Ni3Hf_017_B,entry_Ni3Hf_017,Hf,0.25,B
comp_entry_Ni3Si_018_A,entry_Ni3Si_018,Ni,0.75,A
comp_entry_Ni3Si_018_B,entry_Ni3Si_018,Si,0.25,B
comp_entry_Ni3Sn_019_A,entry_Ni3Sn_019,Ni,0.75,A
comp_entry_Ni3Sn_019_B,entry_Ni3Sn_019,Sn,0.25,B
comp_entry_Ni3Zn_020_A,entry_Ni3Zn_020,Ni,0.75,A
comp_entry_Ni3Zn_020_B,entry_Ni3Zn_020,Zn,0.25,B
comp_entry_Ni3V_021_A,entry_Ni3V_021,Ni,0.75,A
comp_entry_Ni3V_021_B,entry_Ni3V_021,V,0.25,B
comp_entry_Ni3Zr_022_A,entry_Ni3Zr_022,Ni,0.75,A
comp_entry_Ni3Zr_022_B,entry_Ni3Zr_022,Zr,0.25,B
comp_entry_Ni3Mn_023_A,entry_Ni3Mn_023,Ni,0.75,A
comp_entry_Ni3Mn_023_B,entry_Ni3Mn_023,Mn,0.25,B
comp_entry_Co3Ga_024_A,entry_Co3Ga_024,Co,0.75,A
comp_entry_Co3Ga_024_B,entry_Co3Ga_024,Ga,0.25,B
comp_entry_Co3Ge_025_A,entry_Co3Ge_025,Co,0.75,A
comp_entry_Co3Ge_025_B,entry_Co3Ge_025,Ge,0.25,B
comp_entry_Co3Nb_026_A,entry_Co3Nb_026,Co,0.75,A
comp_entry_Co3Nb_026_B,entry_Co3Nb_026,Nb,0.25,B
comp_entry_Co3Sc_027_A,entry_Co3Sc_027,Co,0.75,A
comp_entry_Co3Sc_027_B,entry_Co3Sc_027,Sc,0.25,B
comp_entry_Co3Y_028_A,entry_Co3Y_028,Co,0.75,A
comp_entry_Co3Y_028_B,entry_Co3Y_028,Y,0.25,B
comp_entry_Co3Hf_029_A,entry_Co3Hf_029,Co,0.75,A
comp_entry_Co3Hf_029_B,entry_Co3Hf_029,Hf,0.25,B
comp_entry_Co3Si_030_A,entry_Co3Si_030,Co,0.75,A
comp_entry_Co3Si_030_B,entry_Co3Si_030,Si,0.25,B
comp_entry_Co3Sn_031_A,entry_Co3Sn_031,Co,0.75,A
comp_entry_Co3Sn_031_B,entry_Co3Sn_031,Sn,0.25,B
comp_entry_Co3Zn_032_A,entry_Co3Zn_032,Co,0.75,A
comp_entry_Co3Zn_032_B,entry_Co3Zn_032,Zn,0.25,B
comp_entry_Co3V_033_A,entry_Co3V_033,Co,0.75,A
comp_entry_Co3V_033_B,entry_Co3V_033,V,0.25,B
comp_entry_Co3Zr_034_A,entry_Co3Zr_034,Co,0.75,A
comp_entry_Co3Zr_034_B,entry_Co3Zr_034,Zr,0.25,B
comp_entry_Co3Mn_035_A,entry_Co3Mn_035,Co,0.75,A
comp_entry_Co3Mn_035_B,entry_Co3Mn_035,Mn,0.25,B
comp_entry_Fe3Al_036_A,entry_Fe3Al_036,Fe,0.75,A
comp_entry_Fe3Al_036_B,entry_Fe3Al_036,Al,0.25,B
comp_entry_Fe3Ga_037_A,entry_Fe3Ga_037,Fe,0.75,A
comp_entry_Fe3Ga_037_B,entry_Fe3Ga_037,Ga,0.25,B
comp_entry_Fe3Ge_038_A,entry_Fe3Ge_038,Fe,0.75,A
comp_entry_Fe3Ge_038_B,entry_Fe3Ge_038,Ge,0.25,B
comp_entry_Fe3Ti_039_A,entry_Fe3Ti_039,Fe,0.75,A
comp_entry_Fe3Ti_039_B,entry_Fe3Ti_039,Ti,0.25,B
comp_entry_Fe3Nb_040_A,entry_Fe3Nb_040,Fe,0.75,A
comp_entry_Fe3Nb_040_B,entry_Fe3Nb_040,Nb,0.25,B
comp_entry_Fe3Ta_041_A,entry_Fe3Ta_041,Fe,0.75,A
comp_entry_Fe3Ta_041_B,entry_Fe3Ta_041,Ta,0.25,B
comp_entry_Fe3Sc_042_A,entry_Fe3Sc_042,Fe,0.75,A
comp_entry_Fe3Sc_042_B,entry_Fe3Sc_042,Sc,0.25,B
comp_entry_Fe3Y_043_A,entry_Fe3Y_043,Fe,0.75,A
comp_entry_Fe3Y_043_B,entry_Fe3Y_043,Y,0.25,B
comp_entry_Fe3Hf_044_A,entry_Fe3Hf_044,Fe,0.75,A
comp_entry_Fe3Hf_044_B,entry_Fe3Hf_044,Hf,0.25,B
comp_entry_Fe3Si_045_A,entry_Fe3Si_045,Fe,0.75,A
comp_entry_Fe3Si_045_B,entry_Fe3Si_045,Si,0.25,B
comp_entry_Fe3Sn_046_A,entry_Fe3Sn_046,Fe,0.75,A
comp_entry_Fe3Sn_046_B,entry_Fe3Sn_046,Sn,0.25,B
comp_entry_Fe3Zn_047_A,entry_Fe3Zn_047,Fe,0.75,A
comp_entry_Fe3Zn_047_B,entry_Fe3Zn_047,Zn,0.25,B
comp_entry_Fe3V_048_A,entry_Fe3V_048,Fe,0.75,A
comp_entry_Fe3V_048_B,entry_Fe3V_048,V,0.25,B
comp_entry_Fe3Zr_049_A,entry_Fe3Zr_049,Fe,0.75,A
comp_entry_Fe3Zr_049_B,entry_Fe3Zr_049,Zr,0.25,B
comp_entry_Fe3Mn_050_A,entry_Fe3Mn_050,Fe,0.75,A
comp_entry_Fe3Mn_050_B,entry_Fe3Mn_050,Mn,0.25,B
comp_entry_Cu3Al_051_A,entry_Cu3Al_051,Cu,0.75,A
comp_entry_Cu3Al_051_B,entry_Cu3Al_051,Al,0.25,B
comp_entry_Cu3Ga_052_A,entry_Cu3Ga_052,Cu,0.75,A
