x_Al,a_Taylor_Doyle_A,a_MACE_A,delta_A,Vbar_Taylor_Doyle_A3,Vbar_MACE_A3
0.4085,2.8777,2.8639,-0.0138,11.903,11.744
0.4328,2.8728,2.8691,-0.0037,11.89,11.808
0.4404,2.8735,2.8707,-0.0028,11.869,11.829
0.4517,2.8762,2.8732,-0.003,11.897,11.86
0.4595,2.8782,2.875,-0.0032,11.939,11.882
0.483,2.8833,2.8795,-0.0038,12.009,11.938
0.4988,2.8866,2.8821,-0.0045,12.062,11.97
0.5015,2.8863,2.8819,-0.0044,12.089,12.004
0.502,2.8869,2.8817,-0.0052,12.103,12.013
0.504,2.8859,2.881,-0.0049,12.176,12.052
0.522,2.8771,2.8731,-0.004,12.404,12.38
0.527,2.8739,2.871,-0.0029,12.539,12.471
0.5292,2.874,2.87,-0.004,,12.51
0.54,2.8672,2.865,-0.0022,12.775,12.7
0.5471,2.8652,2.8625,-0.0027,12.945,12.832
