x_Al_target,branch,x_Al,Ef,Efstd,a,V,n,n_atoms,G_1273K,Gstd_1273K,minus_T_S_1273K,G_1473K,Gstd_1473K,minus_T_S_1473K,delta_Ef_0K_all_eV,delta_G_1273K_0K_all_eV,delta_G_1473K_0K_all_eV,delta_Ef_1273K_eV,delta_G_1273K_1273K_eV,delta_G_1473K_1273K_eV,delta_Ef_1473K_eV,delta_G_1273K_1473K_eV,delta_G_1473K_1473K_eV
0.2,antisite,0.203125,-0.34223352974931515,0.009255186533769789,2.8188824226235716,11.19956880906826,3,128,-0.37731850041051745,0.009255186533769789,-0.0350849706612022,-0.3828306717634164,0.009255186533769789,-0.040597142014101195,0.04481733318146225,0.00973236252025994,0.004220191167360998,0.04481733318146225,0.00973236252025994,0.004220191167360998,0.04481733318146225,0.00973236252025994,0.004220191167360998
0.3,antisite,0.296875,-0.4767289336948837,0.007277341655830247,2.8386530856212295,11.436875966831366,3,128,-0.511813904356086,0.0072773416558302205,-0.03508497066120223,-0.5173260757089849,0.007277341655830274,-0.040597142014101216,0.04773392106640012,0.012648950405197867,0.007136779052298925,0.04007510980245549,0.004990139141253236,-0.0005220322116457066,0.04007510980245549,0.004990139141253236,-0.0005220322116457066
0.4,antisite,0.398438,-0.6054500352371793,0.0035656623021160447,2.8616692228029836,11.717322304603771,3,128,-0.6313375828668599,0.0035656623021160447,-0.025887547629680596,-0.635404754529025,0.0035656623021160447,-0.029954719291845677,0.01555490869355547,-0.010332638936125127,-0.014399810598290208,-0.0010391006843377681,-0.026926648314018364,-0.030993819976183445,-0.0010391006843377681,-0.026926648314018364,-0.030993819976183445
0.42,antisite,0.421875,-0.6285439282826588,0.0029351064004903794,2.866759839826422,11.779965592238321,3,128,-0.6506067909168868,0.0029351064004903794,-0.022062862634227964,-0.6540730694140161,0.0029351064004903794,-0.02552914113135729,0.00884813574647969,-0.013214726887748274,-0.0166810053848776,-0.003916549693428029,-0.025979412327655993,-0.02944569082478532,-0.003916549693428029,-0.025979412327655993,-0.02944569082478532
0.44,antisite,0.4375,-0.645033630520888,0.001997755969776731,2.8700386745529607,11.820430220285012,3,128,-0.664068745895389,0.001997755969776731,-0.019035115374501088,-0.6670593374703304,0.001997755969776731,-0.022025706949442392,0.0032834133067554117,-0.015751702067745565,-0.01874229364268698,-0.006928335045170764,-0.02596345041967174,-0.028954041994613156,-0.006928335045170764,-0.02596345041967174,-0.028954041994613156
0.46,antisite,0.460938,-0.6653480530702508,0.0010638210580355756,2.8753137174493006,11.885725989542898,3,128,-0.6789291566492185,0.0010638210580355756,-0.01358110357896769,-0.6810628728438717,0.0010638210580355756,-0.01571481977362088,-0.0006431899454965029,-0.014224293524464193,-0.016358009719117383,-0.007025450971463454,-0.020606554550431144,-0.022740270745084334,-0.007025450971463454,-0.020606554550431144,-0.022740270745084334
0.47,antisite,0.46875,-0.672537568054682,0.000505110747550373,2.877044279734788,11.907199864678525,3,128,-0.6839890551423659,0.000505110747550373,-0.011451487087683954,-0.6857881890131724,0.000505110747550373,-0.0132506209584905,-0.0023705646300288263,-0.013822051717712669,-0.015621185588519215,-0.007476438805991914,-0.018927925893675757,-0.020727059764482303,-0.007476438805991914,-0.018927925893675757,-0.020727059764482303
0.48,antisite,0.476562,-0.6780291586959551,0.0004526701708312192,2.879032256507261,11.931899824155975,3,128,-0.6871456246905888,0.0004526701708312192,-0.009116465994633671,-0.6885779052867607,0.0004526701708312192,-0.010548746590805402,-0.002400014971403075,-0.011516480966036746,-0.012948761562208588,-0.006229502297362188,-0.01534596829199586,-0.0167782488881677,-0.006229502297362188,-0.01534596829199586,-0.0167782488881677
0.49,antisite,0.492188,-0.6876297365556603,5.20740757162067e-16,2.8802109200403287,11.946560374963425,3,128,-0.6911939855387755,5.147892387644517e-16,-0.003564248983115359,-0.6917539618126352,5.20740757162067e-16,-0.004124225256974867,-0.0010749138338961295,-0.0046391628170113774,-0.005199139090870997,-0.002351300683900104,-0.005915549667015352,-0.006475525940874971,-0.002351300683900104,-0.005915549667015352,-0.006475525940874971
0.51,antisite,0.507812,-0.679512586274579,1.3597399555105183e-15,2.886360992170791,12.023251845678487,3,128,-0.6830768352576945,1.3574718305694992e-15,-0.003564248983115359,-0.6836368115315539,1.3597399555105183e-15,-0.004124225256974867,0.0078515819181737,0.00428733293505823,0.003727356661198833,0.007555247519626218,0.003990998536510748,0.003431022262651351,0.0016923037168334876,-0.0018719452662819824,-0.0024319215401413796
