x_Al_target,x_Al,branch,seed,defect_kind,n_defect,E_perfect_eV,E_defect_eV,deltaE_per_defect_eV,dE_total_eV,dNi,dAl,n_atoms,n_sites
0.2,0.203125,antisite,0,Ni_antisite_on_Al,38,-694.0398846214761,-725.7373388610274,1.1693145465097552,-31.697454239551348,38,-38,128,128
0.2,0.203125,antisite,1,Ni_antisite_on_Al,38,-694.0398846214761,-724.0816916112697,1.2128842109770643,-30.0418069897936,38,-38,128,128
0.2,0.203125,antisite,2,Ni_antisite_on_Al,38,-694.0398846214761,-726.3773059698254,1.1524733068045439,-32.33742134834938,38,-38,128,128
0.3,0.296875,antisite,0,Ni_antisite_on_Al,26,-694.0398846214761,-719.4697033391535,1.0253881284496247,-25.42981871767745,26,-26,128,128
0.3,0.296875,antisite,1,Ni_antisite_on_Al,26,-694.0398846214761,-717.6101595108345,1.0969090449234336,-23.570274889358416,26,-26,128,128
0.3,0.296875,antisite,2,Ni_antisite_on_Al,26,-694.0398846214761,-718.63815471535,1.057370767826684,-24.598270093873907,26,-26,128,128
0.4,0.398438,antisite,0,Ni_antisite_on_Al,13,-694.0398846214761,-709.2607267608106,0.8326240684114853,-15.220842139334536,13,-13,128,128
0.4,0.398438,antisite,1,Ni_antisite_on_Al,13,-694.0398846214761,-708.4770424135857,0.8929074797364813,-14.437157792109588,13,-13,128,128
0.4,0.398438,antisite,2,Ni_antisite_on_Al,13,-694.0398846214761,-709.2742178919771,0.8315862890909883,-15.234333270500997,13,-13,128,128
0.6,0.601562,antisite,0,Al_antisite_on_Ni,13,-694.0398846214761,-646.9915236126636,1.6156466138560455,47.048361008812435,-13,13,128,128
0.6,0.601562,antisite,1,Al_antisite_on_Ni,13,-694.0398846214761,-647.3651012899271,1.586909869451162,46.67478333154895,-13,13,128,128
0.6,0.601562,antisite,2,Al_antisite_on_Ni,13,-694.0398846214761,-647.5515548589092,1.5725672872217717,46.48832976256688,-13,13,128,128
0.7,0.703125,antisite,0,Al_antisite_on_Ni,26,-694.0398846214761,-605.4340704171885,1.4044578518046091,88.60581420428753,-26,26,128,128
0.7,0.703125,antisite,1,Al_antisite_on_Ni,26,-694.0398846214761,-605.4275240782837,1.4047096340701803,88.61236054319238,-26,26,128,128
0.8,0.796875,antisite,0,Al_antisite_on_Ni,38,-694.0398846214761,-565.9910151266454,1.366249012839701,128.04886949483068,-38,38,128,128
0.8,0.796875,antisite,2,Al_antisite_on_Ni,38,-694.0398846214761,-565.7850108418237,1.3716701782297454,128.25487377965237,-38,38,128,128
0.42,0.421875,antisite,0,Ni_antisite_on_Al,10,-694.0398846214761,-706.2050669539711,0.7869398458800191,-12.165182332495078,10,-10,128,128
0.42,0.418182,vacancy,0,Al_vacancy,18,-694.0398846214761,-593.9747336401927,1.8307378573485806,100.06515098128341,0,-18,110,128
0.42,0.421875,antisite,1,Ni_antisite_on_Al,10,-694.0398846214761,-706.1255815581317,0.7948883854639661,-12.085696936655609,10,-10,128,128
0.42,0.418182,vacancy,1,Al_vacancy,18,-694.0398846214761,-592.5398937918591,1.9104511822560017,101.49999082961699,0,-18,110,128
0.42,0.421875,antisite,2,Ni_antisite_on_Al,10,-694.0398846214761,-705.5182549857639,0.8556210427007471,-11.478370364287798,10,-10,128,128
0.42,0.418182,vacancy,2,Al_vacancy,18,-694.0398846214761,-592.6983770569891,1.9016465564154446,101.34150756448696,0,-18,110,128
0.44,0.4375,antisite,0,Ni_antisite_on_Al,8,-694.0398846214761,-704.1108268714737,0.7445902978798218,-10.070942249997643,8,-8,128,128
0.44,0.438596,vacancy,0,Al_vacancy,14,-694.0398846214761,-614.2091715956337,1.9737565903930023,79.83071302584233,0,-14,114,128
