path,n_Ni_sublattice,n_defect_sublattice,c_defect,n_1nn_pairs,n_defect_defect_pairs,alpha_1nn_WC,a_eff_A,structure_id,branch,x_Al_target,seed
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.542_vacNi_alrich_smooth_4x4x4_s0.extxyz,40,24,0.375,192,28,-0.0370370370370372,2.8639814133424717,b2_x0.542_vacNi_alrich_smooth_4x4x4_s0.extxyz,vacancy,0.542,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.542_vacNi_alrich_smooth_4x4x4_s1.extxyz,33,31,0.484375,192,53,-0.17655220256677073,2.864169882693416,b2_x0.542_vacNi_alrich_smooth_4x4x4_s1.extxyz,vacancy,0.542,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.542_vacNi_alrich_smooth_4x4x4_s2.extxyz,36,28,0.4375,192,40,-0.08843537414965996,2.863961168764456,b2_x0.542_vacNi_alrich_smooth_4x4x4_s2.extxyz,vacancy,0.542,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.547_vacNi_alrich_smooth_4x4x4_s0.extxyz,29,35,0.546875,192,67,-0.1668027210884353,2.861696549435269,b2_x0.547_vacNi_alrich_smooth_4x4x4_s0.extxyz,vacancy,0.547,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.547_vacNi_alrich_smooth_4x4x4_s1.extxyz,37,27,0.421875,192,40,-0.17055326931870152,2.862404993072255,b2_x0.547_vacNi_alrich_smooth_4x4x4_s1.extxyz,vacancy,0.547,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.547_vacNi_alrich_smooth_4x4x4_s2.extxyz,34,30,0.46875,192,44,-0.04296296296296287,2.863581246725658,b2_x0.547_vacNi_alrich_smooth_4x4x4_s2.extxyz,vacancy,0.547,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.552_vacNi_alrich_smooth_4x4x4_s0.extxyz,40,24,0.375,192,32,-0.18518518518518512,2.8606748199900345,b2_x0.552_vacNi_alrich_smooth_4x4x4_s0.extxyz,vacancy,0.552,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.552_vacNi_alrich_smooth_4x4x4_s1.extxyz,37,27,0.421875,192,34,0.005029721079103711,2.8600579599909715,b2_x0.552_vacNi_alrich_smooth_4x4x4_s1.extxyz,vacancy,0.552,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.552_vacNi_alrich_smooth_4x4x4_s2.extxyz,36,28,0.4375,192,40,-0.08843537414965996,2.8593015903298133,b2_x0.552_vacNi_alrich_smooth_4x4x4_s2.extxyz,vacancy,0.552,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.557_vacNi_alrich_smooth_4x4x4_s0.extxyz,31,33,0.515625,192,53,-0.03826140189776561,2.8582491919077975,b2_x0.557_vacNi_alrich_smooth_4x4x4_s0.extxyz,vacancy,0.557,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.557_vacNi_alrich_smooth_4x4x4_s1.extxyz,31,33,0.515625,192,55,-0.07744107744107742,2.858799394662095,b2_x0.557_vacNi_alrich_smooth_4x4x4_s1.extxyz,vacancy,0.557,1
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.557_vacNi_alrich_smooth_4x4x4_s2.extxyz,34,30,0.46875,192,43,-0.01925925925925931,2.8581994608573553,b2_x0.557_vacNi_alrich_smooth_4x4x4_s2.extxyz,vacancy,0.557,2
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.610_antisiteAl_dense_s0.extxyz,33,31,0.484375,144,37,-0.09515550930743433,2.950849585068822,b2_x0.610_antisiteAl_dense_s0.extxyz,antisite,0.61,0
/home/ubuntu/repos/machine-learning/laves_fig6/b2_offstoich/relax/b2_x0.610_antisiteAl_dense_s1.extxyz,37,27,0.421875,176,38,-0.21311884274847248,2.954412930497281,b2_x0.610_antisiteAl_dense_s1.extxyz,antisite,0.61,1
