x_Al_target,x_Al,V_mix,a_mix,selected_branch,dG_eV
0.2,0.203125,11.19956880906826,2.8188824226235716,antisite,
0.3,0.296875,11.436875966831366,2.8386530856212295,antisite,
0.4,0.398438,11.717322304603771,2.8616692228029836,antisite,0.1050563421665004
0.42,0.421875,11.779965592238321,2.866759839826422,antisite,0.1152709317906021
0.44,0.4375,11.820430220285012,2.8700386745529607,antisite,0.09118659521284778
0.46,0.460938,11.885725989542898,2.8753137174493006,antisite,0.05187688987837458
0.47,0.46875,11.907199864678525,2.877044279734788,antisite,0.03919478537535115
0.48,0.476562,11.931899824155975,2.879032256507261,antisite,0.024997552521177968
0.49,0.492188,11.946560374963425,2.8802109200403287,antisite,0.013611889267436283
0.5,0.5,11.974527545032217,2.882456714930723,perfect,0.0
0.51,0.512,12.206308422789965,2.8780927955445867,vacancy,-0.010240338493010204
0.52,0.520325,12.350287687905706,2.8738718820498135,vacancy,-0.02714883462778217
0.53,0.528926,12.505403060512407,2.8701264357811183,vacancy,-0.03611903923221349
0.54,0.537815,12.660533368770006,2.865978923585827,vacancy,-0.038872690860295434
0.56,0.561404,13.08921001438155,2.8567971524982845,vacancy,-0.06213534944700694
0.58,0.581818,13.449308722977833,2.8486398147068557,vacancy,-0.06804049199542828
0.6,0.598131,13.737892546337344,2.8425482131982243,vacancy,-0.0752695110818189
0.62,0.621359,14.128406323880315,2.833023233989452,vacancy,
0.64,0.64,14.467898129703686,2.8275378378861924,vacancy,
0.66,0.659794,14.809342517636503,2.820822710671471,vacancy,
