x_Al_target,branch,x_Al,V,Vstd,a,astd,Ef,G,Gstd,Omega_total_eV,n_atoms,n_sites,n,n_total,alpha_mean,alpha_std
0.2,antisite,0.203125,11.19956880906826,0.023181648734477436,2.8188824226235716,0.0019445996840259593,-0.34223352974931515,-0.3828306717634164,0.009255186533769789,-49.0023259857173,128,128,3,3,,
0.3,antisite,0.296875,11.436875966831366,0.024593626839623427,2.8386530856212295,0.0020343345478792286,-0.4767289336948837,-0.517326075708985,0.0072773416558302205,-66.21773769075008,128,128,3,3,,
0.32,vacancy,0.319149,11.953573794892195,0.0,2.5990534775166854,0.0,-0.4022817255043242,-0.45890092062471816,0.0,-43.13668653872351,94,128,1,1,,
0.34,vacancy,0.340206,11.905954696573438,0.03250687783539853,2.622920628952097,0.002387126352403522,-0.4513589464925212,-0.506347911373177,0.00574104157578226,-49.11574740319817,97,128,2,2,,
0.36,vacancy,0.36,12.046277471563805,0.0,2.660057122283145,0.0,-0.4685484883323249,-0.5213004040034919,0.0,-52.13004040034919,100,128,1,1,,
0.38,vacancy,0.378641,12.134932526150516,0.0,2.6929701458160507,0.0,-0.466733249510232,-0.5166843868492094,0.0,-53.21849184546856,103,128,1,1,,
0.4,antisite,0.398438,11.717322304603771,0.010236479713968849,2.8616692228029827,0.0008332072670517765,-0.6054500352371793,-0.635404754529025,0.0035656623021160447,-81.3318085797152,128,128,3,3,,
0.4,vacancy,0.401869,12.350892567252883,0.14508145505787215,2.743445184541738,0.010727331830135248,-0.4849668099370308,-0.5303484123625246,0.006156924488613195,-56.74728012279013,107,128,3,3,,
0.41,vacancy,0.407407,12.397139216742097,0.35693146286217486,2.755253084597669,0.02659486509119495,-0.5024250745444431,-0.5465171397981182,0.05257821129589136,-59.02385109819678,108,128,3,3,,
0.42,antisite,0.421875,11.779965592238321,0.010863170258630301,2.866759839826422,0.0008810859035564366,-0.6285439282826588,-0.6540730694140161,0.0029351064004903794,-83.72135288499406,128,128,3,3,,
0.42,vacancy,0.418182,12.610008806591317,0.08323730174464634,2.7880975656397617,0.006129620624425372,-0.497467826385572,-0.538802137623414,0.00715142057896438,-59.268235138575534,110,128,3,3,,
0.43,vacancy,0.428571,12.60912757594096,0.034898722262057584,2.80483584746225,0.0025881796408942595,-0.5176737317647796,-0.5560057985797626,0.0023937638470746298,-62.272649440933414,112,128,3,3,,
0.44,antisite,0.4375,11.820430220285012,0.0068272435563701645,2.8700386745529607,0.0005525301057683722,-0.645033630520888,-0.6670593374703304,0.001997755969776731,-85.3835951962023,128,128,3,3,,
0.44,vacancy,0.438596,12.561807719875352,0.026923417969113544,2.8178996632959787,0.0020132459634519505,-0.5407999401460591,-0.5758727422574826,0.006509033255954719,-65.64949261735302,114,128,3,3,,
0.45,vacancy,0.44827600000000006,12.523451841449573,0.024070130829730838,2.8313957087818427,0.0018146577295370643,-0.5646681774162916,-0.5962047043564523,0.0029317016046247874,-69.15974570534847,116,128,3,3,,
0.46,antisite,0.460938,11.885725989542898,0.001070088668848586,2.8753137174493006,8.628957219408762e-05,-0.6653480530702508,-0.6810628728438717,0.0010638210580355756,-87.17604772401558,128,128,3,3,,
0.46,vacancy,0.462185,12.433260845562144,0.004693781917165045,2.848725957784184,0.00035850659659724434,-0.603544464213451,-0.6291859829654971,0.0033319747831454076,-74.87313197289417,119,128,3,3,,
0.47,antisite,0.46875,11.907199864678525,0.0011826289683744614,2.877044279734788,9.524904056221995e-05,-0.672537568054682,-0.6857881890131724,0.000505110747550373,-87.78088819368607,128,128,3,3,,
0.47,vacancy,0.47107399999999994,12.335103464990192,0.013254966805067476,2.857038037930119,0.0010236258206165834,-0.6254453087820966,-0.6466853334917393,0.0010588434744823725,-78.24892535250045,121,128,4,6,,
