x_Al_target,x_Al,c_model,c_hybrid_1273K,p_antisite_1273K,c_total_1273K,prob_vacancy_1273K,prob_antisite_1273K,G_antisite_1273K,c_hybrid_1473K,p_antisite_1473K,c_total_1473K,prob_vacancy_1473K,prob_antisite_1473K,G_antisite_1473K,G_vacancy_1273K,G_vacancy_1473K
0.2,0.203125,0.0,,,,,,-0.3773185004105173,,,,,,-0.3828306717634163,,
0.3,0.296875,0.0,,,,,,-0.511813904356086,,,,,,-0.5173260757089849,,
0.32,0.319149,0.0,,,,,,,,,,,,,-0.45121331775704754,-0.4589009206247181
0.34,0.340206,0.0,,,,,,,,,,,,,-0.4988816568068966,-0.506347911373177
0.36,0.36,0.0,,,,,,,,,,,,,-0.5141378899951867,-0.5213004040034919
0.38,0.378641,0.0,,,,,,,,,,,,,-0.5099021550312898,-0.5166843868492093
0.4,0.400153,0.0,0.044876352043089054,0.0,0.044876352043089054,0.27353205054835233,0.7264679494516477,-0.6313375828668599,0.049898334050898926,0.0,0.049898334050898926,0.30414222659595536,0.6958577734040446,-0.635404754529025,-0.5241866197725049,-0.5303484123625245
0.41,0.407407,0.0,,,,,,,,,,,,,-0.5405304371160171,-0.5465171397981183
0.42,0.420029,0.0,0.03590646476986577,0.0,0.03590646476986577,0.25533486058571214,0.7446651394142878,-0.6506067909168868,0.04041341721556309,0.0,0.04041341721556309,0.28738430019955974,0.7126156998004403,-0.6540730694140161,-0.5331898754051055,-0.538802137623414
0.43,0.428571,0.0,,,,,,,,,,,,,-0.5508011730787464,-0.5560057985797625
0.44,0.438048,0.0,0.032810267753274364,0.0,0.032810267753274364,0.2999795908870799,0.70002040911292,-0.6640687458953891,0.0358475912098965,0.0,0.0358475912098965,0.32774940534762514,0.6722505946523748,-0.6670593374703304,-0.5711106509999913,-0.5758727422574825
0.45,0.448276,0.0,,,,,,,,,,,,,-0.5919227590828392,-0.5962047043564523
0.46,0.461562,0.0,0.026790981163179475,0.0,0.026790981163179475,0.3810272876541081,0.6189727123458919,-0.6789291566492185,0.028070529549813476,0.0,0.028070529549813476,0.3992253091529028,0.6007746908470972,-0.6810628728438717,-0.6257044461356198,-0.6291859829654971
0.47,0.469912,0.0,0.022379311490397912,0.0,0.022379311490397912,0.409221695824419,0.590778304175581,-0.683989055142366,0.0231553409494676,0.0,0.0231553409494676,0.4234119487902647,0.5765880512097353,-0.6857881890131725,-0.6437094898958466,-0.6465934036378213
0.48,0.478119,0.0,0.017246257198260145,0.0,0.017246257198260145,0.4415041842754597,0.5584958157245402,-0.6871456246905888,0.01761425291312296,0.0,0.01761425291312296,0.45092487457594777,0.5490751254240522,-0.6885779052867605,-0.6613599001402527,-0.6635803527655828
0.49,0.490094,0.0,0.010944394297469622,0.0,0.010944394297469622,0.46696082335870387,0.5330391766412961,-0.6911939855387756,0.01109101237883369,0.0,0.01109101237883369,0.47321652816357074,0.5267834718364292,-0.6917539618126352,-0.6766754172147188,-0.6781420725451988
0.5,0.5,0.0,0.0,0.0,0.0,,,-0.6920193068237968,0.0,0.0,0.0,,,-0.6920193068237968,-0.6920193068237968,-0.6920193068237968
0.51,0.509906,0.01942711009480169,0.012216991685788678,0.007352965274932455,0.015893474323254907,0.5212583119269836,0.47874168807301654,-0.6830768352576944,0.012191198539999865,0.007379269434525604,0.015880833257262666,0.5201578043733276,0.47984219562667246,-0.6836368115315539,-0.6924104946940841,-0.6938771500245641
0.52,0.521881,0.04192810053623286,0.021866708980348808,0.02093933823454419,0.0323363780976209,0.5597877498969295,0.44021225010307063,-0.6633371268745488,0.021612021583592544,0.02120517151584478,0.032214607341514934,0.5532677525399692,0.4467322474600309,-0.6647694074707206,-0.6896977894731725,-0.6919182420985026
0.53,0.530088,0.056760386954618824,0.03167337391758971,0.026596649133545425,0.04497169848436242,0.5791702659216404,0.42082973407835955,-0.6523381626791835,0.031208060489118773,0.02708996326288804,0.04475304212056279,0.5706616775153147,0.4293383224846853,-0.6541372965499901,-0.6873724220402287,-0.6902563357822034
0.54,0.538439,0.07138884013680302,0.0411112842984182,0.03260520349857243,0.057413886047704414,0.5846938211330588,0.4153061788669412,-0.6411089401267585,0.040497780801837226,0.03326587130346015,0.0571307164535673,0.5759684380705739,0.42403156192942615,-0.6432426563214116,-0.6786338103518298,-0.6821153471817071
0.56,0.561952,0.11024429132737312,0.06936542508587047,0.04594392128428981,0.09233738572801538,0.6341981722136729,0.36580182778632714,-0.6084083205370128,0.0678115597385314,0.04769031676362556,0.09165671812034418,0.6199914033237156,0.38000859667628434,-0.6113989121119541,-0.6687721703014698,-0.6735342615589612
0.58,0.579971,0.13788867211578493,0.09081750501929078,0.05459987077540873,0.11811744040699515,0.6458133690260678,0.3541866309739322,-0.5826647226869562,0.08871879262563998,0.057034257525437226,0.11723592138835859,0.630889192004551,0.36911080799544915,-0.5861310011840856,-0.6485592309612053,-0.6541714931795137
0.6,0.599846,0.1664534176660195,0.10841957371996763,0.06962279634517077,0.14323097189255302,0.6608431160074217,0.3391568839925783,-0.556249196610451,0.10566439932251165,0.0729281597835778,0.14212847921430055,0.6440496720610234,0.35595032793897663,-0.5603163682726161,-0.6294240867644153,-0.6355858793544349
0.61,0.609375,0.17948717948717952,,,,,,-0.5412215665433704,,,,,,-0.5454628040695736,,
0.62,0.621359,0.1953122108153258,,,,,,,,,,,,,-0.6006915257076785,-0.607473757525598
0.63,0.632812,0.20987591891430635,,,,,,-0.5155478608199138,,,,,,-0.5202416688465388,,
0.64,0.64,0.21875,,,,,,,,,,,,,-0.5778460726724968,-0.5850085866808019
0.65,0.648438,0.22891625722119924,,,,,,-0.49692355390105625,,,,,,-0.5018656459152454,,
0.66,0.659794,0.24218771313470566,,,,,,,,,,,,,-0.553515812434343,-0.5609820670006236
0.67,0.671875,0.2558139534883721,,,,,,-0.47310898502546345,,,,,,-0.4783500924548458,,
0.69,0.6875,0.2727272727272727,,,,,,-0.4647265696843255,,,,,,-0.47012086282050203,,
0.7,0.703125,0.28888888888888886,,,,,,-0.441798560977688,,,,,,-0.44731073233058705,,
0.71,0.710938,0.29670379132920166,,,,,,-0.4323360387206919,,,,,,-0.4378942251916543,,
0.73,0.726562,0.3118274834081607,,,,,,-0.4097088788752559,,,,,,-0.4153337064846291,,
0.75,0.75,0.33333333333333337,,,,,,-0.38513670102166003,,,,,,-0.3907988653357594,,
0.77,0.773438,0.3535357714516225,,,,,,-0.3616676157606986,,,,,,-0.3672924433700718,,
0.79,0.789062,0.36633623213385014,,,,,,-0.3330330301553613,,,,,,-0.3385912166263237,,
0.8,0.796875,0.37254901960784315,,,,,,-0.3206949182729433,,,,,,-0.3262070896258423,,
