structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged,rep
b2_x0.460_vacAl_r4_s0_szchk,vacancy,0.46,0.462185,0,64,55,119,128,-643.4453050296256,1478.8230125401742,12.427084138993061,2.8482541711936213,-0.6011750257028871,True,4
b2_x0.460_vacAl_r4_s1_szchk,vacancy,0.46,0.462185,1,64,55,119,128,-642.8919221803671,1478.8026372282145,12.426912917884156,2.84824108999474,-0.5965247496586983,True,4
b2_x0.460_vacAl_r4_s2_szchk,vacancy,0.46,0.462185,2,64,55,119,128,-643.562416480109,1477.5496432456991,12.416383556686547,2.8474364215665426,-0.6021591555388823,True,4
b2_x0.460_vacAl_r5_s0_szchk,vacancy,0.46,0.458874,0,125,106,231,250,-1248.89088962867,2874.8166611468387,12.445093771198437,2.843806527400079,-0.5938934061152485,True,5
b2_x0.460_vacAl_r5_s1_szchk,vacancy,0.46,0.458874,1,125,106,231,250,-1248.0528950594576,2872.193535918081,12.433738250727624,2.8429413208457373,-0.5902657239974456,True,5
b2_x0.460_vacAl_r5_s2_szchk,vacancy,0.46,0.458874,2,125,106,231,250,-1248.5972039114108,2873.5718297710596,12.439704890783808,2.843396000272554,-0.5926220393738666,True,5
b2_x0.540_vacNi_r4_s0_szchk,vacancy,0.54,0.537815,0,55,64,119,128,-632.2494300279997,1506.9871881578492,12.663757883679406,2.866222243471218,-0.6586142147478006,True,4
b2_x0.540_vacNi_r4_s1_szchk,vacancy,0.54,0.537815,1,55,64,119,128,-632.5484608704747,1506.9830256362816,12.663722904506567,2.86621960449216,-0.6611270789702802,True,4
b2_x0.540_vacNi_r4_s2_szchk,vacancy,0.54,0.537815,2,55,64,119,128,-632.1946616631878,1506.622311349695,12.660691692014245,2.865990898341259,-0.6581539763880374,True,4
b2_x0.540_vacNi_r5_s0_szchk,vacancy,0.54,0.541126,0,106,125,231,250,-1225.6822528312566,2939.001805936103,12.722951540848932,2.8648152068601407,-0.6582098564686503,True,5
b2_x0.540_vacNi_r5_s1_szchk,vacancy,0.54,0.541126,1,106,125,231,250,-1225.5416615186607,2938.7783383333926,12.721984148629405,2.8647425960832864,-0.6576012360678022,True,5
b2_x0.540_vacNi_r5_s2_szchk,vacancy,0.54,0.541126,2,106,125,231,250,-1225.285258451514,2937.9797809518636,12.718527190267809,2.864483092720128,-0.6564912660801541,True,5
