structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.500_perfect,perfect,0.5,0.5,0,64,64,128,128,-694.0398846214761,1532.7395257641238,11.974527545032217,2.882456714930723,-0.6920193068237968,True
b2_x0.420_antisiteNi_s0,antisite,0.42,0.421875,0,74,54,128,128,-706.2050669539711,1507.315020396303,11.775898596846117,2.8664300691542985,-0.6305394943348639,True
b2_x0.420_vacAl_s0,vacancy,0.42,0.418182,0,64,46,110,128,-593.9747336401927,1379.445637889415,12.540414889903772,2.7829679537337797,-0.5056835731478058,True
b2_x0.420_antisiteNi_s1,antisite,0.42,0.421875,1,74,54,128,128,-706.1255815581317,1506.7805122056452,11.771722751606603,2.86609120800771,-0.629918514679868,True
b2_x0.420_vacAl_s1,vacancy,0.42,0.418182,1,64,46,110,128,-592.5398937918591,1397.2437871899929,12.702216247181754,2.794885825187844,-0.49263957452659135,True
b2_x0.420_antisiteNi_s2,antisite,0.42,0.421875,2,74,54,128,128,-705.5182549857639,1509.4112548175672,11.792275428262244,2.8677582423172567,-0.6251737758332445,True
b2_x0.420_vacAl_s2,vacancy,0.42,0.418182,2,64,46,110,128,-592.6983770569891,1384.6134810957265,12.587395282688423,2.7864389179976623,-0.4940803314823189,True
b2_x0.440_antisiteNi_s0,antisite,0.44,0.4375,0,72,56,128,128,-704.1108268714737,1512.2347563146745,11.814334033708395,2.8695452693422387,-0.6454823035826625,True
b2_x0.440_vacAl_s0,vacancy,0.44,0.438596,0,64,50,114,128,-614.2091715956337,1428.9317718103707,12.53448922640676,2.815856418762192,-0.5346129956209604,True
b2_x0.440_antisiteNi_s1,antisite,0.44,0.4375,1,72,56,128,128,-704.2755109700058,1512.8511358589133,11.81914949889776,2.869935087290776,-0.6467688981024446,True
b2_x0.440_vacAl_s1,vacancy,0.44,0.438596,1,64,50,114,128,-615.6884582176052,1435.0682356415346,12.58831785650469,2.819881505923372,-0.5475891940593067,True
b2_x0.440_antisiteNi_s2,antisite,0.44,0.4375,2,72,56,128,128,-703.7738523172202,1513.9593124158562,11.827807128248876,2.8706356670258666,-0.6428496898775569,True
b2_x0.440_vacAl_s2,vacancy,0.44,0.438596,2,64,50,114,128,-614.845820001246,1432.138232745465,12.562616076714606,2.8179610652023723,-0.5401976307579102,True
b2_x0.460_antisiteNi_s0,antisite,0.46,0.460938,0,69,59,128,128,-700.6347240886788,1521.3749021508115,11.885741423053215,2.8753149636983206,-0.6652813404305429,True
b2_x0.460_vacAl_s0,vacancy,0.46,0.462185,0,64,55,119,128,-643.9698605205133,1479.9398095924657,12.436468988171981,2.8489709848205282,-0.6055830550380776,True
b2_x0.460_antisiteNi_s1,antisite,0.46,0.460938,1,69,59,128,128,-700.5115647800139,1521.2349782520535,11.884648267594168,2.875226811502532,-0.6643191583315986,True
b2_x0.460_vacAl_s1,vacancy,0.46,0.462185,1,64,55,119,128,-643.9422426984468,1479.8173546119663,12.435439954722405,2.8488924049785647,-0.6053509724997035,True
b2_x0.460_antisiteNi_s2,antisite,0.46,0.460938,2,69,59,128,128,-700.7835010509915,1521.5088995816072,11.886788277981307,2.87539937714705,-0.6664436604486108,True
b2_x0.460_vacAl_s2,vacancy,0.46,0.462185,2,64,55,119,128,-643.2697014181881,1478.916957661253,12.427873593792043,2.848314483553459,-0.5996993651025719,True
b2_x0.480_antisiteNi_s0,antisite,0.48,0.476562,0,67,61,128,128,-698.292977863793,1527.411605714577,11.932903169645133,2.879112957403033,-0.6782905079409325,True
b2_x0.480_vacAl_s0,vacancy,0.48,0.479675,0,64,59,123,128,-666.2996272113728,1504.6985617228688,12.233321640023323,2.86477055329426,-0.6461821198331751,True
b2_x0.480_antisiteNi_s1,antisite,0.48,0.476562,1,67,61,128,128,-698.1926197537201,1527.0263210476708,11.929893133184928,2.8788708547163027,-0.6775064602059881,True
b2_x0.480_vacAl_s1,vacancy,0.48,0.479675,1,64,59,123,128,-666.3010473045117,1505.8633433469454,12.24279140932476,2.8655095654221827,-0.6461936653058491,True
b2_x0.480_antisiteNi_s2,antisite,0.48,0.476562,2,67,61,128,128,-698.2929778637946,1527.4116057136464,11.932903169637862,2.879112957402448,-0.6782905079409449,True
b2_x0.480_vacAl_s2,vacancy,0.48,0.479675,2,64,59,123,128,-666.683664277222,1506.1809442717795,12.245373530664875,2.865711005682904,-0.6493043724010543,True
b2_x0.520_vacNi_s0,vacancy,0.52,0.520325,0,59,64,123,128,-659.8916034313324,1519.0226363400054,12.349777531219557,2.873832314931502,-0.6755258221543041,True
b2_x0.520_antisiteAl_s0,antisite,0.52,0.523438,0,61,67,128,128,-683.2548624038441,1552.7514707079622,12.130870864905955,2.8949472749720697,-0.6547174105870122,True
b2_x0.520_vacNi_s1,vacancy,0.52,0.520325,1,59,64,123,128,-659.7428246645193,1518.9149721593183,12.348902212677384,2.8737644168623704,-0.6743162386842784,True
b2_x0.520_antisiteAl_s1,antisite,0.52,0.523438,1,61,67,128,128,-683.1510537903474,1552.975600507141,12.13262187896204,2.895086557346462,-0.6539064057940696,True
b2_x0.520_vacNi_s2,vacancy,0.52,0.520325,2,59,64,123,128,-660.0546943644845,1519.3185483378813,12.352183319820174,2.874018914355568,-0.6768517647002557,True
b2_x0.520_antisiteAl_s2,antisite,0.52,0.523438,2,61,67,128,128,-683.1679191298155,1552.9081744503349,12.132095112893241,2.895044657762257,-0.6540381662586636,True
b2_x0.540_vacNi_s0,vacancy,0.54,0.537815,0,55,64,119,128,-632.0157642086839,1506.0371586615147,12.655774442533737,2.865619812319554,-0.6566506364342227,True
b2_x0.540_antisiteAl_s0,antisite,0.54,0.539062,0,59,69,128,128,-675.8557750992543,1567.970753374811,12.249771510740711,2.904374808912441,-0.6282161009122147,True
b2_x0.540_vacNi_s1,vacancy,0.54,0.537815,1,55,64,119,128,-631.6764337716515,1507.13361552191,12.664988365730338,2.866315073230864,-0.65379912015664,True
b2_x0.540_antisiteAl_s1,antisite,0.54,0.539062,1,59,69,128,128,-675.6757130375003,1567.6754567852968,12.247464506135131,2.9041924700900736,-0.6268093660547613,True
b2_x0.540_vacNi_s2,vacancy,0.54,0.537815,2,55,64,119,128,-632.2919741880877,1506.6396384674672,12.660837298045942,2.8660018852070634,-0.6589717286981202,True
b2_x0.540_antisiteAl_s2,antisite,0.54,0.539062,2,59,69,128,128,-675.7715436450695,1567.4301895545332,12.24554835589479,2.904041005832985,-0.6275580426763963,True
b2_x0.560_vacNi_s0,vacancy,0.56,0.561404,0,50,64,114,128,-598.266783835867,1493.9250785652978,13.104605952327173,2.8579170185427003,-0.6408064158292347,True
b2_x0.560_antisiteAl_s0,antisite,0.56,0.5625,0,56,72,128,128,-665.1253887784171,1593.511305076098,12.449307070907016,2.920059662172075,-0.5913410476191396,True
b2_x0.560_vacNi_s1,vacancy,0.56,0.561404,1,50,64,114,128,-597.9693511302451,1491.2115719121966,13.08080326238769,2.856185633888723,-0.6381973570079892,True
b2_x0.560_antisiteAl_s1,antisite,0.56,0.5625,1,56,72,128,128,-664.624303862628,1590.6303599428834,12.426799687053776,2.9182988533052567,-0.5874263217145375,True
b2_x0.560_vacNi_s2,vacancy,0.56,0.561404,2,50,64,114,128,-597.7622414589487,1491.3731744409959,13.082220828429788,2.8562888050634307,-0.6363806055053892,True
b2_x0.560_antisiteAl_s2,antisite,0.56,0.5625,2,56,72,128,128,-664.8708221908611,1590.4925377300158,12.425722951015748,2.9182145642852086,-0.5893522461538581,True
b2_x0.580_vacNi_s0,vacancy,0.58,0.581818,0,46,64,110,128,-569.9629241935331,1480.5414675170732,13.459467886518848,2.8493570081182074,-0.6152332781412766,True
b2_x0.580_antisiteAl_s0,antisite,0.58,0.578125,0,54,74,128,128,-656.6028545894485,1611.7652578998566,12.59191607734263,2.931167288928316,-0.5560628091601321,True
b2_x0.580_vacNi_s1,vacancy,0.58,0.581818,1,46,64,110,128,-569.2469403030565,1478.3314448584993,13.439376771440902,2.847938545219255,-0.6087243336823979,True
b2_x0.580_antisiteAl_s1,antisite,0.58,0.578125,1,54,74,128,128,-656.8967604617591,1608.8924172997158,12.56947201015403,2.9294247306931065,-0.5583589487875584,True
b2_x0.580_vacNi_s2,vacancy,0.58,0.581818,2,46,64,110,128,-569.8881963381402,1479.3989662071124,13.449081510973748,2.8486238907831045,-0.6145539340013412,True
b2_x0.580_antisiteAl_s2,antisite,0.58,0.578125,2,54,74,128,128,-658.0519442598949,1611.692004044609,12.591343781598507,2.9311228816019845,-0.5673838222104943,True
