structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.470_antisiteNi_s0,antisite,0.47,0.46875,0,68,60,128,128,-699.5804777602467,1523.984682407191,11.90613033130618,2.8769581382420326,-0.672697070935822,True
b2_x0.470_vacAl_s0,vacancy,0.47,0.471074,0,64,57,121,128,-654.9586409558267,1490.262434113035,12.316218463744091,2.8555795296185473,-0.624762720945368,True
b2_x0.470_antisiteNi_s1,antisite,0.47,0.46875,1,68,60,128,128,-699.612042766866,1524.284152865012,11.908469944257906,2.8771465713571085,-0.6729436725500353,True
b2_x0.470_vacAl_s1,vacancy,0.47,0.471074,1,64,57,121,128,-655.1499165803166,1494.6311134775642,12.352323251880696,2.858367168605357,-0.6263435112304084,True
b2_x0.470_antisiteNi_s2,antisite,0.47,0.46875,2,68,60,128,128,-699.4876636472696,1524.0959127643505,11.906999318471488,2.877028129605223,-0.6719719606781887,True
b2_x0.470_vacAl_s2,vacancy,0.47,0.471074,2,64,57,121,128,-655.1512146256449,1492.7419873570573,12.336710639314523,2.857162391353555,-0.62635423887775,True
b2_x0.490_antisiteNi_s0,antisite,0.49,0.492188,0,65,63,128,128,-695.4814794602624,1529.159727995276,11.946560374963093,2.880210920040302,-0.6876297365556605,True
b2_x0.490_vacAl_s0,vacancy,0.49,0.488,0,64,61,125,128,-677.7065749248873,1517.6039251536477,12.140831401229182,2.8729373517463443,-0.6674437896203189,True
b2_x0.490_antisiteNi_s1,antisite,0.49,0.492188,1,65,63,128,128,-695.4814794602624,1529.159727995439,11.946560374964367,2.8802109200404042,-0.6876297365556605,True
b2_x0.490_vacAl_s1,vacancy,0.49,0.488,1,64,61,125,128,-677.7894748540757,1517.7992797205618,12.142394237764494,2.873060620042831,-0.6681069890538265,True
b2_x0.490_antisiteNi_s2,antisite,0.49,0.492188,2,65,63,128,128,-695.4814794602623,1529.1597279952405,11.946560374962816,2.88021092004028,-0.6876297365556596,True
b2_x0.490_vacAl_s2,vacancy,0.49,0.488,2,64,61,125,128,-677.7323184007505,1517.859709779422,12.142877678235376,2.873098749133323,-0.6676497374272249,True
b2_x0.510_vacNi_s0,vacancy,0.51,0.512,0,61,64,125,128,-673.6446263932012,1525.6954746036326,12.205563796829061,2.8780342726253365,-0.6830312373614188,True
b2_x0.510_antisiteAl_s0,antisite,0.51,0.507812,0,63,65,128,128,-690.4355645580683,1538.9762362468373,12.023251845678416,2.8863609921707853,-0.6795125862745788,True
b2_x0.510_vacNi_s1,vacancy,0.51,0.512,1,61,64,125,128,-673.6468111076687,1525.9876071182784,12.207900856946228,2.878217951423416,-0.6830487150771587,True
b2_x0.510_antisiteAl_s1,antisite,0.51,0.507812,1,63,65,128,128,-690.4355645580686,1538.9762362469057,12.023251845678951,2.886360992170828,-0.6795125862745806,True
b2_x0.510_vacNi_s2,vacancy,0.51,0.512,2,61,64,125,128,-673.6589402365439,1525.6825768243257,12.205460614594605,2.878026162585007,-0.6831457481081606,True
b2_x0.510_antisiteAl_s2,antisite,0.51,0.507812,2,63,65,128,128,-690.4355645580682,1538.9762362467964,12.023251845678097,2.8863609921707596,-0.6795125862745779,True
b2_x0.530_vacNi_s0,vacancy,0.53,0.528926,0,57,64,121,128,-646.1689212180488,1513.2965236287944,12.506582839907392,2.8702166987328734,-0.6680230440360878,True
b2_x0.530_antisiteAl_s0,antisite,0.53,0.53125,0,60,68,128,128,-679.5166217501445,1560.1930851108184,12.189008477428269,2.8995646177481977,-0.6411644354261394,True
b2_x0.530_vacNi_s1,vacancy,0.53,0.528926,1,57,64,121,128,-646.4670353294194,1513.3560933217768,12.507075151419643,2.870254359491235,-0.670486797022622,True
b2_x0.530_antisiteAl_s1,antisite,0.53,0.53125,1,60,68,128,128,-679.5940852521862,1560.297106282369,12.189821142831008,2.899629056226686,-0.6417696190358404,True
b2_x0.530_vacNi_s2,vacancy,0.53,0.528926,2,57,64,121,128,-646.2313630409178,1512.808694015432,12.50255119021018,2.869908249119247,-0.6685390921589721,True
b2_x0.530_antisiteAl_s2,antisite,0.53,0.53125,2,60,68,128,128,-679.3324984716011,1560.6937510928833,12.19291993041315,2.89987474135266,-0.6397259723125188,True
