structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged,sqs_cell
b2_x0.825_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.825,0.822368,0,27,125,152,250,-658.1180419921875,2465.990565921609,16.223622144221114,2.702052601373045,-0.2454088517347799,True,5x5x5
b2_x0.825_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.825,0.822368,1,27,125,152,250,-658.7164916992188,2440.69177629515,16.05718273878388,2.6927806319387413,-0.2493460208599854,True,5x5x5
b2_x0.825_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.825,0.822368,2,27,125,152,250,-659.449462890625,2428.635186927248,15.97786307188979,2.6883393561472757,-0.254168199750816,True,5x5x5
b2_x0.850_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.85,0.85034,0,22,125,147,250,-622.1444091796875,2397.4635163895514,16.30927562169763,2.676788131302541,-0.2039999911079155,True,5x5x5
b2_x0.850_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.85,0.85034,1,22,125,147,250,-621.9676513671875,2391.8313475131995,16.27096154770884,2.674690366471835,-0.2027975570092761,True,5x5x5
b2_x0.850_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.85,0.85034,2,22,125,147,250,-620.8911743164062,2414.178497188031,16.422982974068237,2.6829945354394926,-0.1954745838747097,True,5x5x5
b2_x0.875_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.875,0.874126,0,18,125,143,250,-592.706298828125,2359.6181459706054,16.500826195598638,2.662628470467817,-0.164178162060439,True,5x5x5
b2_x0.875_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.875,0.874126,1,18,125,143,250,-592.8943481445312,2359.3623284576047,16.499037261941293,2.662532244218741,-0.1654931922450981,True,5x5x5
b2_x0.875_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.875,0.874126,2,18,125,143,250,-592.3950805664062,2371.911128535635,16.586791108640803,2.667244325835812,-0.1620018105798883,True,5x5x5
b2_x0.900_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.9,0.899281,0,14,125,139,250,-563.8797607421875,2323.839226840176,16.71826781899407,2.649102048426489,-0.1264642296550134,True,5x5x5
b2_x0.900_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.9,0.899281,1,14,125,139,250,-563.7066650390625,2316.8726505314626,16.66814856497455,2.646452174283768,-0.125218936826776,True,5x5x5
b2_x0.900_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.9,0.899281,2,14,125,139,250,-564.0256958007812,2296.391828036212,16.520804518246127,2.6386309966821804,-0.1275141221628822,False,5x5x5
b2_x0.925_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.925,0.925926,0,10,125,135,250,-534.1107177734375,2273.8177249974933,16.84309425924069,2.6299563766506857,-0.0795338799010264,True,5x5x5
b2_x0.925_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.925,0.925926,1,10,125,135,250,-534.37744140625,2261.572793878293,16.75239106576513,2.6252269421825773,-0.0815096105144524,True,5x5x5
b2_x0.925_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.925,0.925926,2,10,125,135,250,-534.47900390625,2269.9173799214013,16.8142028142326,2.6284517693672798,-0.0822619253292672,True,5x5x5
b2_x0.950_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.95,0.94697,0,7,125,132,250,-511.4583129882813,2250.8852289442584,17.052160825335292,2.621085046350132,-0.0400027320188524,True,5x5x5
b2_x0.950_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.95,0.94697,1,7,125,132,250,-512.1965942382812,2241.511938317848,16.981151047862483,2.6174416836491687,-0.0455957717915796,True,5x5x5
b2_x0.950_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.95,0.94697,2,7,125,132,250,-511.74505615234375,2250.8136661074486,17.051618682632185,2.6210572684982747,-0.0421750287162955,True,5x5x5
b2_x0.975_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.975,0.976562,0,3,125,128,250,-482.0735473632813,2199.4184836450786,17.182956903477177,2.6009536870830683,0.0091938762903893,True,5x5x5
b2_x0.975_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.975,0.976562,1,3,125,128,250,-482.1066284179688,2204.909710008652,17.225857109442593,2.603116464175501,0.0089354305506432,True,5x5x5
b2_x0.975_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.975,0.976562,2,3,125,128,250,-486.1275634765625,2141.173007524807,16.727914121287554,2.5777883044917287,-0.0224781245946203,True,5x5x5
