structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged,sqs_cell
b2_x0.680_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.68,0.679348,0,59,125,184,250,-891.1788652369319,2776.4773978121825,15.08955107506621,2.8110034360193135,-0.4725122719657487,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.68,0.679348,1,59,125,184,250,-891.2545266545804,2779.7986416984368,15.10760131357846,2.8121238374610353,-0.4729234753225344,True,5x5x5
b2_x0.680_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.68,0.679348,2,59,125,184,250,-891.0690403150979,2784.9290213452073,15.135483811658736,2.8138527871949823,-0.47191539739056426,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.7,0.698324,0,54,125,179,250,-854.9613026048581,2729.2247427689776,15.247065602061328,2.7949653549959854,-0.4434870472139724,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.7,0.698324,1,54,125,179,250,-854.4759902488832,2768.5436355325824,15.466724220852415,2.808323408289437,-0.44077580500182223,True,5x5x5
b2_x0.700_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.7,0.698324,2,54,125,179,250,-854.6471685331059,2768.282744432014,15.46526672867047,2.8082351922817392,-0.44173210826563564,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.72,0.718391,0,49,125,174,250,-817.9939196242321,2695.420539955605,15.490922643423017,2.783377892809617,-0.40848439374915074,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.72,0.718391,1,49,125,174,250,-818.035106894711,2694.7645148206248,15.48715238402658,2.783152063606788,-0.4087211022001781,True,5x5x5
b2_x0.720_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.72,0.718391,2,49,125,174,250,-818.1766471313448,2693.1187177165557,15.477693779980205,2.782585355285918,-0.4095345518360044,True,5x5x5
b2_x0.740_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.74,0.739645,0,44,125,169,250,-781.8567396022027,2657.5810373196773,15.725331581773238,2.7702917015920185,-0.3763230208994063,True,5x5x5
b2_x0.740_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.74,0.739645,1,44,125,169,250,-781.5488162079542,2646.006802389801,15.656844984555036,2.7662641457534303,-0.3745009889807773,True,5x5x5
b2_x0.740_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.74,0.739645,2,44,125,169,250,-781.338818814009,2652.3296741314302,15.694258426813196,2.76846580549627,-0.3732584008509236,True,5x5x5
b2_x0.760_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.76,0.762195,0,39,125,164,250,-744.74581922626,2590.889434991638,15.798106310924624,2.746921755835036,-0.3362631475471594,True,5x5x5
b2_x0.760_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.76,0.762195,1,39,125,164,250,-745.5282249925823,2573.7623975270826,15.693673155652943,2.7408555402955246,-0.3410339144149777,False,5x5x5
b2_x0.760_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.76,0.762195,2,39,125,164,250,-745.4925046238066,2594.072345247296,15.81751430028839,2.7480461608889093,-0.3408161072882971,True,5x5x5
b2_x0.780_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.78,0.78125,0,35,125,160,250,-717.0584264780338,2531.172850883502,15.81983031802189,2.7256531972635,-0.3149209517678095,False,5x5x5
b2_x0.780_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.78,0.78125,1,35,125,160,250,-716.0354761556438,2543.360563310992,15.8960035206937,2.7300209092168726,-0.30852751225287206,True,5x5x5
b2_x0.780_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.78,0.78125,2,35,125,160,250,-716.3266769602774,2527.0771513182262,15.794232195738914,2.7241822739799715,-0.3103475172818321,True,5x5x5
b2_x0.800_vacNi_alrich_sqs_5x5x5_s0,vacancy,0.8,0.801282,0,31,125,156,250,-688.0729528990074,2480.858022361316,15.902936040777668,2.70747194963318,-0.2841632534433642,True,5x5x5
b2_x0.800_vacNi_alrich_sqs_5x5x5_s1,vacancy,0.8,0.801282,1,31,125,156,250,-687.8471705239111,2475.3689045768615,15.867749388313214,2.7054736347113746,-0.2827159305260803,True,5x5x5
b2_x0.800_vacNi_alrich_sqs_5x5x5_s2,vacancy,0.8,0.801282,2,31,125,156,250,-686.6133022811908,2502.7539955454054,16.043294843239778,2.7154139833557345,-0.27480651871377076,True,5x5x5
