structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.680_vacNi_alrich_s0,vacancy,0.68,0.680851,0,30,64,94,128,-455.7018499629603,1424.808880754971,15.15754128462735,2.8131456168917306,-0.48005257125887413,True
b2_x0.680_vacNi_alrich_s1,vacancy,0.68,0.680851,1,30,64,94,128,-456.4305756165646,1410.7908979792976,15.0084138082904,2.8038894832573993,-0.48780497182913296,True
b2_x0.680_vacNi_alrich_s2,vacancy,0.68,0.680851,2,30,64,94,128,-454.51328049653296,1424.0090350657156,15.149032287933144,2.812619112694108,-0.46740821523305137,True
b2_x0.700_vacNi_alrich_s0,vacancy,0.7,0.703297,0,27,64,91,128,-432.890346434437,1411.9672707135803,15.516123853995389,2.8046685977204326,-0.4341662614815067,True
b2_x0.700_vacNi_alrich_s1,vacancy,0.7,0.703297,1,27,64,91,128,-433.6221787128648,1416.7715228305956,15.568917833303248,2.8078459805350953,-0.442208374431263,True
b2_x0.700_vacNi_alrich_s2,vacancy,0.7,0.703297,2,27,64,91,128,-432.92222992792443,1400.6570294086587,15.391835488007239,2.797159793645222,-0.4345166295418083,True
b2_x0.720_vacNi_alrich_s0,vacancy,0.72,0.719101,0,25,64,89,128,-418.3808314713567,1382.9810362702199,15.539112767081122,2.785343426571468,-0.4097012275101987,True
b2_x0.720_vacNi_alrich_s1,vacancy,0.72,0.719101,1,25,64,89,128,-419.1708336113871,1415.944763652802,15.909491726435979,2.8072996999956534,-0.41857765604986574,True
b2_x0.720_vacNi_alrich_s2,vacancy,0.72,0.719101,2,25,64,89,128,-418.864643627509,1372.8576461088633,15.425366810211948,2.778530558952287,-0.4151373191523592,True
b2_x0.740_vacNi_alrich_s0,vacancy,0.74,0.744186,0,22,64,86,128,-396.5488152124756,1339.031225576438,15.57013052995858,2.755520059293853,-0.37008237923875276,True
b2_x0.740_vacNi_alrich_s1,vacancy,0.74,0.744186,1,22,64,86,128,-397.05178879094854,1352.843552241517,15.730738979552523,2.7649622146254993,-0.3759309092209965,True
b2_x0.740_vacNi_alrich_s2,vacancy,0.74,0.744186,2,22,64,86,128,-396.5245615757287,1340.9487964165676,15.592427865308926,2.7568347870692516,-0.36980036020681284,True
b2_x0.760_vacNi_alrich_s0,vacancy,0.76,0.761905,0,20,64,84,128,-382.6235566701643,1325.1527743596032,15.775628266185752,2.7459670736254496,-0.34959072010586095,True
b2_x0.760_vacNi_alrich_s1,vacancy,0.76,0.761905,1,20,64,84,128,-382.53522763172805,1316.8668329351258,15.676986106370546,2.7402317572899837,-0.34853918393400074,True
b2_x0.760_vacNi_alrich_s2,vacancy,0.76,0.761905,2,20,64,84,128,-384.4909059666472,1324.3204555381735,15.76571970878778,2.745392045901387,-0.3718210688735142,True
b2_x0.780_vacNi_alrich_s0,vacancy,0.78,0.780488,0,18,64,82,128,-367.98304626401745,1296.3070215514672,15.808622214042282,2.725896109593275,-0.3193768841392226,True
b2_x0.780_vacNi_alrich_s1,vacancy,0.78,0.780488,1,18,64,82,128,-367.5993370277769,1304.854844487315,15.912863957162378,2.731874490074025,-0.31469750320946016,True
b2_x0.780_vacNi_alrich_s2,vacancy,0.78,0.780488,2,18,64,82,128,-367.7234186900353,1300.7630602403015,15.862964149271969,2.729015948438858,-0.3162106942126113,True
b2_x0.800_vacNi_alrich_s0,vacancy,0.8,0.8,0,16,64,80,128,-353.1067256898297,1281.5732716351852,16.019665895439815,2.7155292748707422,-0.2847047292737422,True
b2_x0.800_vacNi_alrich_s1,vacancy,0.8,0.8,1,16,64,80,128,-352.40567116010556,1268.9307336036245,15.861634170045306,2.7065703136647112,-0.27594154765219014,True
b2_x0.800_vacNi_alrich_s2,vacancy,0.8,0.8,2,16,64,80,128,-352.83915496263126,1272.7425034870278,15.909281293587847,2.7092777139001964,-0.2813600951837614,True
