structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.700_vacNi_alrich_s3,vacancy,0.7,0.703297,3,27,64,91,128,-432.59464553427,1399.87012010651,15.383188133038573,2.7966358672904232,-0.4309168010401112,True
b2_x0.700_vacNi_alrich_s4,vacancy,0.7,0.703297,4,27,64,91,128,-432.24808879797064,1413.5302605483964,15.533299566465894,2.8057031004504016,-0.4271084852566017,True
b2_x0.700_vacNi_alrich_s5,vacancy,0.7,0.703297,5,27,64,91,128,-432.1888089766603,1380.6144929569891,15.171587834692188,2.783753768889073,-0.42645705864879596,True
b2_x0.700_vacNi_alrich_s6,vacancy,0.7,0.703297,6,27,64,91,128,-432.82918471387046,1384.3740097898585,15.21290120648196,2.7862782689193337,-0.4334941546620943,True
b2_x0.700_vacNi_alrich_s7,vacancy,0.7,0.703297,7,27,64,91,128,-431.9350811058193,1361.3751450179757,14.960166428768964,2.770762371923687,-0.42366884028790547,True
b2_x0.720_vacNi_alrich_s3,vacancy,0.72,0.719101,3,25,64,89,128,-418.66769463838193,1342.4096492202625,15.083254485620927,2.7578355382394566,-0.41292440916216744,True
b2_x0.720_vacNi_alrich_s4,vacancy,0.72,0.719101,4,25,64,89,128,-418.4909089074722,1395.4435124301917,15.679140589103278,2.7936849550726177,-0.41093805263509187,True
b2_x0.720_vacNi_alrich_s5,vacancy,0.72,0.719101,5,25,64,89,128,-418.38693982618173,1375.1457395513648,15.451075725296235,2.7800733284873513,-0.4097698607104798,True
b2_x0.720_vacNi_alrich_s6,vacancy,0.72,0.719101,6,25,64,89,128,-418.200162959839,1362.2769843367905,15.306482970076297,2.771374064909668,-0.407671244234719,True
b2_x0.720_vacNi_alrich_s7,vacancy,0.72,0.719101,7,25,64,89,128,-418.71973628887656,1383.6692162937334,15.54684512689588,2.7858053514044268,-0.4135091468081745,True
b2_x0.740_vacNi_alrich_s3,vacancy,0.74,0.744186,3,22,64,86,128,-396.2452632484189,1349.8618237225712,15.696067717704317,2.762929353030879,-0.36655270523809436,True
b2_x0.740_vacNi_alrich_s4,vacancy,0.74,0.744186,4,22,64,86,128,-397.41212974614893,1340.4189430429171,15.586266779568804,2.7564716335937867,-0.3801209203279779,True
b2_x0.740_vacNi_alrich_s5,vacancy,0.74,0.744186,5,22,64,86,128,-396.3733539243768,1326.6260016318708,15.425883739905474,2.746984298563929,-0.3680421317027208,True
b2_x0.740_vacNi_alrich_s6,vacancy,0.74,0.744186,6,22,64,86,128,-396.4636714390468,1336.8095160991134,15.5442966988269,2.753995237000454,-0.3690923353616744,True
b2_x0.740_vacNi_alrich_s7,vacancy,0.74,0.744186,7,22,64,86,128,-396.9502491551254,1349.2034759386768,15.688412510914846,2.7624801060098143,-0.37475021578119316,True
b2_x0.760_vacNi_alrich_s3,vacancy,0.76,0.761905,3,20,64,84,128,-382.1399746973138,1306.5741383089994,15.554454027488088,2.73307381467431,-0.3438337918576405,True
b2_x0.760_vacNi_alrich_s4,vacancy,0.76,0.761905,4,20,64,84,128,-382.0371287729449,1338.1627405987097,15.930508816651306,2.754924194336666,-0.342609435615154,True
b2_x0.760_vacNi_alrich_s5,vacancy,0.76,0.761905,5,20,64,84,128,-381.9790681819572,1315.5085162734995,15.660815669922613,2.739289271978987,-0.3419182381033953,True
b2_x0.760_vacNi_alrich_s6,vacancy,0.76,0.761905,6,20,64,84,128,-382.39258185244813,1319.4280045019607,15.70747624407096,2.742007097185437,-0.3468410198949541,True
b2_x0.760_vacNi_alrich_s7,vacancy,0.76,0.761905,7,20,64,84,128,-382.8869818043515,1316.1424268203266,15.668362224051506,2.7397291995795943,-0.3527267336080892,True
b2_x0.780_vacNi_alrich_s3,vacancy,0.78,0.780488,3,18,64,82,128,-367.5566819826494,1290.3979412443118,15.736560259076974,2.721747895791089,-0.31417731973229546,True
b2_x0.780_vacNi_alrich_s4,vacancy,0.78,0.780488,4,18,64,82,128,-367.3258443785617,1308.132237514502,15.952832164811001,2.7341597866092444,-0.3113622269995187,True
b2_x0.780_vacNi_alrich_s5,vacancy,0.78,0.780488,5,18,64,82,128,-367.7167507874003,1295.6394341512882,15.800480904284003,2.7254280912546114,-0.31612937832681925,True
b2_x0.780_vacNi_alrich_s6,vacancy,0.78,0.780488,6,18,64,82,128,-368.1773019214335,1304.5689226715012,15.909377105750016,2.731674937973867,-0.321745855571126,True
b2_x0.780_vacNi_alrich_s7,vacancy,0.78,0.780488,7,18,64,82,128,-367.9382537287553,1299.926378847538,15.852760717652902,2.7284307005254154,-0.31883063370919695,True
