structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged,sqs_cell
b2_x0.825_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.825,0.824,0,44,206,250,250,-1082.77294921875,3963.717613181712,15.85487045272685,3.1651738170528603,-0.2500454910204589,True,5x5x5
b2_x0.825_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.825,0.824,1,44,206,250,250,-1082.023193359375,3923.178932987713,15.692715731950852,3.1543462793294355,-0.2470464675829589,True,5x5x5
b2_x0.825_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.825,0.824,2,44,206,250,250,-1082.1326904296875,3959.491591478244,15.837966365912976,3.164048539293655,-0.2474844558642089,True,5x5x5
b2_x0.850_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.85,0.852,0,37,213,250,250,-1059.0369873046875,4022.255597116604,16.089022388466415,3.180679310360431,-0.2111985186912293,True,5x5x5
b2_x0.850_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.85,0.852,1,37,213,250,250,-1058.0540771484375,4014.925735621757,16.05970294248703,3.178746057200785,-0.2072668780662293,True,5x5x5
b2_x0.850_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.85,0.852,2,37,213,250,250,-1058.3455810546875,4012.1616134192855,16.048646453677144,3.1780164081961195,-0.2084328936912293,True,5x5x5
b2_x0.875_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.875,0.876,0,31,219,250,250,-1036.7513427734375,4032.4365809533633,16.129746323813453,3.183360655066652,-0.1701389765608173,True,5x5x5
b2_x0.875_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.875,0.876,1,31,219,250,250,-1035.3719482421875,4043.115171294424,16.172460685177697,3.186168208313949,-0.1646213984358173,True,5x5x5
b2_x0.875_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.875,0.876,2,31,219,250,250,-1036.728271484375,4015.465789640156,16.061863158560627,3.178888576866044,-0.1700466914045673,True,5x5x5
b2_x0.900_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.9,0.9,0,25,225,250,250,-1014.5601806640624,4093.307585414843,16.373230341659372,3.199298696683945,-0.1294573641179058,True,5x5x5
b2_x0.900_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.9,0.9,1,25,225,250,250,-1014.7018432617188,4077.2217267782335,16.30888690711294,3.195102332522736,-0.1300240145085308,True,5x5x5
b2_x0.900_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.9,0.9,2,25,225,250,250,-1014.717529296875,4097.683223157487,16.39073289262995,3.2004382793334463,-0.1300867586491558,True,5x5x5
b2_x0.925_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.925,0.924,0,19,231,250,250,-992.815673828125,4122.875982330934,16.491503929323734,3.2069837013679603,-0.0905623727687443,True,5x5x5
b2_x0.925_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.925,0.924,1,19,231,250,250,-992.488525390625,4123.158502267721,16.492634009070883,3.207056952511246,-0.0892537790187443,True,5x5x5
b2_x0.925_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.925,0.924,2,19,231,250,250,-992.720703125,4118.48142263311,16.47392569053244,3.2058438585591684,-0.0901824899562443,True,5x5x5
b2_x0.950_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.95,0.948,0,13,237,250,250,-969.4697265625,4137.592735166631,16.55037094066652,3.210794984348285,-0.0452616197008328,True,5x5x5
b2_x0.950_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.95,0.948,1,13,237,250,250,-971.4580078125,4131.049448382565,16.52419779353026,3.2091015490375567,-0.0532147447008328,True,5x5x5
b2_x0.950_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.95,0.948,2,13,237,250,250,-970.9984741210938,4133.013787320915,16.53205514928366,3.209610117486759,-0.0513766099352078,True,5x5x5
b2_x0.975_antisiteAl_dense_sqs_5x5x5_s0,antisite,0.975,0.976,0,6,244,250,250,-947.5399169921876,4170.489222501343,16.68195689000537,3.219281817763302,-0.0136392567466027,True,5x5x5
b2_x0.975_antisiteAl_dense_sqs_5x5x5_s1,antisite,0.975,0.976,1,6,244,250,250,-948.0772705078124,4180.704054720493,16.722816218881974,3.221908017414887,-0.0157886708091027,True,5x5x5
b2_x0.975_antisiteAl_dense_sqs_5x5x5_s2,antisite,0.975,0.976,2,6,244,250,250,-949.9085693359376,4150.408166544661,16.601632666178645,3.214106516429442,-0.0231138661216027,True,5x5x5
