structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.610_antisiteAl_dense_s0,antisite,0.61,0.609375,0,50,78,128,128,-642.9284625184783,1644.4474695432923,12.847245855806971,2.9508468970020454,-0.5118397408902986,True
b2_x0.610_antisiteAl_dense_s1,antisite,0.61,0.609375,1,50,78,128,128,-643.6340689963397,1647.1139923773949,12.868078065448397,2.952440999093535,-0.5173522914985904,True
b2_x0.610_antisiteAl_dense_s2,antisite,0.61,0.609375,2,50,78,128,128,-643.1392139793518,1657.4094541093295,12.948511360229137,2.9585797423298748,-0.5134862366783723,True
b2_x0.630_antisiteAl_dense_s0,antisite,0.63,0.632812,0,47,81,128,128,-632.8642206877604,1680.9918473158411,13.132748807155009,2.972545728684794,-0.4801689414262795,True
b2_x0.630_antisiteAl_dense_s1,antisite,0.63,0.632812,1,47,81,128,128,-634.3543684432755,1707.848053413196,13.342562917290595,2.9882923637262278,-0.491810720766241,True
b2_x0.630_antisiteAl_dense_s2,antisite,0.63,0.632812,2,47,81,128,128,-633.4871601530449,1717.071604138104,13.414621907328938,2.993662317527649,-0.4850356559988147,True
b2_x0.650_antisiteAl_dense_s0,antisite,0.65,0.648438,0,45,83,128,128,-627.3196237273528,1738.4440537707187,13.58159417008374,3.006031876625402,-0.4681558375654058,True
b2_x0.650_antisiteAl_dense_s1,antisite,0.65,0.648438,1,45,83,128,128,-626.9727702107677,1708.0062190367041,13.343798586224251,2.988384610522621,-0.46544604446708515,True
b2_x0.650_antisiteAl_dense_s2,antisite,0.65,0.648438,2,45,83,128,128,-626.6340166994272,1747.4942470802255,13.652298805314262,3.0112392336123928,-0.46279953265973717,True
b2_x0.670_antisiteAl_dense_s0,antisite,0.67,0.671875,0,42,86,128,128,-618.0030218770881,1814.6098943469874,14.176639799585839,3.0493066451930795,-0.4423259754486786,True
b2_x0.670_antisiteAl_dense_s1,antisite,0.67,0.671875,1,42,86,128,128,-618.0053039026706,1827.3415181274258,14.276105610370514,3.0564215227790723,-0.4423438037735412,False
b2_x0.670_antisiteAl_dense_s2,antisite,0.67,0.671875,2,42,86,128,128,-617.3434022390123,1799.3949428122562,14.057772990720752,3.0407602114481826,-0.4371726970262113,True
b2_x0.690_antisiteAl_dense_s0,antisite,0.69,0.6875,0,40,88,128,128,-612.3169952296946,1835.5937774189342,14.340576386085424,3.0610155390238227,-0.4292079521582264,True
b2_x0.690_antisiteAl_dense_s1,antisite,0.69,0.6875,1,40,88,128,128,-612.4701376907691,1846.1339879983225,14.422921781236894,3.0668632726645577,-0.43040437763537076,True
b2_x0.690_antisiteAl_dense_s2,antisite,0.69,0.6875,2,40,88,128,128,-612.618486386925,1841.730686846727,14.388520990990054,3.0644230248247704,-0.4315633518240891,True
b2_x0.710_antisiteAl_dense_s0,antisite,0.71,0.710938,0,37,91,128,128,-602.0905685209525,1865.0862591774637,14.570986399823935,3.077322291804677,-0.396270083334644,True
b2_x0.710_antisiteAl_dense_s1,antisite,0.71,0.710938,1,37,91,128,128,-602.2497782061157,1856.6214454492779,14.504855042572483,3.072659689237377,-0.3975139089999815,True
b2_x0.710_antisiteAl_dense_s2,antisite,0.71,0.710938,2,37,91,128,128,-602.1955886591643,1864.9504505540694,14.569925394953668,3.0772475969486965,-0.39709055316442354,True
b2_x0.730_antisiteAl_dense_s0,antisite,0.73,0.726562,0,35,93,128,128,-595.6126661188135,1873.787604438771,14.638965659677899,3.0821004997432055,-0.3769655307102435,True
b2_x0.730_antisiteAl_dense_s1,antisite,0.73,0.726562,1,35,93,128,128,-596.3512331936993,1903.8972975023548,14.874197636737147,3.098521503550292,-0.38273558598278834,False
b2_x0.730_antisiteAl_dense_s2,antisite,0.73,0.726562,2,35,93,128,128,-594.8296441492397,1867.6102342905724,14.590704955395097,3.0787098208095,-0.3708481715729479,True
b2_x0.750_antisiteAl_dense_s0,antisite,0.75,0.75,0,32,96,128,128,-585.7064523354171,1932.0255405379037,15.093949535452373,3.1137061880633863,-0.3465293253659243,True
b2_x0.750_antisiteAl_dense_s1,antisite,0.75,0.75,1,32,96,128,128,-586.3637834833194,1930.8348686529675,15.084647411351309,3.1130664166248114,-0.35166472495891066,True
b2_x0.750_antisiteAl_dense_s2,antisite,0.75,0.75,2,32,96,128,128,-586.3763476404083,1930.224417127241,15.07987825880657,3.112738307010388,-0.35176288243616805,False
b2_x0.770_antisiteAl_dense_s0,antisite,0.77,0.773438,0,29,99,128,128,-577.0511144567162,1952.6264042153944,15.254893782932768,3.1247340596170803,-0.32586558802703847,True
b2_x0.770_antisiteAl_dense_s1,antisite,0.77,0.773438,1,29,99,128,128,-577.9133563277728,1957.4431356105188,15.292524496957178,3.1273013105133076,-0.33260185264466857,False
b2_x0.770_antisiteAl_dense_s2,antisite,0.77,0.773438,2,29,99,128,128,-577.755110184723,1958.7950981576562,15.303086704356689,3.1280211306957204,-0.3313655546520917,False
b2_x0.790_antisiteAl_dense_s0,antisite,0.79,0.789062,0,27,101,128,128,-569.2999596394302,1977.9727687073455,15.452912255526137,3.1381963389942,-0.2966137509093021,True
b2_x0.790_antisiteAl_dense_s1,antisite,0.79,0.789062,1,27,101,128,128,-570.4364054775327,1980.0822492459672,15.469392572234119,3.1393115569309495,-0.3054922340194781,False
b2_x0.790_antisiteAl_dense_s2,antisite,0.79,0.789062,2,27,101,128,128,-569.5665637631764,1969.6594027876954,15.38796408427887,3.1337935802860377,-0.2986965956260694,True
