structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.690_antisiteAl_dense_s3,antisite,0.69,0.6875,3,40,88,128,128,-612.0590331410073,1840.7817358324194,14.381107311190776,3.063896620150459,-0.42719262334035646,True
b2_x0.690_antisiteAl_dense_s4,antisite,0.69,0.6875,4,40,88,128,128,-612.317620262788,1842.1929057946566,14.392132076520754,3.064679362684779,-0.4292128352292681,True
b2_x0.690_antisiteAl_dense_s5,antisite,0.69,0.6875,5,40,88,128,128,-611.8151173153245,1837.465934099066,14.355202610148954,3.0620558479018603,-0.4252870309522101,True
b2_x0.690_antisiteAl_dense_s6,antisite,0.69,0.6875,6,40,88,128,128,-611.9888785513675,1850.796536278412,14.459347939675094,3.0694429656823106,-0.426644540608796,True
b2_x0.690_antisiteAl_dense_s7,antisite,0.69,0.6875,7,40,88,128,128,-610.8834090193923,1810.8424269899922,14.147206460859314,3.0471948739547585,-0.41800805989023937,True
b2_x0.710_antisiteAl_dense_s3,antisite,0.71,0.710938,3,37,91,128,128,-602.6215566516729,1885.482615014636,14.730332929801843,3.0884993869087136,-0.4004184281058971,True
b2_x0.710_antisiteAl_dense_s4,antisite,0.71,0.710938,4,37,91,128,128,-602.5013238227137,1862.624412795615,14.551753224965742,3.075967710935401,-0.3994791091296537,False
b2_x0.710_antisiteAl_dense_s5,antisite,0.71,0.710938,5,37,91,128,128,-602.952773902923,1864.7330882909391,14.568227252272962,3.0771280399761,-0.4030060628812886,True
b2_x0.710_antisiteAl_dense_s6,antisite,0.71,0.710938,6,37,91,128,128,-601.5492545055577,1865.3839786244844,14.573312333003784,3.0774860250621723,-0.39204106758937174,True
b2_x0.710_antisiteAl_dense_s7,antisite,0.71,0.710938,7,37,91,128,128,-602.539083548657,1873.799128661342,14.639055692666734,3.0821068182713827,-0.3997741069885854,False
b2_x0.730_antisiteAl_dense_s3,antisite,0.73,0.726562,3,35,93,128,128,-596.4223360600415,1915.9303473746836,14.968205838864716,3.10503557854544,-0.3832910771260871,True
b2_x0.730_antisiteAl_dense_s4,antisite,0.73,0.726562,4,35,93,128,128,-597.3463909177912,1893.194837919457,14.790584671245758,3.0927046397346585,-0.39051025570225617,True
b2_x0.730_antisiteAl_dense_s5,antisite,0.73,0.726562,5,35,93,128,128,-595.7875778721925,1888.8530655358068,14.75666457449849,3.0903386044038563,-0.3783320287835168,True
b2_x0.730_antisiteAl_dense_s6,antisite,0.73,0.726562,6,35,93,128,128,-596.239978691638,1911.132428796056,14.930722099969188,3.1024415105213277,-0.381866410185435,True
b2_x0.730_antisiteAl_dense_s7,antisite,0.73,0.726562,7,35,93,128,128,-596.9368255825375,1902.9096614809766,14.86648173032013,3.0979856306748106,-0.38731052652058695,True
b2_x0.750_antisiteAl_dense_s3,antisite,0.75,0.75,3,32,96,128,128,-585.5166380276514,1920.1842528714212,15.001439475557978,3.107331898002212,-0.34504640108650486,True
b2_x0.750_antisiteAl_dense_s4,antisite,0.75,0.75,4,32,96,128,128,-586.5176908742394,1929.8693053733841,15.077103948229563,3.1125474073161716,-0.35286712645047347,True
b2_x0.750_antisiteAl_dense_s5,antisite,0.75,0.75,5,32,96,128,128,-587.1833908472887,1932.2264985609788,15.095519520007647,3.1138141408368507,-0.3580679074899211,False
b2_x0.750_antisiteAl_dense_s6,antisite,0.75,0.75,6,32,96,128,128,-586.6291466418787,1929.9626769965469,15.077833414035522,3.112597603965221,-0.3537378746351556,True
b2_x0.750_antisiteAl_dense_s7,antisite,0.75,0.75,7,32,96,128,128,-586.6286785727083,1931.9647074105408,15.09347427664485,3.11367350759942,-0.35373421784476156,False
