structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.710_antisiteAl_dense_s8,antisite,0.71,0.710938,8,37,91,128,128,-601.2021529233986,1860.4177982028082,14.534514048459439,3.0747525514206235,-0.3893293364787538,True
b2_x0.710_antisiteAl_dense_s9,antisite,0.71,0.710938,9,37,91,128,128,-603.313404470807,1854.1777997020222,14.485764060172048,3.071311040884003,-0.405823489192882,True
b2_x0.710_antisiteAl_dense_s10,antisite,0.71,0.710938,10,37,91,128,128,-602.2412800127432,1866.6815601425358,14.58344968861356,3.0781994373258867,-0.39744751686425905,True
b2_x0.710_antisiteAl_dense_s11,antisite,0.71,0.710938,11,37,91,128,128,-602.1867686382977,1855.362696837922,14.495021069046265,3.0719651336277507,-0.3970216467514036,True
b2_x0.710_antisiteAl_dense_s12,antisite,0.71,0.710938,12,37,91,128,128,-602.190596126451,1876.8484306647326,14.662878364568224,3.083777787320979,-0.3970515490026014,True
b2_x0.730_antisiteAl_dense_s8,antisite,0.73,0.726562,8,35,93,128,128,-596.6885186872395,1884.3890798645555,14.72178968644184,3.0879021860014477,-0.3853706289010712,True
b2_x0.730_antisiteAl_dense_s9,antisite,0.73,0.726562,9,35,93,128,128,-596.4120437556846,1894.841455135871,14.803448868248992,3.093601012523024,-0.383210668498299,True
b2_x0.730_antisiteAl_dense_s10,antisite,0.73,0.726562,10,35,93,128,128,-594.4790756933219,1892.4331374945098,14.784633886675858,3.0922898152993814,-0.3681093555110899,True
b2_x0.730_antisiteAl_dense_s11,antisite,0.73,0.726562,11,35,93,128,128,-594.7173482350306,1875.2123001913387,14.650096095244834,3.082881439032091,-0.36997085974318944,True
b2_x0.730_antisiteAl_dense_s12,antisite,0.73,0.726562,12,35,93,128,128,-597.3347636800713,1901.735505277612,14.857308634981344,3.0973483141253784,-0.39041941790756995,True
b2_x0.750_antisiteAl_dense_s8,antisite,0.75,0.75,8,32,96,128,128,-587.0836783332034,1913.2347836159659,14.947146746999733,3.103578714575949,-0.3572889034736293,False
b2_x0.750_antisiteAl_dense_s9,antisite,0.75,0.75,9,32,96,128,128,-585.880111021361,1931.7264098542232,15.091612576986119,3.113545483988061,-0.34788603384986105,False
b2_x0.750_antisiteAl_dense_s10,antisite,0.75,0.75,10,32,96,128,128,-586.491747363376,1918.7182301008486,14.98998617266288,3.106540901143862,-0.35266444277185327,True
b2_x0.750_antisiteAl_dense_s11,antisite,0.75,0.75,11,32,96,128,128,-585.7211688077246,1909.2937144950397,14.916357144492498,3.1014462308093314,-0.3466442978058262,True
b2_x0.750_antisiteAl_dense_s12,antisite,0.75,0.75,12,32,96,128,128,-585.9371243721488,1916.2125165047444,14.970410285193315,3.105188002698232,-0.3483314506528905,True
