structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.200_antisiteNi_s0,antisite,0.2,0.203125,0,102,26,128,128,-725.7373388610274,1433.0775708958654,11.195918522623948,2.8185770299092083,-0.3448785301163978,True
b2_x0.200_antisiteNi_s1,antisite,0.2,0.203125,1,102,26,128,128,-724.0816916112697,1436.7179575134896,11.224359043074138,2.820961649385035,-0.3319437859776654,True
b2_x0.200_antisiteNi_s2,antisite,0.2,0.203125,2,102,26,128,128,-726.3773059698254,1430.8388942728573,11.178428861506697,2.8171085885764704,-0.3498782731538824,True
b2_x0.300_antisiteNi_s0,antisite,0.3,0.296875,0,90,38,128,128,-719.4697033391535,1461.1086804078318,11.414911565686186,2.8368356912308332,-0.4837369869556196,True
b2_x0.300_antisiteNi_s1,antisite,0.3,0.296875,1,90,38,128,128,-717.6101595108345,1467.3212512707605,11.463447275552817,2.8408507068929394,-0.46920930079687717,True
b2_x0.300_antisiteNi_s2,antisite,0.3,0.296875,2,90,38,128,128,-718.63815471535,1463.3304395846526,11.432269059255098,2.838272858739917,-0.47724051333215445,True
b2_x0.400_antisiteNi_s0,antisite,0.4,0.398438,0,77,51,128,128,-709.2607267608106,1498.8962958558784,11.71012731137405,2.8610835309069484,-0.6074557467373316,True
b2_x0.400_antisiteNi_s1,antisite,0.4,0.398438,1,77,51,128,128,-708.4770424135857,1501.3172929311636,11.729041351024716,2.862623096815501,-0.6013332127746367,True
b2_x0.400_antisiteNi_s2,antisite,0.4,0.398438,2,77,51,128,128,-709.2742178919771,1499.238176180806,11.712798251412547,2.8613010406865,-0.6075611461995696,True
b2_x0.600_antisiteAl_s0,antisite,0.6,0.601562,0,51,77,128,128,-646.9915236126636,1636.7975800435336,12.787481094090106,2.946264051253611,-0.5279303757424656,True
b2_x0.600_antisiteAl_s1,antisite,0.6,0.601562,1,51,77,128,128,-647.3651012899271,1645.148623860298,12.852723623908577,2.9512662283358924,-0.5308489513460866,True
b2_x0.600_antisiteAl_s2,antisite,0.6,0.601562,2,51,77,128,128,-647.5515548589092,1639.0316746123003,12.804934957908596,2.947603911504319,-0.532305619853759,True
b2_x0.700_antisiteAl_s0,antisite,0.7,0.703125,0,38,90,128,128,-605.4340704171885,1849.2639267961167,14.447374428094662,3.0685954825577713,-0.4067391619528329,True
b2_x0.700_antisiteAl_s1,antisite,0.7,0.703125,1,38,90,128,128,-605.4275240782837,1835.7389078432261,14.341710217525204,3.0610962095189094,-0.4066880186801387,True
b2_x0.700_antisiteAl_s2,antisite,0.7,0.703125,2,38,90,128,128,-605.544824138789,1874.1256301190635,14.641606485305184,3.0822858225041463,-0.40760442540283615,False
b2_x0.800_antisiteAl_s0,antisite,0.8,0.796875,0,26,102,128,128,-565.9910151266454,1976.3108980290071,15.439928890851618,3.137317200203034,-0.2864146518493258,True
b2_x0.800_antisiteAl_s1,antisite,0.8,0.796875,1,26,102,128,128,-565.9105456718864,1974.8975455508544,15.42888707461605,3.136569141031533,-0.2857859842340216,False
b2_x0.800_antisiteAl_s2,antisite,0.8,0.796875,2,26,102,128,128,-565.7850108418237,1967.9059663709095,15.37426536227273,3.1328633789950238,-0.28480524337415636,True
