structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.410_vacAl_s0,vacancy,0.41,0.407407,0,64,44,108,128,-591.6482905479214,1294.3790052502352,11.984990789354029,2.724544017389449,-0.5625520805966899,True
b2_x0.410_vacAl_s1,vacancy,0.41,0.407407,1,64,44,108,128,-581.1212733866682,1361.08552535179,12.602643753257315,2.770565873505973,-0.46507969947397526,True
b2_x0.410_vacAl_s2,vacancy,0.41,0.407407,2,64,44,108,128,-582.6941577482467,1361.2085756224142,12.603783107614946,2.770649362897585,-0.4796434435626643,True
b2_x0.430_vacAl_s0,vacancy,0.43,0.428571,0,64,48,112,128,-603.5092324000117,1408.0679511380788,12.57203527801856,2.8020844061048575,-0.5152037237109156,True
b2_x0.430_vacAl_s1,vacancy,0.43,0.428571,1,64,48,112,128,-604.0445299490787,1415.8271055415344,12.641313442335129,2.80722194019923,-0.5199831661132992,True
b2_x0.430_vacAl_s2,vacancy,0.43,0.428571,2,64,48,112,128,-603.803857557043,1412.7718088365486,12.614034007469185,2.8052011960826624,-0.5178343054701237,True
b2_x0.450_vacAl_s0,vacancy,0.45,0.448276,0,64,52,116,128,-626.6112350335509,1454.3176032753265,12.537220717890746,2.8324337611428207,-0.5680264671400993,True
b2_x0.450_vacAl_s1,vacancy,0.45,0.448276,1,64,52,116,128,-626.0697171912284,1454.3472584703175,12.537476366123427,2.832453013197158,-0.5633582098786986,True
b2_x0.450_vacAl_s2,vacancy,0.45,0.448276,2,64,52,116,128,-625.9840680519883,1449.4963790788072,12.495658440334545,2.829300352005549,-0.562619855230077,True
b2_x0.470_vacAl_s0,vacancy,0.47,0.471074,0,64,57,121,128,-654.7275016558824,1489.354400432241,12.308714053159015,2.8549994328627792,-0.6228524787970681,True
b2_x0.470_vacAl_s1,vacancy,0.47,0.471074,1,64,57,121,128,-655.2882254383148,1493.9617736590444,12.346791517843343,2.8579404179031687,-0.6274865596436171,True
b2_x0.470_vacAl_s2,vacancy,0.47,0.471074,2,64,57,121,128,-654.9051641744952,1493.2238819261163,12.340693239058812,2.8574698128452023,-0.6243207640748599,True
b2_x0.490_vacAl_s0,vacancy,0.49,0.488,0,64,61,125,128,-677.4669666153479,1516.9092846594478,12.135274277275583,2.872498949439542,-0.6655269231440043,True
b2_x0.490_vacAl_s1,vacancy,0.49,0.488,1,64,61,125,128,-677.7805401322436,1517.721337619022,12.141770700952176,2.8730114400186544,-0.6680355112791695,True
b2_x0.490_vacAl_s2,vacancy,0.49,0.488,2,64,61,125,128,-677.6858494339399,1518.0518636727586,12.14441490938207,2.873219984276,-0.66727798569274,True
