structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged,sqs_cell
b2_x0.542_vacNi_alrich_smooth_4x4x4_s0,vacancy,0.542373,0.542373,0,54,64,118,128,-626.0575797691005,1503.4550112213255,12.741144162892589,2.863981144084206,-0.6602977839358006,True,4x4x4
b2_x0.542_vacNi_alrich_smooth_4x4x4_s1,vacancy,0.542373,0.542373,1,54,64,118,128,-625.7267718619132,1503.7521687693668,12.743662447198023,2.8641698200658685,-0.6574943270952307,True,4x4x4
b2_x0.542_vacNi_alrich_smooth_4x4x4_s2,vacancy,0.542373,0.542373,2,54,64,118,128,-625.2875044750422,1503.4233093950838,12.740875503348168,2.863961013990505,-0.6537717221217473,True,4x4x4
b2_x0.547_vacNi_alrich_smooth_4x4x4_s0,vacancy,0.547009,0.547009,0,53,64,117,128,-618.3116165322336,1499.8593127061126,12.81931036500951,2.8616961331698505,-0.6487271151785735,True,4x4x4
b2_x0.547_vacNi_alrich_smooth_4x4x4_s1,vacancy,0.547009,0.547009,1,53,64,117,128,-618.6482873670283,1500.9735998922624,12.828834187113355,2.862404635618476,-0.6516046436810917,True,4x4x4
b2_x0.547_vacNi_alrich_smooth_4x4x4_s2,vacancy,0.547009,0.547009,2,53,64,117,128,-618.7764143162449,1502.825155418522,12.844659448021556,2.8635811438413894,-0.6526997458111482,True,4x4x4
b2_x0.552_vacNi_alrich_smooth_4x4x4_s0,vacancy,0.551724,0.551724,0,52,64,116,128,-611.4144712727746,1498.2539574765574,12.915982392039288,2.8606747754006947,-0.6442743484893916,True,4x4x4
b2_x0.552_vacNi_alrich_smooth_4x4x4_s1,vacancy,0.551724,0.551724,1,52,64,116,128,-611.9898150942784,1497.2848373878874,12.90762790851627,2.8600578494250777,-0.6492342090195966,True,4x4x4
b2_x0.552_vacNi_alrich_smooth_4x4x4_s2,vacancy,0.551724,0.551724,2,52,64,116,128,-611.9261563184322,1496.0953785963368,12.897373953416697,2.859300295461011,-0.6486854264691985,True,4x4x4
b2_x0.557_vacNi_alrich_smooth_4x4x4_s0,vacancy,0.556522,0.556522,0,51,64,115,128,-604.9451685693097,1494.4454363174618,12.995177707108363,2.8582487992693384,-0.6434645124316514,True,4x4x4
b2_x0.557_vacNi_alrich_smooth_4x4x4_s1,vacancy,0.556522,0.556522,1,51,64,115,128,-604.5072832955382,1495.3069628763599,13.00266924240313,2.858797940365121,-0.6396568143988559,True,4x4x4
b2_x0.557_vacNi_alrich_smooth_4x4x4_s2,vacancy,0.556522,0.556522,2,51,64,115,128,-604.5157302601465,1494.3667685504424,12.994493639569065,2.8581986455488373,-0.6397302662650151,True,4x4x4
