structure_id,branch,x_Al_target,x_Al,seed,n_Ni,n_Al,n_atoms,n_sites,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,E_form_eV_atom,converged
b2_x0.300_vacAl_r4_s0,vacancy,0.3,0.296703,0,64,27,91,128,-501.85229339851725,1079.1255836512426,11.858522897266402,2.564271496570294,-0.37739629597699836,False
b2_x0.300_vacAl_r4_s1,vacancy,0.3,0.296703,1,64,27,91,128,-504.320358597892,1068.0646969839993,11.73697469213186,2.555480249764662,-0.4045178915745229,False
b2_x0.300_vacAl_r4_s2,vacancy,0.3,0.296703,2,64,27,91,128,-502.53433103854087,1074.5912248222885,11.808694778266906,2.560674865200722,-0.38489121509813706,False
b2_x0.320_vacAl_r4_s0,vacancy,0.32,0.319149,0,64,30,94,128,-516.5090247876996,1123.6359367198665,11.953573794892197,2.5990534775166854,-0.40228172550432423,True
b2_x0.320_vacAl_r4_s1,vacancy,0.32,0.319149,1,64,30,94,128,-517.4853633989278,1116.7378036405662,11.880189400431556,2.5937239247511243,-0.41266830647483743,False
b2_x0.320_vacAl_r4_s2,vacancy,0.32,0.319149,2,64,30,94,128,-516.4713648738036,1121.181414219331,11.927461853397137,2.597159600132942,-0.40188108812245255,False
b2_x0.340_vacAl_r4_s0,vacancy,0.34,0.340206,0,64,33,97,128,-534.0554468803933,1152.6479796936198,11.882968862820823,2.621232675720764,-0.4554184759218307,True
b2_x0.340_vacAl_r4_s1,vacancy,0.34,0.340206,1,64,33,97,128,-533.2678981711073,1157.107231441627,11.92894053032605,2.624608582183431,-0.4472994170632116,True
b2_x0.340_vacAl_r4_s2,vacancy,0.34,0.340206,2,64,33,97,128,-532.6752940663372,1162.2223088218539,11.981673286823236,2.628470322302401,-0.4411900963954787,False
b2_x0.360_vacAl_r4_s0,vacancy,0.36,0.36,0,64,36,100,128,-545.2846447409557,1214.98936843524,12.149893684352401,2.6676621974103845,-0.44219477899297316,False
b2_x0.360_vacAl_r4_s1,vacancy,0.36,0.36,1,64,36,100,128,-547.2863315459165,1204.8720425383885,12.048720425383886,2.660236927690178,-0.46221164704258055,False
b2_x0.360_vacAl_r4_s2,vacancy,0.36,0.36,2,64,36,100,128,-547.9200156748909,1204.6277471563806,12.046277471563805,2.6600571222831455,-0.46854848833232493,True
b2_x0.380_vacAl_r4_s0,vacancy,0.38,0.378641,0,64,39,103,128,-560.324003666895,1249.8980501935032,12.134932526150516,2.6929701458160507,-0.46673324951023204,True
b2_x0.380_vacAl_r4_s1,vacancy,0.38,0.378641,1,64,39,103,128,-560.7857655039262,1249.3160527496993,12.129282065531061,2.692552099702126,-0.47121637414160283,False
b2_x0.380_vacAl_r4_s2,vacancy,0.38,0.378641,2,64,39,103,128,-564.5635928123766,1248.3244937192226,12.119655278827404,2.691839568237335,-0.5078943091751014,False
b2_x0.400_vacAl_r4_s0,vacancy,0.4,0.401869,0,64,43,107,128,-579.5614216410961,1308.4079191839503,12.228111394242527,2.734351842827262,-0.48969339413873614,True
b2_x0.400_vacAl_r4_s1,vacancy,0.4,0.401869,1,64,43,107,128,-579.2949149710264,1317.553112194528,12.313580487799328,2.740707694462967,-0.48720267759602864,True
b2_x0.400_vacAl_r4_s2,vacancy,0.4,0.401869,2,64,43,107,128,-578.3106947824184,1338.675482709696,12.510985819716787,2.7552760163349834,-0.4780043580763278,True
b2_x0.600_vacNi_r4_s0,vacancy,0.6,0.598131,0,43,64,107,128,-548.4176373255575,1471.7277869111822,13.754465298235347,2.8436916660971647,-0.5918323864726266,True
b2_x0.600_vacNi_r4_s1,vacancy,0.6,0.598131,1,43,64,107,128,-547.8643733583232,1466.5003926894944,13.705611146630789,2.840320858898806,-0.5866616951900628,True
b2_x0.600_vacNi_r4_s2,vacancy,0.6,0.598131,2,43,64,107,128,-548.4482781292688,1471.6353277736112,13.753601194145899,2.8436321145987016,-0.5921187491241343,True
b2_x0.620_vacNi_r4_s0,vacancy,0.62,0.621359,0,39,64,103,128,-519.492737219376,1454.4969963077242,14.121330061240041,2.8325502185084073,-0.5565898454342829,True
b2_x0.620_vacNi_r4_s1,vacancy,0.62,0.621359,1,39,64,103,128,-519.6628450047657,1455.6692214612253,14.132710887973062,2.833310961459577,-0.5582413773312708,True
b2_x0.620_vacNi_r4_s2,vacancy,0.62,0.621359,2,39,64,103,128,-519.6108568324586,1455.5113363100681,14.131178022427846,2.8332085220003713,-0.5577366377943084,True
b2_x0.640_vacNi_r4_s0,vacancy,0.64,0.64,0,36,64,100,128,-498.792303615113,1448.5002620367677,14.485002620367677,2.828652090034055,-0.5382401210047442,True
b2_x0.640_vacNi_r4_s1,vacancy,0.64,0.64,1,36,64,100,128,-497.83031462736136,1447.3393030388306,14.473393030388307,2.827896175583755,-0.528620231127228,True
b2_x0.640_vacNi_r4_s2,vacancy,0.64,0.64,2,36,64,100,128,-497.9592576043318,1444.529873835508,14.44529873835508,2.8260652480407673,-0.5299096608969325,True
b2_x0.660_vacNi_r4_s0,vacancy,0.66,0.659794,0,33,64,97,128,-476.6041438928953,1436.3704628000703,14.807942915464642,2.8207341985025054,-0.5034179794150824,True
b2_x0.660_vacNi_r4_s1,vacancy,0.66,0.659794,1,33,64,97,128,-477.24364182316145,1438.4405964410505,14.829284499392273,2.8220886526409115,-0.5100107415827746,True
b2_x0.660_vacNi_r4_s2,vacancy,0.66,0.659794,2,33,64,97,128,-476.71400666975075,1434.7076133911023,14.790800138052601,2.8196452808709958,-0.5045505853620457,True
