x_Al,V_bar_A3,region
0.0587,11.071,Ni(Al)_ss_or_twophase
0.1503,11.155,Ni(Al)_ss_or_twophase
0.1679,11.225,Ni(Al)_ss_or_twophase
0.2169,11.316,Ni(Al)_ss_or_twophase
0.2583,11.342,Ni(Al)_ss_or_twophase
0.2589,11.412,Ni(Al)_ss_or_twophase
0.3349,11.445,Ni(Al)_ss_or_twophase
0.3569,11.651,Ni(Al)_ss_or_twophase
0.3726,11.643,Ni(Al)_ss_or_twophase
0.3738,11.568,Ni(Al)_ss_or_twophase
0.4165,11.822,B2
0.4655,11.871,B2
0.4937,12.022,B2
0.4981,12.097,B2
0.5075,12.001,B2
0.5163,12.396,B2
0.5245,12.83,B2
0.527,12.534,B2
0.5352,12.744,B2
0.5395,12.804,B2
0.5414,12.936,B2
0.5665,13.245,B2
0.5716,13.321,B2
0.6036,13.825,B2
0.6105,13.936,B2
0.6149,14.03,B2
0.6218,13.913,B2
