file,x_target,branch,n_atoms,F_vib_1273,F_vib_1473
b2_x0.500_perfect.extxyz,0.5,perfect,128,-0.5121198665122293,-0.6483995050101562
b2_x0.520_vacNi_s0.extxyz,0.52,vacancy,123,-0.45951600343701404,-0.5834013639158431
b2_x0.520_antisiteAl_s0.extxyz,0.52,antisite,128,-0.4735985284485181,-0.6005547344920198
b2_x0.530_vacNi_s0.extxyz,0.53,vacancy,121,-0.46291165665593537,-0.5875633790521357
b2_x0.530_antisiteAl_s0.extxyz,0.53,antisite,128,-0.4677913583754281,-0.5931694089597487
b2_x0.540_vacNi_s0.extxyz,0.54,vacancy,119,-0.4779199773293461,-0.6059911063341349
b2_x0.560_vacNi_s0.extxyz,0.56,vacancy,114,-0.45824816216395803,-0.5817230837850494
b2_x0.560_antisiteAl_s0.extxyz,0.56,antisite,128,-0.4594207915551215,-0.5824769167109737
b2_x0.580_vacNi_s0.extxyz,0.58,vacancy,110,-0.4629828656764893,-0.5875504036231496
b2_x0.580_antisiteAl_s0.extxyz,0.58,antisite,128,-0.48052020384289534,-0.6079454871267874
