x_Al,a_A,n_atoms_per_cell,V_per_atom_A3
0.34,2.8618,2.0,11.718926822516002
0.4,2.8712500000000003,2.0,11.835402415039066
0.45,2.879125,2.0,11.933052907165042
0.48,2.88385,2.0,11.99190022173331
0.5,2.887,2.0,12.0312390515
0.52,2.87828,1.923076923076923,12.39945119477353
0.55,2.8652,1.8181818181818181,12.936819447094402
0.58,2.85212,1.7241379310344829,13.456477071255916
0.6,2.8434000000000004,1.6666666666666667,13.793202990302404
0.62,2.8346800000000005,1.6129032258064517,14.12224716612513
0.66,2.8172400000000004,1.5151515151515151,14.757591124235146
