x_Ni_at,x_Al_at,a_A,rho_gcm3,n_atoms_per_cell,Vbar_A3_per_atom,c_vac_exp,c_vac_model,p_Al_antisite,source
45.29000,54.71000,2.86520,5.30000,1.81700,12.94523,0.09150,0.08609,0.00000,Taylor & Doyle (1972) Table 2
46.00000,54.00000,2.86720,5.39200,1.84500,12.77549,0.07750,0.07407,0.00000,Taylor & Doyle (1972) Table 2
47.08000,52.92000,2.87400,,,,,,,Taylor & Doyle (1972) Table 2
47.30000,52.70000,2.87390,5.55600,1.89300,12.53904,0.05350,0.05123,0.00000,Taylor & Doyle (1972) Table 2
47.80000,52.20000,2.87710,5.63900,1.92000,12.40405,0.04000,0.04215,0.00224,Taylor & Doyle (1972) Table 2
49.60000,50.40000,2.88590,5.82100,1.97400,12.17578,0.01300,0.00794,0.00000,Taylor & Doyle (1972) Table 2
49.85000,50.15000,2.88630,5.87300,1.98900,12.08898,0.00550,0.00299,0.00000,Taylor & Doyle (1972) Table 2
49.80000,50.20000,2.88690,5.86900,1.98800,12.10260,0.00600,0.00398,0.00000,Taylor & Doyle (1972) Table 2
50.12000,49.88000,2.88660,5.90000,1.99400,12.06243,0.00300,-0.00241,0.00000,Taylor & Doyle (1972) Table 2
51.70000,48.30000,2.88330,5.99300,1.99600,12.00906,0.00200,-0.03520,0.00000,Taylor & Doyle (1972) Table 2
54.05000,45.95000,2.87820,6.13400,1.99700,11.93946,0.00150,-0.08814,0.00000,Taylor & Doyle (1972) Table 2
54.83000,45.17000,2.87620,6.19000,2.00000,11.89672,0.00000,-0.10693,0.00000,Taylor & Doyle (1972) Table 2
55.96000,44.04000,2.87350,6.25500,1.99900,11.86918,0.00050,-0.13533,0.00000,Taylor & Doyle (1972) Table 2
56.72000,43.28000,2.87280,6.27700,1.99400,11.89025,0.00300,-0.15527,0.00000,Taylor & Doyle (1972) Table 2
59.15000,40.85000,2.87770,6.44300,2.00200,11.90344,-0.00100,-0.22399,0.00000,Taylor & Doyle (1972) Table 2
61.91000,38.09000,2.86180,6.59300,1.99700,11.73653,0.00150,-0.31268,0.00000,Taylor & Doyle (1972) Table 2
