structure_id,x_Al_target,x_Al,seed,n_atoms,n_B_sites,n_Al,n_Al_on_2a,energy_eV,volume_A3,V_per_atom_A3,converged
c14_x0.0625_rand_s0,0.0625,0.0625,0,48,32,2,0,-353.75945499356857,632.0581064240544,13.1678772171678,True
c14_x0.0625_rand_s1,0.0625,0.0625,1,48,32,2,0,-353.45310031116276,632.0877309552285,13.168494394900593,True
c14_x0.0625_rand_s2,0.0625,0.0625,2,48,32,2,1,-353.8282838999706,631.8897453864346,13.16436969555072,True
c14_x0.1250_rand_s0,0.125,0.125,0,48,32,4,1,-351.6237334086005,638.7226596622636,13.306722076297158,True
c14_x0.1250_rand_s1,0.125,0.125,1,48,32,4,1,-351.3883218836223,638.884590400805,13.310095633350103,True
c14_x0.1250_rand_s2,0.125,0.125,2,48,32,4,0,-351.8049362462276,638.6351021734328,13.304897961946516,True
c14_x0.1875_rand_s0,0.1875,0.1875,0,48,32,6,2,-349.67964834662723,645.7649743049434,13.45343696468632,True
c14_x0.1875_rand_s1,0.1875,0.1875,1,48,32,6,1,-349.8907576446048,645.4204980782304,13.4462603766298,True
c14_x0.1875_rand_s2,0.1875,0.1875,2,48,32,6,2,-348.80934946977993,646.3117717867943,13.464828578891549,True
c14_x0.2500_rand_s0,0.25,0.25,0,48,32,8,2,-347.65203907579905,651.8277220555049,13.579744209489684,True
c14_x0.2500_rand_s1,0.25,0.25,1,48,32,8,3,-347.11177700577036,652.0436543376121,13.584242798700252,True
c14_x0.2500_rand_s2,0.25,0.25,2,48,32,8,3,-346.36554777721113,653.4174437943866,13.612863412383055,True
c14_x0.3125_rand_s0,0.3125,0.3125,0,48,32,10,2,-343.6892206011878,660.7604929092998,13.76584360227708,True
c14_x0.3125_rand_s1,0.3125,0.3125,1,48,32,10,2,-344.8412991327879,659.1285731378532,13.731845273705275,True
c14_x0.3125_rand_s2,0.3125,0.3125,2,48,32,10,3,-344.1802983991977,659.7219698687304,13.74420770559855,True
c14_x0.3750_rand_s0,0.375,0.375,0,48,32,12,3,-342.3944771898605,667.0546745754951,13.896972386989482,True
c14_x0.3750_rand_s1,0.375,0.375,1,48,32,12,2,-340.93314093618625,668.6441937611377,13.930087370023701,True
c14_x0.3750_rand_s2,0.375,0.375,2,48,32,12,4,-339.23287865962163,668.7039786324069,13.931332888175143,True
c14_x0.4375_rand_s0,0.4375,0.4375,0,48,32,14,6,-338.7636028772702,675.0927849993317,14.06443302081941,True
c14_x0.4375_rand_s1,0.4375,0.4375,1,48,32,14,5,-339.15122815332865,675.1842625576434,14.066338803284237,True
c14_x0.4375_rand_s2,0.4375,0.4375,2,48,32,14,4,-338.27683857159246,675.6977900026086,14.077037291721012,True
c14_x0.5000_rand_s0,0.5,0.5,0,48,32,16,4,-335.2511827951002,684.4238022327772,14.258829213182858,True
c14_x0.5000_rand_s1,0.5,0.5,1,48,32,16,5,-335.66106857016854,684.2344733004786,14.254884860426637,True
c14_x0.5000_rand_s2,0.5,0.5,2,48,32,16,3,-335.561993112004,684.1293527288825,14.252694848518386,True
c14_x0.5625_rand_s0,0.5625,0.5625,0,48,32,18,5,-331.95576903965355,693.2328825892228,14.442351720608807,True
c14_x0.5625_rand_s1,0.5625,0.5625,1,48,32,18,2,-331.10342942593337,694.4841916696929,14.468420659785268,True
