structure_id,eta,n_swaps,seed,n_atoms,energy_eV,volume_A3,V_per_atom_A3,a_eff_A,converged
b2_eta1.00_s0,1.0,0,0,128,-694.0398846214761,1532.7395257641238,11.974527545032217,2.882456714930723,True
b2_eta0.75_s0,0.75,8,0,128,-681.4760705995424,1567.5683570883127,12.246627789752443,2.9041263328430285,True
b2_eta0.75_s1,0.75,8,1,128,-682.6581690340256,1564.179779024667,12.22015452363021,2.9020322278360133,True
b2_eta0.75_s2,0.75,8,2,128,-678.7935997346079,1572.7152771625897,12.286838102832732,2.9073013090427913,True
b2_eta0.50_s0,0.5,16,0,128,-673.1134880107392,1612.8949618060583,12.60074188910983,2.9318519580650158,True
b2_eta0.50_s1,0.5,16,1,128,-675.2318808113052,1603.9172037922567,12.530603154627006,2.9264020379336997,True
b2_eta0.50_s2,0.5,16,2,128,-675.0286953391898,1587.259536056361,12.40046512544032,2.916235933524501,True
b2_eta0.25_s0,0.25,24,0,128,-671.84458732474,1636.052587476453,12.78166083965979,2.945816983568638,False
b2_eta0.25_s1,0.25,24,1,128,-671.2373722547966,1635.6277256949013,12.778341606991416,2.945561964584648,True
b2_eta0.25_s2,0.25,24,2,128,-670.6439049640528,1630.440191193806,12.737813993701609,2.9424446319621933,True
b2_eta0.00_s0,0.0,32,0,128,-672.6699819633529,1632.326839695066,12.752553435117703,2.9435791351730836,False
b2_eta0.00_s1,0.0,32,1,128,-669.0002516194709,1652.8766992099017,12.913099212577357,2.9558801960353915,False
b2_eta0.00_s2,0.0,32,2,128,-673.0704806641359,1613.4038369401333,12.604717476094791,2.93216026284533,True
