structure_id,x_Al,seed,n_atoms,energy_eV,volume_A3,V_per_atom_A3,a_fcc_A,converged
fcc_NiAl_x0.6296_3x3x3_s0,0.6296296296296297,0,108,-531.5824457390303,1514.1679587621024,14.02007369224169,3.8276900442853985,True
fcc_NiAl_x0.6296_3x3x3_s1,0.6296296296296297,1,108,-527.3707192861901,1457.6628040104818,13.496877814911867,3.779471741535988,True
fcc_NiAl_x0.6296_3x3x3_s2,0.6296296296296297,2,108,-528.1034842106893,1445.311756435418,13.382516263290906,3.7687667272445613,True
fcc_NiAl_x0.6852_3x3x3_s0,0.6851851851851852,0,108,-515.264907063489,1570.0015334486861,14.537051235635984,3.874170865378394,True
fcc_NiAl_x0.6852_3x3x3_s1,0.6851851851851852,1,108,-514.760409314314,1551.5044130767508,14.365781602562507,3.8588960844556306,False
fcc_NiAl_x0.6852_3x3x3_s2,0.6851851851851852,2,108,-516.1814402887296,1571.9576496403254,14.555163422595605,3.8757791829526185,True
fcc_NiAl_x0.7500_3x3x3_s0,0.75,0,108,-493.5991298455496,1636.5594350474948,15.153328102291619,3.928161541263879,True
fcc_NiAl_x0.7500_3x3x3_s1,0.75,1,108,-494.8888603976389,1648.8300026418988,15.26694446890647,3.9379546074722667,True
fcc_NiAl_x0.7500_3x3x3_s2,0.75,2,108,-494.0716595456197,1637.1536228659295,15.1588298413512,3.928636884691925,True
fcc_NiAl_x0.8704_3x3x3_s0,0.8703703703703703,0,108,-449.33001591372624,1756.0731764720138,16.259936819185313,4.021545144924833,True
fcc_NiAl_x0.8704_3x3x3_s1,0.8703703703703703,1,108,-450.3465860106314,1758.8689823449847,16.28582391060171,4.023678218142731,False
fcc_NiAl_x0.8704_3x3x3_s2,0.8703703703703703,2,108,-448.80392575405,1737.2299539847525,16.085462536895857,4.007109235282465,True
