structure_id,x_Al,seed,n_atoms,energy_eV,volume_A3,V_per_atom_A3,a_fcc_A,converged
fcc_NiAl_x0.3125_ext_s0,0.3125,0,32,-177.402841713352,370.2277833135268,11.569618228547712,3.590263632488756,True
fcc_NiAl_x0.3125_ext_s1,0.3125,1,32,-178.21440370544138,369.17759026277145,11.536799695711608,3.586865687729772,True
fcc_NiAl_x0.3125_ext_s2,0.3125,2,32,-177.5131897923043,370.3487757321791,11.573399241630597,3.5906546956736616,True
fcc_NiAl_x0.3750_ext_s0,0.375,0,32,-175.12377596328005,378.3819799805992,11.824436874393724,3.616430745684562,True
fcc_NiAl_x0.3750_ext_s1,0.375,1,32,-174.43003484486016,379.8321014371056,11.869753169909549,3.621044759128558,True
fcc_NiAl_x0.3750_ext_s2,0.375,2,32,-176.09144806065382,377.1688544310133,11.786526700969164,3.6125617440738886,True
fcc_NiAl_x0.4375_ext_s0,0.4375,0,32,-171.78238909186118,388.060299601906,12.12688436255956,3.647005423985131,True
fcc_NiAl_x0.4375_ext_s1,0.4375,1,32,-171.2942613336812,389.6513382172408,12.176604319288776,3.651982841500661,True
fcc_NiAl_x0.4375_ext_s2,0.4375,2,32,-172.17277214528914,386.8805037593305,12.090015742479078,3.6433057501159207,True
fcc_NiAl_x0.5000_ext_s0,0.5,0,32,-167.9902012128989,399.122846531338,12.472588954104312,3.681336643671854,True
fcc_NiAl_x0.5000_ext_s1,0.5,1,32,-167.29825323070352,400.335747366798,12.510492105212435,3.685061963609949,True
fcc_NiAl_x0.5000_ext_s2,0.5,2,32,-167.44682037871132,399.9801915727527,12.49938098664852,3.683970685244929,True
fcc_NiAl_x0.5625_ext_s0,0.5625,0,32,-163.66562187342765,408.04855847385136,12.751517452307857,3.70857688409176,True
fcc_NiAl_x0.5625_ext_s1,0.5625,1,32,-162.62148428138357,414.0462851414109,12.938946410669091,3.726658826486612,True
fcc_NiAl_x0.5625_ext_s2,0.5625,2,32,-163.71739619484933,409.3513629509796,12.792230092218112,3.712519566535138,True
fcc_NiAl_x0.6250_ext_s0,0.625,0,32,-157.1762358348943,446.22027082492417,13.94438346327888,3.820789422596435,True
fcc_NiAl_x0.6250_ext_s1,0.625,1,32,-159.3932399732317,437.2761739225418,13.664880435079432,3.795088801760811,True
fcc_NiAl_x0.6250_ext_s2,0.625,2,32,-157.76352635458156,449.25730362116326,14.039290738161352,3.8294380929489273,True
fcc_NiAl_x0.7500_ext_s0,0.75,0,32,-147.11836030043435,483.0178663100363,15.094308322188636,3.923055053017344,True
fcc_NiAl_x0.7500_ext_s1,0.75,1,32,-146.83320559946335,485.5280593445223,15.172751854516322,3.929839215820533,True
fcc_NiAl_x0.7500_ext_s2,0.75,2,32,-146.8177409442788,481.13395759228064,15.03543617475877,3.917948059677301,True
fcc_NiAl_x0.8750_ext_s0,0.875,0,32,-131.05140875885868,500.0106689363294,15.625333404260294,3.9685308561876576,True
fcc_NiAl_x0.8750_ext_s1,0.875,1,32,-131.32576085958823,496.1298470651928,15.504057720787277,3.958236956300184,True
fcc_NiAl_x0.8750_ext_s2,0.875,2,32,-133.09080721258084,522.4810581853814,16.327533068293167,4.027110265625174,True
fcc_NiAl_x1.0000_ext_s0,1.0,0,32,-119.30999600728188,535.5382878776852,16.735571496177663,4.060381555231405,True
