structure_id,x_Al,seed,n_atoms,kind,energy_eV,volume_A3,V_per_atom_A3,a_fcc_A,unlike_bonds,converged
fcc_NiAl_x0.5000_SRO_s0,0.5,0,32,SRO,-170.8220470897583,389.1699884189279,12.161562138091497,3.650478414862374,128,True
fcc_NiAl_x0.5000_SRO_s1,0.5,1,32,SRO,-170.82204708975829,389.1699884189279,12.161562138091497,3.650478414862374,128,True
fcc_NiAl_x0.5000_SRO_s2,0.5,2,32,SRO,-170.82204708975829,389.16998841893417,12.161562138091693,3.6504784148623934,128,True
fcc_NiAl_x0.6250_SRO_s0,0.625,0,32,SRO,-159.2186541475615,418.8489137602657,13.089028555008303,3.7410122947326214,92,True
fcc_NiAl_x0.6250_SRO_s1,0.625,1,32,SRO,-157.67566829388085,420.8004609701656,13.150014405317675,3.7468134736993313,68,True
fcc_NiAl_x0.6250_SRO_s2,0.625,2,32,SRO,-158.087732193858,418.50805867184334,13.078376833495104,3.7399972197730773,70,True
fcc_NiAl_x0.6875_SRO_s0,0.6875,0,32,SRO,-151.6373726391704,439.4654647790772,13.733295774346162,3.801411827595542,62,True
fcc_NiAl_x0.6875_SRO_s1,0.6875,1,32,SRO,-151.25010932702162,436.8575931952455,13.651799787351422,3.7938774710479715,48,True
fcc_NiAl_x0.6875_SRO_s2,0.6875,2,32,SRO,-150.4646263348391,438.2074783078354,13.693983697119856,3.7977811328016386,24,True
fcc_NiAl_x0.7500_SRO_s0,0.75,0,32,SRO,-143.40739023571462,457.3225002493061,14.291328132790815,3.8522180400898387,0,True
fcc_NiAl_x0.7500_SRO_s1,0.75,1,32,SRO,-143.40739023571462,457.32250024930283,14.291328132790714,3.8522180400898294,0,True
fcc_NiAl_x0.7500_SRO_s2,0.75,2,32,SRO,-143.829283505473,454.7491221892359,14.210910068413622,3.8449788993754788,0,True
fcc_NiAl_x0.8750_SRO_s0,0.875,0,32,SRO,-131.23225749730352,494.21754522279997,15.444298288212499,3.9531448149739408,0,True
fcc_NiAl_x0.8750_SRO_s1,0.875,1,32,SRO,-131.02239354374987,494.80019641632225,15.46250613801007,3.9546977073585254,0,True
fcc_NiAl_x0.8750_SRO_s2,0.875,2,32,SRO,-131.23225749730355,494.21754522279826,15.444298288212446,3.9531448149739363,0,True
