MACE-MP-0 small, float64, CPU; FrechetCellFilter hydrostatic_strain=False; FIRE fmax=0.01 eV/A, max 500 steps
Loading MACE-MP-0 small (the model is cached by mace-torch).
Relaxing seven pure BCC references.
Hf              seed=0 converged=True steps= 17 volume=2829.032928 a=3.535786 energy=-1272.917253 elapsed=14.2s
Nb              seed=0 converged=True steps= 17 volume=2344.563751 a=3.321192 energy=-1289.879631 elapsed=16.8s
Ta              seed=0 converged=True steps= 29 volume=2343.587569 a=3.320731 energy=-1526.008008 elapsed=20.8s
Ti              seed=0 converged=True steps= 30 volume=2194.103081 a=3.248571 energy=-1006.901581 elapsed=28.3s
Zr              seed=0 converged=True steps= 21 volume=3004.349312 a=3.607366 energy=-1101.446811 elapsed=11.2s
Al              seed=0 converged=True steps=120 volume=2154.615877 a=3.228965 energy=-468.495142 elapsed=85.1s
V               seed=0 converged=True steps= 31 volume=1689.240706 a=2.977400 energy=-1167.378954 elapsed=23.2s
Relaxing 15 random 50:50 binary cells, three seeds each.
Hf-Nb           seed=0 converged=True steps=443 volume=2589.417940 a=3.433002 energy=-1271.032453 elapsed=234.6s
Hf-Nb           seed=1 converged=True steps=427 volume=2591.234445 a=3.433805 energy=-1271.304611 elapsed=225.4s
Hf-Nb           seed=2 converged=True steps=407 volume=2591.675861 a=3.434000 energy=-1271.350693 elapsed=211.2s
Hf-Ta           seed=0 converged=True steps=433 volume=2588.273640 a=3.432496 energy=-1379.407468 elapsed=231.3s
Hf-Ta           seed=1 converged=True steps=442 volume=2589.583108 a=3.433075 energy=-1379.612509 elapsed=228.1s
Hf-Ta           seed=2 converged=True steps=443 volume=2588.606704 a=3.432643 energy=-1379.606545 elapsed=226.4s
Hf-Ti           seed=0 converged=True steps=460 volume=2516.182047 a=3.400327 energy=-1138.772557 elapsed=240.0s
Hf-Ti           seed=1 converged=True steps=451 volume=2516.021695 a=3.400255 energy=-1138.833414 elapsed=227.7s
Hf-Ti           seed=2 converged=True steps=466 volume=2516.080065 a=3.400281 energy=-1138.817677 elapsed=241.4s
Hf-Zr           seed=0 converged=True steps=398 volume=2916.308109 a=3.571778 energy=-1186.776907 elapsed=183.8s
Hf-Zr           seed=1 converged=True steps=403 volume=2915.599349 a=3.571489 energy=-1186.786125 elapsed=178.2s
Hf-Zr           seed=2 converged=True steps=395 volume=2916.398714 a=3.571815 energy=-1186.757683 elapsed=185.7s
Nb-Ta           seed=0 converged=True steps=470 volume=2339.111141 a=3.318616 energy=-1406.174460 elapsed=257.6s
Nb-Ta           seed=1 converged=True steps=460 volume=2338.856484 a=3.318495 energy=-1406.268893 elapsed=247.9s
Nb-Ta           seed=2 converged=True steps=487 volume=2338.080441 a=3.318128 energy=-1406.207216 elapsed=266.9s
Nb-Ti           seed=0 converged=True steps=477 volume=2282.055343 a=3.291411 energy=-1146.371545 elapsed=260.1s
Nb-Ti           seed=1 converged=True steps=444 volume=2283.374262 a=3.292045 energy=-1146.404675 elapsed=240.6s
Nb-Ti           seed=2 converged=True steps=449 volume=2281.645376 a=3.291214 energy=-1146.378480 elapsed=236.1s
Nb-Zr           seed=0 converged=True steps=427 volume=2627.367291 a=3.449692 energy=-1181.328170 elapsed=214.4s
Nb-Zr           seed=1 converged=True steps=439 volume=2629.376958 a=3.450571 energy=-1181.560574 elapsed=225.7s
Nb-Zr           seed=2 converged=True steps=441 volume=2627.119088 a=3.449583 energy=-1181.364688 elapsed=229.2s
Ta-Ti           seed=0 converged=True steps=480 volume=2273.098036 a=3.287099 energy=-1261.548575 elapsed=305.3s
Ta-Ti           seed=1 converged=True steps=485 volume=2275.254628 a=3.288138 energy=-1261.617177 elapsed=275.7s
Ta-Ti           seed=2 converged=True steps=498 volume=2273.710612 a=3.287394 energy=-1261.545187 elapsed=273.9s
Ta-Zr           seed=0 converged=True steps=459 volume=2615.321675 a=3.444412 energy=-1290.886097 elapsed=272.9s
Ta-Zr           seed=1 converged=True steps=463 volume=2615.740380 a=3.444595 energy=-1291.002100 elapsed=244.1s
Ta-Zr           seed=2 converged=True steps=460 volume=2613.568328 a=3.443642 energy=-1290.924069 elapsed=259.2s
Ti-Zr           seed=0 converged=True steps=383 volume=2597.707407 a=3.436661 energy=-1046.397999 elapsed=220.7s
Ti-Zr           seed=1 converged=True steps=396 volume=2598.619338 a=3.437064 energy=-1046.413135 elapsed=347.7s
Ti-Zr           seed=2 converged=True steps=382 volume=2598.026206 a=3.436802 energy=-1046.310582 elapsed=194.6s
Al-Nb           seed=0 converged=False steps=500 volume=2407.416971 a=3.257012 energy=-875.316098 elapsed=268.0s
Al-Nb           seed=1 converged=False steps=500 volume=2432.260675 a=3.259333 energy=-873.000220 elapsed=442.9s
Al-Nb           seed=2 converged=False steps=500 volume=2390.284510 a=3.256855 energy=-874.587815 elapsed=266.1s
Al-Ti           seed=0 converged=False steps=500 volume=2227.804242 a=3.209725 energy=-770.271476 elapsed=279.3s
Al-Ti           seed=1 converged=False steps=500 volume=2275.262065 a=3.222583 energy=-763.694948 elapsed=279.8s
Al-Ti           seed=2 converged=False steps=500 volume=2235.872209 a=3.210175 energy=-772.632343 elapsed=278.5s
Al-V            seed=0 converged=False steps=500 volume=1909.749585 a=3.072682 energy=-835.430938 elapsed=300.1s
Al-V            seed=1 converged=False steps=500 volume=1933.653355 a=3.075999 energy=-830.912300 elapsed=300.8s
