label,seed,natoms,volume_A3,a_bcc_A,energy_eV,converged,nsteps,fmax_final
Hf,0,128,2829.032928173377,3.535786306008,-1272.917253387023,True,17,0.000000038152
Nb,0,128,2344.563750836014,3.321192312802,-1289.8796310604546,True,17,0.000000060519
Ta,0,128,2343.587568983100,3.320731311940,-1526.008008285444,True,29,0.000000077738
Ti,0,128,2194.103080586830,3.248570910444,-1006.9015809022997,True,30,0.000000022546
Zr,0,128,3004.349311596862,3.607365526838,-1101.4468108328995,True,21,0.000000034648
Al,0,128,2154.615876949011,3.228964675586,-468.4951424413804,True,120,0.000000034772
V,0,128,1689.240705771730,2.977400027481,-1167.378953812124,True,31,0.000000067394
Hf-Nb,0,128,2589.417940107853,3.433002024443,-1271.0324533579317,True,443,0.003645706128
Hf-Nb,1,128,2591.234445294315,3.433804599702,-1271.3046107842636,True,427,0.004666175127
Hf-Nb,2,128,2591.675860588032,3.433999570843,-1271.3506932005077,True,407,0.011967015702
Hf-Ta,0,128,2588.273639739578,3.432496252569,-1379.4074681571901,True,433,0.004759014399
Hf-Ta,1,128,2589.583108137466,3.433075015122,-1379.612508831659,True,442,0.002564731886
Hf-Ta,2,128,2588.606703585991,3.432643479579,-1379.6065447630992,True,443,0.002988543944
Hf-Ti,0,128,2516.182047484193,3.400327087677,-1138.7725574421893,True,460,0.011929949129
Hf-Ti,1,128,2516.021695134125,3.400254853632,-1138.8334135478558,True,451,0.008261590983
Hf-Ti,2,128,2516.080064536870,3.400281147697,-1138.8176765853634,True,466,0.012445559485
Hf-Zr,0,128,2916.308109106783,3.571778157951,-1186.7769069650874,True,398,0.007931235637
Hf-Zr,1,128,2915.599348753262,3.571488780678,-1186.7861252690268,True,403,0.008805257880
Hf-Zr,2,128,2916.398714434939,3.571815147502,-1186.7576832766886,True,395,0.007082630877
Nb-Ta,0,128,2339.111140727298,3.318615682302,-1406.1744604542848,True,470,0.011325103872
Nb-Ta,1,128,2338.856483951181,3.318495246434,-1406.268892550438,True,460,0.007841911303
Nb-Ta,2,128,2338.080440651972,3.318128175189,-1406.2072163987923,True,487,0.006962171628
Nb-Ti,0,128,2282.055342772802,3.291410620381,-1146.3715445937814,True,477,0.003950285171
Nb-Ti,1,128,2283.374261883828,3.292044591030,-1146.404674536191,True,444,0.008566539493
Nb-Ti,2,128,2281.645376437254,3.291213510297,-1146.3784800559233,True,449,0.005923253126
Nb-Zr,0,128,2627.367290963433,3.449691603640,-1181.3281698213682,True,427,0.003731198577
Nb-Zr,1,128,2629.376958304735,3.450570933266,-1181.5605743376495,True,439,0.010596844663
Nb-Zr,2,128,2627.119087773096,3.449582971267,-1181.3646881736206,True,441,0.005819935651
Ta-Ti,0,128,2273.098036416437,3.287098596538,-1261.5485753910366,True,480,0.009047105630
Ta-Ti,1,128,2275.254627785911,3.288137807880,-1261.6171765603435,True,485,0.007140162800
Ta-Ti,2,128,2273.710612156178,3.287393849385,-1261.545186726764,True,498,0.009175235933
Ta-Zr,0,128,2615.321674851283,3.444411625409,-1290.8860973937306,True,459,0.003455819765
Ta-Zr,1,128,2615.740379763869,3.444595428817,-1291.002100202114,True,463,0.006669297965
Ta-Zr,2,128,2613.568327904983,3.443641726654,-1290.9240694001196,True,460,0.005849765280
Ti-Zr,0,128,2597.707406720624,3.436661462339,-1046.3979989277148,True,383,0.007639740049
Ti-Zr,1,128,2598.619338167716,3.437063564720,-1046.4131350803468,True,396,0.003574356769
Ti-Zr,2,128,2598.026206002388,3.436802042759,-1046.3105824385113,True,382,0.006046898947
Al-Nb,0,128,2211.250690918260,3.257011829107,-914.378538050368,True,992,0.001160552493
Al-Nb,1,128,2215.981888523616,3.259333077976,-913.681302667291,True,1056,0.003602444971
Al-Nb,2,128,2210.931432767909,3.256855073532,-915.781731085440,True,1030,0.009164213102
Al-Ti,0,128,2116.329603078723,3.209724650641,-784.112909927494,True,1013,0.002489563117
Al-Ti,1,128,2141.866292547279,3.222583116250,-780.869256139485,True,1096,0.001429108324
Al-Ti,2,128,2117.221190803253,3.210175328600,-784.804603261821,True,737,0.000810871892
Al-V,0,128,1856.661048738820,3.072681536550,-840.044341108870,True,748,0.006046555920
Al-V,1,128,1862.681334793166,3.075999044582,-838.829749645135,True,748,0.004776282910
Al-V,2,128,1856.070283638659,3.072355606376,-840.154877862915,True,674,0.001248368587
Nb-V,0,128,2016.495364284079,3.158438449846,-1219.839436074717,True,468,0.004887597730
Nb-V,1,128,2018.415152346528,3.159440453836,-1219.8629722791918,True,455,0.006790514457
Nb-V,2,128,2016.808419896613,3.158601887815,-1220.0139685750719,True,479,0.005632616164
Ti-V,0,128,1938.924311527289,3.117407869476,-1074.5783122533655,True,417,0.001863466143
Ti-V,1,128,1939.847645346411,3.117902637169,-1074.6158531822214,True,421,0.008267677154
Ti-V,2,128,1940.363538439610,3.118179009709,-1074.5700985125047,True,435,0.003135321655
HfNbTaTiZr,0,128,2523.731595875874,3.403724470667,-1229.5876193053357,True,487,0.007580097244
HfNbTaTiZr,1,128,2522.764031795326,3.403289434640,-1230.373350776644,True,479,0.003168415828
HfNbTaTiZr,2,128,2522.468230480214,3.403156414294,-1229.8425262763644,True,484,0.004460268990
AlNbTiV,0,128,2085.096736798617,3.193856589388,-999.7136430762707,False,500,0.014036263771
AlNbTiV,1,128,2126.807040940143,3.215012791198,-994.1777567433724,False,500,0.498997952069
AlNbTiV,2,128,2121.341861591881,3.212256594876,-991.9148804963188,False,500,0.532806123787
