label,seed,atom_index,element,V_vor_A3
Al-Nb,0,0,Nb,18.872195777293037
Al-Nb,0,1,Al,16.71494221370394
Al-Nb,0,2,Nb,17.374133771936172
Al-Nb,0,3,Al,17.11965013538241
Al-Nb,0,4,Nb,18.152774012091385
Al-Nb,0,5,Nb,19.235500394333886
Al-Nb,0,6,Nb,17.434118458495767
Al-Nb,0,7,Nb,18.34119999014707
Al-Nb,0,8,Nb,18.093234242529512
Al-Nb,0,9,Nb,17.38384930434609
Al-Nb,0,10,Nb,18.189573537599937
Al-Nb,0,11,Al,15.61982881219178
Al-Nb,0,12,Nb,18.757051083467903
Al-Nb,0,13,Al,16.936705517710767
Al-Nb,0,14,Al,17.503162184836686
Al-Nb,0,15,Nb,17.686100596943582
Al-Nb,0,16,Al,17.689815977407434
Al-Nb,0,17,Al,16.293718033969423
Al-Nb,0,18,Al,16.093999535328315
Al-Nb,0,19,Al,16.51378796295993
Al-Nb,0,20,Nb,18.389555100331
Al-Nb,0,21,Nb,17.96512012092638
Al-Nb,0,22,Nb,17.043097137904766
Al-Nb,0,23,Nb,17.488983206192014
Al-Nb,0,24,Nb,16.937735912017594
Al-Nb,0,25,Al,15.342519402218771
Al-Nb,0,26,Al,16.902820485304392
Al-Nb,0,27,Nb,17.150716054601908
Al-Nb,0,28,Al,16.528208594717384
Al-Nb,0,29,Nb,18.367906924864055
Al-Nb,0,30,Nb,17.88876227439507
Al-Nb,0,31,Al,16.901221145017836
Al-Nb,0,32,Al,16.69991740829679
Al-Nb,0,33,Nb,18.16002616368308
Al-Nb,0,34,Al,15.088090789121697
Al-Nb,0,35,Al,16.46706714755645
Al-Nb,0,36,Al,15.664732454956164
Al-Nb,0,37,Nb,18.364583814301277
Al-Nb,0,38,Nb,18.348397108632266
Al-Nb,0,39,Al,17.633027010224595
Al-Nb,0,40,Nb,18.417210658757238
Al-Nb,0,41,Al,16.17966928200808
Al-Nb,0,42,Nb,17.25387490171413
Al-Nb,0,43,Al,16.47800659837508
Al-Nb,0,44,Al,16.375557506483723
Al-Nb,0,45,Nb,18.187444108250048
Al-Nb,0,46,Nb,18.32902468138103
Al-Nb,0,47,Nb,18.266416261315392
Al-Nb,0,48,Al,15.82992957074604
Al-Nb,0,49,Al,15.861098140204724
Al-Nb,0,50,Al,16.193905332381682
Al-Nb,0,51,Al,17.524508540124863
Al-Nb,0,52,Nb,17.850452631204096
Al-Nb,0,53,Al,17.511726103059583
Al-Nb,0,54,Nb,19.22204346806497
Al-Nb,0,55,Al,16.191951202803644
Al-Nb,0,56,Nb,17.29273814092595
Al-Nb,0,57,Nb,17.19205731073404
Al-Nb,0,58,Al,17.284219152683804
Al-Nb,0,59,Nb,17.189968698999735
Al-Nb,0,60,Nb,18.23669717843895
Al-Nb,0,61,Al,16.70576360612073
Al-Nb,0,62,Al,16.08936280105808
Al-Nb,0,63,Nb,16.790569500443905
Al-Nb,0,64,Al,15.77189935393977
Al-Nb,0,65,Al,17.159923300307813
Al-Nb,0,66,Al,17.837453604596586
Al-Nb,0,67,Al,17.23922531275108
Al-Nb,0,68,Al,18.035956908890732
Al-Nb,0,69,Nb,18.47924037768782
Al-Nb,0,70,Nb,18.372504940151483
Al-Nb,0,71,Nb,17.008727797355373
Al-Nb,0,72,Al,15.941868486868309
Al-Nb,0,73,Nb,18.606410409890316
Al-Nb,0,74,Al,16.07165536442159
Al-Nb,0,75,Al,15.603311478029855
Al-Nb,0,76,Nb,16.938132038233395
Al-Nb,0,77,Nb,18.1016676839612
Al-Nb,0,78,Nb,17.594622637837844
Al-Nb,0,79,Al,16.172436500989527
Al-Nb,0,80,Al,16.204698617419606
Al-Nb,0,81,Al,15.877013209385456
Al-Nb,0,82,Nb,18.760023525656997
Al-Nb,0,83,Al,16.003025640182386
Al-Nb,0,84,Al,16.827137795785646
Al-Nb,0,85,Nb,18.17520095205974
Al-Nb,0,86,Al,17.8342665816707
Al-Nb,0,87,Al,16.940622924652434
Al-Nb,0,88,Al,16.487789883159067
Al-Nb,0,89,Nb,18.312752804078958
Al-Nb,0,90,Nb,19.015835314168946
Al-Nb,0,91,Nb,17.14095911604619
Al-Nb,0,92,Al,17.459306069354284
Al-Nb,0,93,Al,17.96764968178621
Al-Nb,0,94,Al,17.022783505010356
Al-Nb,0,95,Nb,18.466262244405804
Al-Nb,0,96,Al,17.49948376507575
Al-Nb,0,97,Nb,18.090134878180304
Al-Nb,0,98,Nb,17.58645949944145
Al-Nb,0,99,Al,17.120194402117868
Al-Nb,0,100,Al,17.212871747919415
Al-Nb,0,101,Al,16.449087654943234
Al-Nb,0,102,Nb,18.448596886713737
Al-Nb,0,103,Al,17.521300385308948
Al-Nb,0,104,Nb,16.626662966606872
Al-Nb,0,105,Al,16.216801125556493
Al-Nb,0,106,Nb,16.787993141677795
Al-Nb,0,107,Nb,17.121498161543283
Al-Nb,0,108,Al,16.536076834633413
Al-Nb,0,109,Nb,17.253854477190657
Al-Nb,0,110,Nb,18.57602316276777
Al-Nb,0,111,Al,17.346871047463026
Al-Nb,0,112,Nb,17.62765251787685
Al-Nb,0,113,Nb,18.371862076582037
Al-Nb,0,114,Al,15.63498234962517
Al-Nb,0,115,Nb,17.1195523284417
Al-Nb,0,116,Nb,17.65824366379615
Al-Nb,0,117,Nb,18.589421260173864
Al-Nb,0,118,Nb,17.847171958044953
Al-Nb,0,119,Al,16.66394887021461
Al-Nb,0,120,Al,16.75121240734101
Al-Nb,0,121,Al,15.358301681651263
Al-Nb,0,122,Al,17.851702864346123
Al-Nb,0,123,Al,16.34215920056294
Al-Nb,0,124,Nb,17.16866992649248
Al-Nb,0,125,Al,16.697446002852523
Al-Nb,0,126,Nb,18.239973828974044
Al-Nb,0,127,Nb,17.71209060919187
Al-Nb,1,0,Nb,17.4766714820909
Al-Nb,1,1,Al,15.493378276620714
Al-Nb,1,2,Nb,18.498494579151306
Al-Nb,1,3,Al,15.23259228388157
Al-Nb,1,4,Nb,18.600264045241264
Al-Nb,1,5,Nb,18.080605269370036
Al-Nb,1,6,Nb,16.55095317720979
Al-Nb,1,7,Al,17.44597639028336
Al-Nb,1,8,Al,15.407270917755007
Al-Nb,1,9,Al,15.75662673734339
Al-Nb,1,10,Nb,17.713131830231724
Al-Nb,1,11,Nb,18.489605438174294
Al-Nb,1,12,Nb,17.582038831869397
Al-Nb,1,13,Nb,18.231438338605354
Al-Nb,1,14,Al,17.96977498557386
Al-Nb,1,15,Nb,15.639594228637334
Al-Nb,1,16,Al,16.10084329273223
Al-Nb,1,17,Nb,17.363636474851386
Al-Nb,1,18,Al,16.07918250211541
Al-Nb,1,19,Al,16.628272888953493
Al-Nb,1,20,Al,15.090321171502838
Al-Nb,1,21,Al,16.701953359692975
Al-Nb,1,22,Al,16.428204611240076
Al-Nb,1,23,Al,16.701808617576557
Al-Nb,1,24,Al,17.489264254396907
Al-Nb,1,25,Al,16.458747956182425
Al-Nb,1,26,Nb,17.36312766474535
Al-Nb,1,27,Al,16.31922867314366
Al-Nb,1,28,Al,16.04345282019272
Al-Nb,1,29,Al,16.10398508675844
Al-Nb,1,30,Nb,18.01598887293044
Al-Nb,1,31,Nb,16.903611286523823
Al-Nb,1,32,Nb,17.264795317539903
Al-Nb,1,33,Nb,20.036459239146755
Al-Nb,1,34,Al,15.8123124471964
Al-Nb,1,35,Nb,17.335900693985717
Al-Nb,1,36,Al,17.972909514440143
Al-Nb,1,37,Al,16.843064763634025
Al-Nb,1,38,Nb,17.783855738496616
Al-Nb,1,39,Al,16.370394381718288
Al-Nb,1,40,Al,15.49753128879014
Al-Nb,1,41,Nb,18.391593460948197
Al-Nb,1,42,Nb,18.28460315826048
Al-Nb,1,43,Nb,18.57688599044581
Al-Nb,1,44,Al,17.84136474178109
Al-Nb,1,45,Al,16.517121834511705
Al-Nb,1,46,Al,17.87482026134893
Al-Nb,1,47,Al,16.54488512157599
Al-Nb,1,48,Nb,17.812740867063727
Al-Nb,1,49,Al,17.110930624276865
Al-Nb,1,50,Nb,18.42781740039516
Al-Nb,1,51,Nb,17.316266151376873
Al-Nb,1,52,Nb,18.215155295976036
Al-Nb,1,53,Al,15.464211248105931
Al-Nb,1,54,Nb,17.126840122352835
Al-Nb,1,55,Al,17.02732023305301
Al-Nb,1,56,Nb,17.42843946943228
Al-Nb,1,57,Nb,16.857835845407305
Al-Nb,1,58,Al,18.344631424408764
Al-Nb,1,59,Al,16.5827580713484
Al-Nb,1,60,Nb,17.203324459221832
Al-Nb,1,61,Al,17.30375477063626
Al-Nb,1,62,Al,16.194564239217367
Al-Nb,1,63,Al,16.283095711540575
Al-Nb,1,64,Nb,18.254940174547727
Al-Nb,1,65,Nb,18.607578801077253
Al-Nb,1,66,Al,16.475856455214856
Al-Nb,1,67,Nb,18.70911231726622
Al-Nb,1,68,Al,15.761017462986501
Al-Nb,1,69,Nb,18.66388852339005
Al-Nb,1,70,Al,16.385506399865445
Al-Nb,1,71,Nb,16.117251180951666
Al-Nb,1,72,Nb,17.88626734760155
Al-Nb,1,73,Nb,17.473399643447312
Al-Nb,1,74,Nb,16.747431917081478
Al-Nb,1,75,Al,17.64714387207355
Al-Nb,1,76,Nb,18.776492950520797
Al-Nb,1,77,Nb,18.07767635498387
Al-Nb,1,78,Nb,18.119218921690464
Al-Nb,1,79,Al,17.99974091875443
Al-Nb,1,80,Al,17.290412486037994
Al-Nb,1,81,Al,15.902207655888414
Al-Nb,1,82,Nb,19.30733851526723
Al-Nb,1,83,Al,16.537386731650308
Al-Nb,1,84,Nb,17.870561340427066
Al-Nb,1,85,Nb,17.45973684702358
Al-Nb,1,86,Nb,17.9337974565846
Al-Nb,1,87,Nb,19.45130454257945
Al-Nb,1,88,Al,17.828986483818095
Al-Nb,1,89,Al,17.461944870357407
Al-Nb,1,90,Al,17.24318943242137
Al-Nb,1,91,Nb,18.26628805186844
Al-Nb,1,92,Al,15.888615721477949
Al-Nb,1,93,Nb,18.02438996399815
Al-Nb,1,94,Al,16.063321155006925
Al-Nb,1,95,Al,17.1493680636714
Al-Nb,1,96,Al,16.94289286953559
Al-Nb,1,97,Nb,17.08736269932378
Al-Nb,1,98,Nb,19.151561491349163
Al-Nb,1,99,Nb,19.129369602385015
Al-Nb,1,100,Al,16.640291127204357
Al-Nb,1,101,Al,15.822161178814605
Al-Nb,1,102,Al,19.202977849844054
Al-Nb,1,103,Nb,18.142586697373197
Al-Nb,1,104,Al,17.176765761926656
Al-Nb,1,105,Nb,17.52437649343892
Al-Nb,1,106,Nb,17.07959374872116
Al-Nb,1,107,Al,16.737867464960722
Al-Nb,1,108,Al,16.367367116224997
Al-Nb,1,109,Nb,17.782784875036487
Al-Nb,1,110,Al,16.674819610970232
Al-Nb,1,111,Al,16.13555041170036
Al-Nb,1,112,Nb,17.803964965505628
Al-Nb,1,113,Nb,17.887928492170143
Al-Nb,1,114,Al,16.293895025529807
Al-Nb,1,115,Al,16.735760140182744
Al-Nb,1,116,Nb,18.703706942411994
Al-Nb,1,117,Nb,18.350320356864586
Al-Nb,1,118,Al,16.4246798419829
Al-Nb,1,119,Al,16.853508053722944
