lattice,element_a,element_b,at_percent_b,seed,file,n_atoms
bcc,Fe,Fe,0,0,out/bcc/pure_Fe.extxyz,128
bcc,Fe,Ni,25,1,out/bcc/Fe-Ni/Fe75Ni25_seed1.extxyz,128
bcc,Fe,Ni,25,2,out/bcc/Fe-Ni/Fe75Ni25_seed2.extxyz,128
bcc,Fe,Ni,25,3,out/bcc/Fe-Ni/Fe75Ni25_seed3.extxyz,128
bcc,Fe,Ni,50,1,out/bcc/Fe-Ni/Fe50Ni50_seed1.extxyz,128
bcc,Fe,Ni,50,2,out/bcc/Fe-Ni/Fe50Ni50_seed2.extxyz,128
bcc,Fe,Ni,50,3,out/bcc/Fe-Ni/Fe50Ni50_seed3.extxyz,128
bcc,Fe,Ni,75,1,out/bcc/Fe-Ni/Fe25Ni75_seed1.extxyz,128
bcc,Fe,Ni,75,2,out/bcc/Fe-Ni/Fe25Ni75_seed2.extxyz,128
bcc,Fe,Ni,75,3,out/bcc/Fe-Ni/Fe25Ni75_seed3.extxyz,128
bcc,Ni,Ni,0,0,out/bcc/pure_Ni.extxyz,128
bcc,Nb,Nb,0,0,out/bcc/pure_Nb.extxyz,128
bcc,Nb,Ta,25,1,out/bcc/Nb-Ta/Nb75Ta25_seed1.extxyz,128
bcc,Nb,Ta,25,2,out/bcc/Nb-Ta/Nb75Ta25_seed2.extxyz,128
bcc,Nb,Ta,25,3,out/bcc/Nb-Ta/Nb75Ta25_seed3.extxyz,128
bcc,Nb,Ta,50,1,out/bcc/Nb-Ta/Nb50Ta50_seed1.extxyz,128
bcc,Nb,Ta,50,2,out/bcc/Nb-Ta/Nb50Ta50_seed2.extxyz,128
bcc,Nb,Ta,50,3,out/bcc/Nb-Ta/Nb50Ta50_seed3.extxyz,128
bcc,Nb,Ta,75,1,out/bcc/Nb-Ta/Nb25Ta75_seed1.extxyz,128
bcc,Nb,Ta,75,2,out/bcc/Nb-Ta/Nb25Ta75_seed2.extxyz,128
bcc,Nb,Ta,75,3,out/bcc/Nb-Ta/Nb25Ta75_seed3.extxyz,128
bcc,Ta,Ta,0,0,out/bcc/pure_Ta.extxyz,128
