dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir,pair,omega_sf,dh_local,dh_chen,radius_diff_A,en_diff,vec_diff
Ag8Al8,OK,0.0,0.0,0.0,static_OUTCAR,-51.71770935,-51.71739534,bcc,2.0,16.0,275.42168167,3.25313969,3.25313969,6.50627939,6.50627939,6.50627939,yes,CLEANED:0,BCC_SQS,Ag8Al8,Ag-Al,-0.014797665946898752,-0.06694429750000008,-0.041630628749999676,0.026861271168886036,0.31999999999999984,8
Ag8Au8,OK,0.0,0.0,0.0,static_OUTCAR,-47.68912401,-47.6906093,bcc,2.0,16.0,286.81355293,3.29738679,3.29738679,6.59477359,6.59477359,6.59477359,yes,CLEANED:0,BCC_SQS,Ag8Au8,Ag-Au,-0.0006494738022741845,-0.038251912812500066,-0.03839772749999959,0.0016781499054441262,0.6100000000000001,0
Ag8Be8,OK,0.0,0.0,0.0,static_OUTCAR,-48.44549775,-48.44560191,bcc,2.0,16.0,220.69765047,3.0215926,3.0215926,6.04318519,6.04318519,6.04318519,yes,CLEANED:0,BCC_SQS,Ag8Be8,Ag-Be,0.07125107734294006,0.14888248062499976,,0.3905428867058185,0.3599999999999999,9
Ag8Ca8,OK,0.0,0.0,0.0,static_OUTCAR,-39.7405773,-39.7408982,bcc,2.0,16.0,416.88283095,3.73514966,3.73514966,7.47029931,7.47029931,7.47029931,yes,CLEANED:5|SRC:recalc2,BCC_SQS,Ag8Ca8,Ag-Ca,-0.1324046848893474,-0.18718036187499987,,0.5359201504515338,0.9299999999999999,9
Ag8Co8,OK,0.0,0.0,0.0,static_OUTCAR,-72.07718776,-72.07672288,bcc,2.0,16.0,233.91143933,3.08073133,3.08073133,6.16146265,6.16146265,6.16146265,yes,CLEANED:0,BCC_SQS,Ag8Co8,Ag-Co,0.008312665917282773,0.3107789099999998,0.32101505124999985,0.2397304729456471,0.050000000000000044,2
Ag8Cr8,OK,0.0,0.0,0.0,static_OUTCAR,-86.4360596,-86.43578829,bcc,2.0,16.0,264.6405761,3.21012651,3.21012651,6.42025303,6.42025303,6.42025303,yes,CLEANED:0,BCC_SQS,Ag8Cr8,Ag-Cr,0.12396569233888241,0.6975269553125001,0.5182003971875,0.22192551977560027,0.27,5
Ag8Cu8,OK,0.0,0.0,0.0,static_OUTCAR,-49.78144925,-49.78314054,bcc,2.0,16.0,240.84196956,3.11086187,3.11086187,6.22172374,6.22172374,6.22172374,yes,CLEANED:0,BCC_SQS,Ag8Cu8,Ag-Cu,0.012110335379367855,0.08594122562500006,0.10146244968750029,0.209332965864222,0.030000000000000027,0
Ag8Fe8,OK,0.0,0.0,0.0,static_OUTCAR,-82.32775333,-82.32690862,bcc,2.0,16.0,241.31274294,3.11288748,3.11288748,6.22577496,6.22577496,6.22577496,yes,CLEANED:0,BCC_SQS,Ag8Fe8,Ag-Fe,0.03225005159164514,0.3313513190624997,0.3345777462499999,0.23048508097402776,0.09999999999999987,3
Ag8Hf8,OK,0.0,0.0,0.0,static_OUTCAR,-99.74961927,-99.74987576,bcc,2.0,16.0,317.57529728,3.4112921,3.4112921,6.8225842,6.8225842,6.8225842,yes,CLEANED:0,BCC_SQS,Ag8Hf8,Ag-Hf,-0.010483269666229197,-0.021106304375000384,-0.016934164999999446,0.12064698061787515,0.6299999999999999,7
Ag8Ir8,OK,0.0,0.0,0.0,static_OUTCAR,-85.45976211,-85.45968831,bcc,2.0,16.0,255.94833359,3.17458851,3.17458851,6.34917702,6.34917702,6.34917702,yes,CLEANED:0,BCC_SQS,Ag8Ir8,Ag-Ir,-0.03025091055671401,0.10287462968749939,0.10567881187500028,0.09036032845020436,0.27000000000000024,2
Ag8Mg8,OK,0.0,0.0,0.0,static_OUTCAR,-35.95298705,-35.9516151,bcc,2.0,16.0,302.38241063,3.35600176,3.35600176,6.71200351,6.71200351,6.71200351,yes,CLEANED:0,BCC_SQS,Ag8Mg8,Ag-Mg,-0.07400752786181304,-0.16687495031249977,-0.17517353593749974,0.1388097693835395,0.6199999999999999,9
Ag8Mn8,OK,0.0,0.0,0.0,static_OUTCAR,-88.03051125,-88.02861057,bcc,2.0,16.0,264.29461076,3.20872704,3.20872704,6.41745407,6.41745407,6.41745407,yes,CLEANED:0,BCC_SQS,Ag8Mn8,Ag-Mn,0.14559441873022208,0.26481305468749916,0.26252726812499994,0.24640499372388924,0.3799999999999999,4
Ag8Mo8,OK,0.0,0.0,0.0,static_OUTCAR,-100.78828457,-100.78802178,bcc,2.0,16.0,264.06040548,3.20777895,3.20777895,6.4155579,6.4155579,6.4155579,yes,CLEANED:0,BCC_SQS,Ag8Mo8,Ag-Mo,-0.02057406863166038,0.5051030003124994,0.46814744593750035,0.06669832630979378,0.2300000000000002,5
Ag8Nb8,OK,0.0,0.0,0.0,static_OUTCAR,-98.01545353,-98.01561258,bcc,2.0,16.0,288.50430406,3.30385341,3.30385341,6.60770682,6.60770682,6.60770682,yes,CLEANED:0,BCC_SQS,Ag8Nb8,Ag-Nb,-0.0035888993624256117,0.2619813218749991,0.30537169343750037,0.011206605520506452,0.32999999999999985,6
Ag8Ni8,OK,0.0,0.0,0.0,static_OUTCAR,-61.49491543,-61.4941921,bcc,2.0,16.0,229.88101073,3.06293446,3.06293446,6.12586892,6.12586892,6.12586892,yes,CLEANED:0,BCC_SQS,Ag8Ni8,Ag-Ni,-0.0005354814133329648,0.19539147812500035,0.21181119406249937,0.25009445954908527,0.020000000000000018,1
Ag8Os8,OK,0.0,0.0,0.0,static_OUTCAR,-100.27314828,-100.27405491,bcc,2.0,16.0,252.49893992,3.16026274,3.16026274,6.32052548,6.32052548,6.32052548,yes,CLEANED:0,BCC_SQS,Ag8Os8,Ag-Os,-0.037263419904263094,0.24645466906249958,0.21676892187499952,0.09742374179713931,0.27000000000000024,3
Ag8Pb8,OK,0.0,0.0,0.0,static_OUTCAR,-48.43321284,-48.43215069,bcc,2.0,16.0,410.82476246,3.71696845,3.71696845,7.43393691,7.43393691,7.43393691,yes,CLEANED:5|SRC:recalc2,BCC_SQS,Ag8Pb8,Ag-Pb,-0.03360897755551899,0.06680994281249975,0.0892152934374999,0.41057561986943236,0.40000000000000013,7
Ag8Pd8,OK,0.0,0.0,0.0,static_OUTCAR,-63.50488967,-63.50569661,bcc,2.0,16.0,265.04431992,3.21175817,3.21175817,6.42351635,6.42351635,6.42351635,yes,CLEANED:0,BCC_SQS,Ag8Pd8,Ag-Pd,-0.0048984406462910845,-0.042837116562499666,-0.03377914375000035,0.08019560686494875,0.27000000000000024,1
Ag8Pt8,OK,0.0,0.0,0.0,static_OUTCAR,-69.28110422,-69.27914789,bcc,2.0,16.0,265.93578147,3.215355,3.215355,6.43071,6.43071,6.43071,yes,CLEANED:0,BCC_SQS,Ag8Pt8,Ag-Pt,-0.013830860096998904,0.01795195124999971,0.025258793749999953,0.06645951507143644,0.34999999999999987,1
Ag8Re8,OK,0.0,0.0,0.0,static_OUTCAR,-111.18556359,-111.18644093,bcc,2.0,16.0,255.16019893,3.17132668,3.17132668,6.34265337,6.34265337,6.34265337,yes,CLEANED:0,BCC_SQS,Ag8Re8,Ag-Re,-0.036016000798266404,0.42965488593749956,0.4528700984375007,0.0871452982106411,0.030000000000000027,4
