lattice,subset,comparison,omega_reference,n,pearson_r,spearman_rho,slope,intercept,mae,rmse,a_dh,b_radius,r2,partial_dh,partial_radius,r_radius,n_radius,r_dh,n_dh,r_en,n_en,r_vec,n_vec
BCC,formal_dft,Chen_dH_vs_omega_sf,DFT endpoints,387,0.18432159122126954,0.1400187328494428,0.03587720102086713,-0.006072721202180392,0.22248515037931565,0.3001712940637972,,,,,,,,,,,,,
BCC,formal_dft,size_regression,DFT endpoints,387,,,,0.028968406250904553,,,0.045224986945101825,-0.22236144529222127,0.24151591499140945,0.25644339841400726,-0.4635089594547044,-0.43373305331133655,387.0,0.18432159122126954,387.0,-0.2014761667151223,387.0,-0.2906107705799814,387.0
BCC,formal_dft,local_dH_vs_Chen_dH,DFT endpoints,387,0.9798329667827387,0.9839779065005555,1.002345645376467,0.012387570193289413,0.03233504431040044,0.05973885598532725,,,,,,,,,,,,,
BCC,formal_king,Chen_dH_vs_omega_sf,King,387,0.19921455751084438,0.14509697479388275,0.03973702817253484,-0.004917099726210928,0.2223262724078392,0.29962654167886726,,,,,,,,,,,,,
BCC,formal_king,size_regression,King,387,,,,0.03140893136606107,,,0.04942758286665208,-0.23051509362027225,0.25206990304612154,0.27403920927160824,-0.4702770858837114,-0.43742621727046516,387.0,0.19921455751084435,387.0,-0.20721206041411008,387.0,-0.2862839473127538,387.0
BCC,formal_king,local_dH_vs_Chen_dH,King,387,0.9798329667827387,0.9839779065005555,1.002345645376467,0.012387570193289413,0.03233504431040044,0.05973885598532725,,,,,,,,,,,,,
FCC,formal_dft,Chen_dH_vs_omega_sf,DFT endpoints,120,0.28419952907721,0.2869713174526008,0.04746471166409085,-0.0064723193213656795,0.204072250846803,0.27292690992345653,,,,,,,,,,,,,
FCC,formal_dft,size_regression,DFT endpoints,120,,,,0.013290278485454748,,,0.046330465419064826,-0.18401191898010194,0.27523274387413865,0.309785134282871,-0.4599458053768489,-0.4453040833224104,120.0,0.28419952907721,120.0,-0.3107632561355781,120.0,-0.14817165635320134,120.0
FCC,formal_dft,local_dH_vs_Chen_dH,DFT endpoints,120,0.9938185370266186,0.9942357108132507,1.0261352029235398,0.0021232689676764227,0.016471720998697852,0.026627407862172943,,,,,,,,,,,,,
FCC,formal_king,Chen_dH_vs_omega_sf,King,112,0.21913270244548314,0.18393583216592066,0.04179459942490769,0.0004874736368331821,0.18789152630067335,0.2547519086489954,,,,,,,,,,,,,
FCC,formal_king,size_regression,King,111,,,,0.028568579968475213,,,0.032369866376800754,-0.26171518992735054,0.39026956991125794,0.21109231370418474,-0.5994780213336458,-0.6015254481412367,111.0,0.21960716574796846,111.0,-0.39169938176637853,111.0,-0.21590819268506234,111.0
FCC,formal_king,local_dH_vs_Chen_dH,King,112,0.9963201580263019,0.9929698978371545,0.9987597618722104,0.0029121734894858586,0.013083457285156178,0.018569320972447265,,,,,,,,,,,,,
