dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir,pair,dh_local,dh_chen,omega_sf_dft,omega_sf_king,omega_sf,radius_diff_A,en_diff,vec_diff
Mn16Zn16,OK,0.0,0.0,0.0,static_OUTCAR,-157.17712879,-157.17707712,fcc,4.0,32.0,436.39683975,3.7925432,,7.5850864,7.5850864,7.5850864,yes,CLEANED:0,FCC_SQS,Mn16Zn16,Mn-Zn,0.0853869214062497,0.01259350562500039,,-0.005186472466900096,,,0.09999999999999987,5
Mo16Ni16,OK,0.0,0.0,0.0,static_OUTCAR,-260.01069593,-260.00980559,fcc,4.0,32.0,425.12,3.75959027,,7.51918054,7.51918054,7.51918054,yes,CLEANED:0,FCC_SQS,Mo16Ni16,Mo-Ni,-0.12711450265624968,-0.08702671874999979,-0.0075203743465337685,0.0017342783893831764,-0.0075203743465337685,0.19462231152448273,0.2500000000000002,4
Mo16Os16,OK,0.0,0.0,0.0,static_OUTCAR,-350.2759625,-350.27573265,fcc,4.0,32.0,483.7362959,3.92499911,,7.84999822,7.84999822,7.84999822,yes,CLEANED:0,FCC_SQS,Mo16Os16,Mo-Os,-0.1487294623437485,-0.14454484875000162,0.00043377767726076704,0.02278479342861971,0.00043377767726076704,0.0615645107613747,0.040000000000000036,2
Mo16Pd16,OK,0.0,0.0,0.0,static_OUTCAR,-256.97637107,-256.97731039,fcc,4.0,32.0,491.83172892,3.94677333,,7.89354667,7.89354667,7.89354667,yes,CLEANED:0,FCC_SQS,Mo16Pd16,Mo-Pd,-0.16933881796875028,-0.18288233281249955,-0.009918550795441222,0.014537874434799824,-0.009918550795441222,0.032950850537273535,0.040000000000000036,4
Mo16Pt16,OK,0.0,0.0,0.0,static_OUTCAR,-277.99762142,-277.99800466,fcc,4.0,32.0,496.81460691,3.96005718,,7.92011435,7.92011435,7.92011435,yes,CLEANED:0,FCC_SQS,Mo16Pt16,Mo-Pt,-0.3866740434374982,-0.3842400528125012,-0.009441914202682582,0.012155711971934276,-0.009441914202682582,0.022849255305486205,0.11999999999999966,4
Mo16Re16,OK,0.0,0.0,0.0,static_OUTCAR,-366.66614726,-366.67004562,fcc,4.0,32.0,496.07085445,3.95808006,,7.91616013,7.91616013,7.91616013,yes,CLEANED:0,FCC_SQS,Mo16Re16,Mo-Re,-0.040911355937499394,-0.037287159687501514,-0.0028133221152942807,0.023417342898993204,-0.0028133221152942807,0.03144227219726958,0.26000000000000023,1
Mo16Rh16,OK,0.0,0.0,0.0,static_OUTCAR,-292.56812862,-292.56771571,fcc,4.0,32.0,476.19181048,3.90448697,,7.80897395,7.80897395,7.80897395,yes,CLEANED:0,FCC_SQS,Mo16Rh16,Mo-Rh,-0.2614963565624997,-0.2457769978125004,-0.01008366058302359,0.01448642175409896,-0.01008366058302359,0.06705913008132658,0.11999999999999966,3
Mo16Ru16,OK,0.0,0.0,0.0,static_OUTCAR,-318.40622372,-318.40557706,fcc,4.0,32.0,475.21688932,3.90182056,,7.80364113,7.80364113,7.80364113,yes,CLEANED:0,FCC_SQS,Mo16Ru16,Mo-Ru,-0.13910455953124945,-0.14080824750000076,-0.004846390985289647,0.01876434048501065,-0.004846390985289647,0.07489538630612169,0.040000000000000036,2
Mo16Sc16,OK,0.0,0.0,0.0,static_OUTCAR,-266.167593,-266.16904349,fcc,4.0,32.0,592.82007395,4.20027416,,8.40054831,8.40054831,8.40054831,yes,CLEANED:0,FCC_SQS,Mo16Sc16,Mo-Sc,0.03346015656249968,-0.012565977812499796,-0.08753803043491723,-0.08673269356975591,-0.08753803043491723,0.2400384640739266,0.8,3
Mo16Si16,OK,0.0,0.0,0.0,static_OUTCAR,-265.22181138,-265.22349698,fcc,4.0,32.0,465.6065401,3.87533896,,7.75067793,7.75067793,7.75067793,yes,CLEANED:0,FCC_SQS,Mo16Si16,Mo-Si,-0.5929605440625005,-0.489105398125,-0.04039310003842439,,-0.04039310003842439,0.057873437726912114,0.26000000000000023,2
Mo16Ta16,OK,0.0,0.0,0.0,static_OUTCAR,-356.86829242,-356.86784824,fcc,4.0,32.0,557.75770083,4.11577725,,8.23155451,8.23155451,8.23155451,yes,CLEANED:0,FCC_SQS,Mo16Ta16,Mo-Ta,-0.11514381109374838,-0.12998957062499983,0.02015913424610772,0.03758836508840067,0.02015913424610772,0.06651072265433422,0.6600000000000001,1
Mo16Ti16,OK,0.0,0.0,0.0,static_OUTCAR,-295.49310505,-295.49372363,fcc,4.0,32.0,525.60637416,4.03512394,,8.07024788,8.07024788,8.07024788,yes,CLEANED:0,FCC_SQS,Mo16Ti16,Mo-Ti,-0.11021143265625,-0.11882380812499882,-0.014901445646315122,-0.011482956638180098,-0.014901445646315122,0.04146781111076492,0.6200000000000001,2
Mo16V16,OK,0.0,0.0,0.0,static_OUTCAR,-312.24900933,-312.24918266,fcc,4.0,32.0,482.36907804,3.92129779,,7.84259557,7.84259557,7.84259557,yes,CLEANED:0,FCC_SQS,Mo16V16,Mo-V,-0.130614570312499,-0.14332034093749968,0.00765237408795054,0.025200373295473817,0.00765237408795054,0.07226471117754674,0.5300000000000002,1
Mo16W16,OK,0.0,0.0,0.0,static_OUTCAR,-367.64757546,-367.64572627,fcc,4.0,32.0,519.17637662,4.01860184,,8.03720368,8.03720368,8.03720368,yes,CLEANED:0,FCC_SQS,Mo16W16,Mo-W,-0.0030323467187489683,0.004259127187500766,0.016450487772393666,0.03230756016765828,0.016450487772393666,0.0037673936414193143,0.19999999999999973,0
Mo16Zn16,OK,0.0,0.0,0.0,static_OUTCAR,-186.34815326,-186.34792846,fcc,4.0,32.0,484.39297191,3.92677438,,7.85354876,7.85354876,7.85354876,yes,CLEANED:0,FCC_SQS,Mo16Zn16,Mo-Zn,-0.03183030234375028,-0.06280630749999982,-0.028857681070274834,-0.01674047598652151,-0.028857681070274834,0.028659099588451253,0.5100000000000002,6
Mo16Zr16,OK,0.0,0.0,0.0,static_OUTCAR,-303.63588806,-303.63423369,fcc,4.0,32.0,610.28573915,4.24112505,,8.48225011,8.48225011,8.48225011,yes,CLEANED:0,FCC_SQS,Mo16Zr16,Mo-Zr,0.0034837039062498576,-0.02049422468749995,-0.025694388336559137,-0.01850499982309195,-0.025694388336559137,0.2036768697760587,0.8300000000000001,2
