system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Co-Fe-Mn-Ni-V,BCC,-0.034,-0.12,1.7879487173599815,7.800000000000001,2.881675979228606,2.8647745560004663,-0.016901423228139922,-0.5865136590639262
Co-Cr-Fe-Ni-V,BCC,-0.026,-0.041,1.7879487173599815,7.6,2.8784289270682097,2.8663533553703666,-0.012075571697843124,-0.41951953665719155
Co-Cr-Mn-Ni-V,BCC,-0.029,-0.075,1.7879487173599815,7.4,2.8853962613011004,2.8672491548344863,-0.018147106466614105,-0.6289294371800115
Co-Cr-Fe-Mn-V,BCC,-0.036,-0.058,1.7749925672341786,7.0,2.898707311299115,2.8680109047930915,-0.030696406506023344,-1.0589688164227289
Cr-Fe-Mn-Ni-V,BCC,-0.035,-0.079,1.7749925672341842,7.2,2.896611182218377,2.8733969308664222,-0.02321425135195465,-0.801427940845549
Co-Cr-Fe-Ni-Ru,BCC,-0.025,-0.073,2.751218666745544,8.200000000000001,2.874351712681057,2.8828619964382094,0.008510283757152237,0.29607663250139465
Co-Cu-Fe-Ni-Ru,BCC,-0.014,-0.06,2.3424278964210146,9.2,2.8711527620415747,2.8846383363370682,0.013485574295493574,0.4696919813456551
Co-Fe-Mn-Ni-Ru,BCC,-0.027,-0.138,2.751218666745544,8.4,2.877607967510887,2.8872295003695325,0.00962153285864531,0.3343587092917273
Co-Cr-Fe-Mn-Ru,BCC,-0.039,-0.088,2.919708029197076,7.6,2.8946870619248646,2.890616640530727,-0.00407042139413738,-0.14061697541255785
Co-Cr-Fe-Ni-Os,BCC,-0.033,-0.142,2.751218666745544,8.200000000000001,2.8808890002459564,2.891638124627312,0.010749124381355557,0.37311831106432247
Co-Cu-Fe-Ni-Os,BCC,-0.014,-0.119,2.3424278964210146,9.2,2.8777045753019896,2.893186790380329,0.015482215078339578,0.538005715083344
Cr-Fe-Mn-Ni-Ru,BCC,-0.035,-0.108,2.9197080291970705,7.800000000000001,2.8925851000884903,2.8936047680365755,0.0010196679480851678,0.035251095916036285
Co-Fe-Mn-Ni-Os,BCC,-0.037,-0.209,2.751218666745544,8.4,2.8841305186189143,2.8949605312177216,0.010830012598807226,0.37550355397900825
Al-Cr-Fe-Mn-Ni,BCC,-0.011,-0.171,4.287464628562723,6.800000000000001,2.9401008804294144,2.895838742209585,-0.044262138219829605,-1.5054632483687067
Co-Cr-Fe-Mn-Os,BCC,-0.047,-0.16,2.919708029197076,7.6,2.9011331283361317,2.8984602354663656,-0.0026728928697661303,-0.09213272026916935
Co-Cr-Fe-Mn-Rh,BCC,-0.031,-0.052,1.7749925672341786,7.800000000000001,2.897596105395194,2.899655042248622,0.0020589368534280617,0.07105672352314436
Cr-Fe-Mn-Ni-Os,BCC,-0.043,-0.181,2.9197080291970705,7.800000000000001,2.8990405069928618,2.902060835812522,0.0030203288196601896,0.10418373983994927
Co-Fe-Ni-V-Zn,BCC,-0.027,-0.108,1.4705882352941169,8.8,2.92901511081847,2.9025190428838497,-0.02649606793462045,-0.9046067340778079
Co-Cr-Fe-Mn-Re,BCC,-0.039,-0.029,1.7749925672341786,7.4,2.91273039984441,2.904230345554889,-0.008500054289521053,-0.29182427216659335
Cr-Fe-Mn-Ni-Re,BCC,-0.032,-0.047,1.7749925672341842,7.6,2.9106544270411363,2.908129159618024,-0.0025252674231124317,-0.08675943800307222
Co-Mn-Ni-V-Zn,BCC,-0.024,-0.127,1.4705882352941169,8.6,2.9357446884534344,2.90874228947774,-0.02700239897569423,-0.919780220735722
Co-Fe-Ni-Ru-V,BCC,-0.043,-0.22,2.3424278964210217,8.0,2.903365098852497,2.908778435312506,0.005413336460009077,0.18645042134551393
Co-Cr-Fe-Mn-Mo,BCC,-0.019,0.079,2.258769757263124,7.2,2.9263550835232603,2.9088808179697345,-0.017474265553525825,-0.5971341499845342
Co-Cr-Ni-Ru-V,BCC,-0.032,-0.17,2.3424278964210217,7.6,2.9070301100776743,2.909648211127748,0.0026181010500736512,0.09006102279428048
Al-Co-Fe-Ni-V,BCC,-0.042,-0.276,3.6559548399748927,7.0,2.9505371041573993,2.9108121343769486,-0.0397249697804507,-1.3463640136732047
Co-Mn-Ni-Ru-V,BCC,-0.038,-0.246,2.3424278964210217,7.800000000000001,2.9102136882872194,2.912085691138966,0.0018720028517464904,0.0643252713462509
Co-Fe-Mn-Ni-Ti,BCC,-0.037,-0.182,1.7749925672341786,7.6,2.9418274229769303,2.91242391708188,-0.02940350589505014,-0.9994979877268185
Cr-Fe-Mn-Mo-Ni,BCC,-0.017,0.054,2.258769757263128,7.4,2.924298416972298,2.913498360937746,-0.010800056034551808,-0.36932126939814014
Al-Co-Mn-Ni-V,BCC,-0.038,-0.29,3.6559548399748927,6.800000000000001,2.9571691952458905,2.913905025012397,-0.043264170233493715,-1.4630265425139555
Co-Fe-Mn-V-Zn,BCC,-0.033,-0.083,1.7879487173599815,8.200000000000001,2.9486060636460882,2.9139319664179766,-0.034674097228111656,-1.1759487866356595
Co-Cr-Fe-Mn-W,BCC,-0.017,0.087,1.7749925672341786,7.2,2.930506344327433,2.9140667396014983,-0.016439604725934753,-0.5609817142268543
Co-Cu-Ni-Ru-Zn,BCC,-0.017,-0.143,1.4925373134328404,10.0,2.9256075393240466,2.9148704259277665,-0.01073711339628014,-0.36700457091250593
Co-Fe-Ni-Ru-Zn,BCC,-0.038,-0.174,2.3424278964210217,9.4,2.925077797623945,2.915302053846132,-0.009775743777812984,-0.334204573490451
Co-Fe-Ni-Rh-V,BCC,-0.037,-0.172,1.4705882352941169,8.200000000000001,2.9062568042388968,2.915463867200948,0.009207062962051094,0.316801424726893
Co-Fe-Mn-Ru-V,BCC,-0.049,-0.23,2.7512186667455425,7.4,2.9233002031303488,2.9170603436694527,-0.006239859460896113,-0.21345257165905518
Co-Fe-Ni-Os-V,BCC,-0.05,-0.291,2.3424278964210217,8.0,2.9097728159970546,2.9171039406085146,0.007331124611460016,0.25194835044013403
Fe-Mn-Ni-V-Zn,BCC,-0.028,-0.121,1.7879487173599815,8.4,2.946580352319277,2.9172692566045146,-0.029311095714762203,-0.9947495812116988
Co-Cr-Mn-Ru-V,BCC,-0.041,-0.2,2.7512186667455425,7.0,2.926915491136499,2.9173541311673246,-0.009561359969174621,-0.32667017541603216
Co-Cr-Fe-Ru-V,BCC,-0.043,-0.165,2.7512186667455425,7.2,2.9201451106968404,2.9174267090629544,-0.002718401633885925,-0.09309132015145738
Co-Cr-Fe-V-Zn,BCC,-0.011,-0.002,1.7879487173599815,8.0,2.945504980361546,2.9186425395542144,-0.026862440807331467,-0.9119808313491372
Co-Cr-Ni-Os-V,BCC,-0.039,-0.241,2.3424278964210217,7.6,2.913421733597091,2.918801590867871,0.00537985727077972,0.18465768991629697
Cr-Fe-Ni-Ru-V,BCC,-0.043,-0.183,2.7512186667455425,7.4,2.918079678152174,2.9188145895464332,0.0007349113942591856,0.025184761052328638
Cr-Fe-Mn-Ni-W,BCC,-0.012,0.065,1.7749925672341842,7.4,2.9284555065868276,2.9188828480992424,-0.009572658487585262,-0.3268842045253535
Co-Cr-Fe-Mn-Ti,BCC,-0.016,-0.077,1.4388489208633095,6.800000000000001,2.9581751596093495,2.919148686503443,-0.03902647310590668,-1.319275262627127
Fe-Mn-Ni-Ru-V,BCC,-0.041,-0.25,2.7512186667455425,7.6,2.921239231305728,2.919701202614706,-0.001538028691022042,-0.05264987114165853
Co-Mn-Ni-Os-V,BCC,-0.045,-0.319,2.3424278964210217,7.800000000000001,2.9165913812766946,2.9202226791040378,0.0036312978273431717,0.12450485353054924
Co-Mn-Ni-Rh-V,BCC,-0.031,-0.195,1.4705882352941169,8.0,2.9130918197833613,2.920566781317788,0.007474961534426505,0.25659889893145893
Cr-Fe-Ni-V-Zn,BCC,-0.012,-0.038,1.7879487173599815,8.200000000000001,2.9434749969615694,2.920718399194102,-0.0227565977674673,-0.7731201315097977
Al-Co-Fe-Ni-Ru,BCC,-0.048,-0.361,3.83384925834044,7.6,2.9466571345714683,2.9212875823273983,-0.025369552244070004,-0.860960440440231
Cr-Mn-Ni-Ru-V,BCC,-0.05,-0.231,2.7512186667455425,7.2,2.924859612908091,2.9213374626235895,-0.003522150284501535,-0.12042117402686475
Co-Cr-Mn-V-Zn,BCC,-0.018,-0.029,1.7879487173599815,7.800000000000001,2.9521596748748866,2.9214465379914016,-0.03071313688348498,-1.0403616425248614
Al-Fe-Mn-Ni-V,BCC,-0.039,-0.277,4.057204129667899,6.6000000000000005,2.9678492669070713,2.9221139740511677,-0.04573529285590361,-1.5410247874066194
Cr-Fe-Mn-Ru-V,BCC,-0.048,-0.203,2.9197080291970807,6.800000000000001,2.93781626291561,2.9229533055339596,-0.014862957381650332,-0.5059185480476482
Co-Fe-Ir-Ni-V,BCC,-0.035,-0.264,1.4705882352941169,8.200000000000001,2.912573232761065,2.9234037295211035,0.010830496760038333,0.3718531997140969
Co-Fe-Ni-Os-Zn,BCC,-0.035,-0.22,2.3424278964210217,9.4,2.931391046626988,2.9235420512651866,-0.007848995361801503,-0.2677566805982084
Co-Cr-Fe-Rh-V,BCC,-0.04,-0.129,1.7879487173599815,7.4,2.9230037271251583,2.923654678596395,0.000650951471236727,0.022269950092638192
Co-Cu-Ni-Os-Zn,BCC,-0.002,-0.179,1.4925373134328404,10.0,2.9319185096222697,2.9237303460609962,-0.008188163561273498,-0.27927664204856806
Co-Fe-Ni-Re-V,BCC,-0.044,-0.165,1.4705882352941169,7.800000000000001,2.9213017277325815,2.923786898993172,0.0024851712605906684,0.08507068054622269
Co-Mn-Ni-Ru-Zn,BCC,-0.03,-0.189,2.3424278964210217,9.2,2.9318254417077347,2.924251880755837,-0.007573560951897651,-0.25832236954346743
Co-Fe-Mn-Os-V,BCC,-0.056,-0.304,2.7512186667455425,7.4,2.9296211075324647,2.924468797832591,-0.00515230969987357,-0.17586948997009416
Cr-Fe-Ni-Rh-V,BCC,-0.035,-0.141,1.7879487173599815,7.6,2.9209423367539187,2.9248040015799566,0.0038616648260378916,0.13220613010558127
Al-Co-Cu-Ni-Ru,BCC,-0.004,-0.299,3.030303030303032,8.200000000000001,2.94717914779902,2.9248805988206237,-0.022298548978396227,-0.7566064993045634
Co-Cr-Mn-Rh-V,BCC,-0.031,-0.159,1.7879487173599815,7.2,2.929760917330533,2.9253872243223427,-0.004373693008190127,-0.14928498029713771
Co-Cr-Mn-Os-V,BCC,-0.049,-0.274,2.7512186667455425,7.0,2.933220840497728,2.9255900667225467,-0.007630773775181066,-0.26014999177103304
Co-Cr-Fe-Os-V,BCC,-0.052,-0.238,2.7512186667455425,7.2,2.926479637097444,2.9258313043136117,-0.0006483327838324726,-0.022154016573834947
Co-Cr-Ni-Re-V,BCC,-0.033,-0.118,1.4705882352941169,7.4,2.9249219547199017,2.9259575528957464,0.0010355981758447541,0.035406010549225944
Co-Fe-Mn-Rh-V,BCC,-0.044,-0.192,1.7879487173599815,7.6,2.92615266134877,2.9261882437388094,3.558239003931263e-05,0.0012160127702602985
Co-Mn-Ni-Re-V,BCC,-0.039,-0.194,1.4705882352941169,7.6,2.9280667666700606,2.9263827264674465,-0.0016840402026141454,-0.057513722766961276
Co-Cu-Ni-Rh-Ru,BCC,-0.024,-0.113,1.4925373134328312,9.4,2.902795560296596,2.926842148320376,0.024046588023780124,0.8283941298753792
Al-Co-Mn-Ni-Ru,BCC,-0.042,-0.37,3.83384925834044,7.4,2.953306643642621,2.9271337485266753,-0.02617289511594567,-0.8862234191727518
Al-Cr-Fe-Ni-V,BCC,-0.023,-0.202,4.057204129667899,6.4,2.9647883297066153,2.9277082425246888,-0.03708008718192657,-1.25068244536688
Fe-Mn-Ni-Os-V,BCC,-0.049,-0.323,2.7512186667455425,7.6,2.9275690289074356,2.9277139393629596,0.0001449104555240055,0.004949856146622984
Cr-Fe-Ni-Os-V,BCC,-0.05,-0.255,2.7512186667455425,7.4,2.924423145794576,2.927828807516082,0.003405661721505915,0.11645584622059146
Cr-Fe-Mn-V-Zn,BCC,-0.017,-0.023,1.7749925672341842,7.6,2.9628758269128004,2.9279175947818468,-0.034958232130953615,-1.1798750326765706
Cu-Fe-Ni-Ru-Zn,BCC,-0.021,-0.139,2.3424278964210217,9.8,2.936518005847802,2.9279581807616157,-0.008559825086186468,-0.2914957466339513
Fe-Mn-Ni-Rh-V,BCC,-0.037,-0.207,1.7879487173599815,7.800000000000001,2.9240957099400093,2.9285806193535637,0.004484909413554394,0.15337765444231669
Cr-Mn-Ni-Rh-V,BCC,-0.04,-0.186,1.7879487173599815,7.4,2.9277090347594084,2.9291167832379483,0.0014077484785399719,0.04808361971174014
Co-Cr-Ni-Os-Zn,BCC,-0.021,-0.155,2.3424278964210217,9.0,2.9349864419368914,2.9294229076610367,-0.0055635342758546535,-0.1895591133355662
Co-Fe-Mo-Ni-V,BCC,-0.032,-0.042,2.8985507246376714,7.6,2.934847129572937,2.929747730735092,-0.005099398837844937,-0.17375347378270345
Al-Co-Fe-Ni-Os,BCC,-0.058,-0.405,3.83384925834044,7.6,2.9528785461954885,2.929823241158987,-0.02305530503650166,-0.7807739016630499
Cr-Mn-Ni-Os-V,BCC,-0.057,-0.306,2.7512186667455425,7.2,2.9311738007993733,2.930167641297114,-0.0010061595022592407,-0.03432616319048862
Co-Fe-Mn-Re-V,BCC,-0.048,-0.173,1.7879487173599815,7.2,2.9409952358914078,2.9301749393092993,-0.01082029658210848,-0.36791275450090544
Co-Fe-Ni-Rh-Ru,BCC,-0.04,-0.167,2.3424278964210146,8.8,2.9022574574832114,2.9302209443390397,0.02796348685582828,0.9635081403177009
Co-Cu-Fe-Ru-Zn,BCC,-0.02,-0.098,2.3424278964210217,9.6,2.9385576092164043,2.930325143078165,-0.008232466138239136,-0.280153300803737
Al-Cr-Fe-Mn-V,BCC,-0.041,-0.171,4.287464628562723,5.800000000000001,2.9839138999611543,2.9303587743752364,-0.053555125585917907,-1.7947946013661824
Co-Fe-Ni-Re-Zn,BCC,-0.017,-0.085,1.4705882352941169,9.2,2.942751523439155,2.930424985639228,-0.012326537799927095,-0.4188779685184304
Co-Cu-Ni-Os-Ru,BCC,-0.029,-0.223,1.8417216111151795,9.2,2.9063199466727974,2.9305220853130463,0.024202138640248894,0.8327417175096602
Co-Cr-Ni-Os-Ru,BCC,-0.042,-0.25,2.792281631920852,8.200000000000001,2.9094420740853986,2.9309959430283357,0.021553868942937093,0.7408248177517914
Cr-Fe-Mn-Os-V,BCC,-0.055,-0.278,2.9197080291970807,6.800000000000001,2.9440750561756164,2.9310760036925307,-0.012999052483085638,-0.4415326455695576
Co-Mn-Mo-Ni-V,BCC,-0.032,-0.071,2.8985507246376714,7.4,2.9415500795983585,2.9311575512860255,-0.01039252831233295,-0.35330108382013176
Cr-Fe-Ni-Ru-Zn,BCC,-0.015,-0.114,2.7512186667455425,8.8,2.9395763500188408,2.931283471338949,-0.008292878679891924,-0.28211135525834435
