Element,V_pure,r_pure,delta_B2,delta_L12
Ag,17.061,1.5970013792725173,-0.007146660697507354,0.022537152801129327
Al,16.602,1.582549367713697,-0.05000118802601655,-0.021280831674356168
Au,16.966,1.594031690087204,-0.0018519674425078458,0.0191497255036762
Be,8.111,1.2464128871712232,-0.014560617758845984,
Ca,43.63,2.183897248992819,-0.1580702755182039,-0.1041902459378232
Co,11.073,1.3826923611463033,-0.06301251701770846,-0.02494449567020173
Cr,12.008,1.4205636251907152,0.07074536080519082,0.04025106477740706
Cu,11.81,1.412712418206345,-0.01206267849011827,-0.006624984208206336
Dy,31.54,1.960007319637871,-0.026718997330194304,-0.05774043003473424
Er,30.66,1.9416063353551711,-0.04270032499428812,-0.056864550230775045
Fe,11.776,1.4113554216028104,-0.028176634256379892,0.024685645689950866
Ge,22.634,1.7547862958334142,,-0.1518934833270475
Hf,22.312,1.7464250978479678,-0.002809196211540338,-0.027143962285696224
Ir,14.155,1.500630450421227,-0.06378732575497288,-0.017630954827601762
La,37.168,2.070269390695367,0.039916208067253565,-0.0496926610316371
Mg,23.24,1.770309384051908,-0.03137397426671365,-0.07664680066964906
Mn,12.21,1.428485001664581,0.047970260433736506,0.007493788497227751
Mo,15.583,1.5494853952179959,0.07376240233043178,
Nb,17.978,1.6251155863008009,0.0705818646601579,0.025427260686091187
Ni,10.941,1.3771760758322233,-0.04178393751816509,-0.041587704917901175
Os,13.977,1.4943137246635851,-0.046786469754881564,
Pb,30.321,1.9344238453824663,,-0.03432281842774355
Pd,14.716,1.5201988160139424,-0.026849550747972187,-0.020125013848544124
Pt,15.095,1.5331388987435077,-0.02705421614442292,-0.005547735615567099
Re,14.712,1.520061066935985,-0.04421144252424298,
Rh,13.754,1.4863239306523217,-0.05052701736201384,-0.02572690966166314
Ru,13.571,1.4797025210257315,-0.05244641112599621,-0.023595481196495505
Sc,24.987,1.8136013727062499,-0.06363959528609026,-0.07028034805718238
Si,20.024,1.6845635878380372,-0.18056173864000716,-0.13360249438876096
Sn,27.053,1.8622684018206264,-0.05281224029318289,-0.0588919441879019
Ta,18.014,1.6261995992423404,0.057350290194593166,-0.008656180902505806
Tb,32.09,1.9713347123038616,-0.025811860708932804,-0.04998829727279948
Ti,17.649,1.6151412089743407,-0.016386363545276405,-0.03710328103116591
V,13.824,1.48884117815856,-0.016057459757850567,-0.014145574443042767
W,15.85,1.5582849840929494,0.061300664619996295,
Y,33.018,1.9901572114304584,-0.04369562914261712,-0.060474514018553735
Zn,15.207,1.536921356892218,-0.028678658720775213,-0.04319173910230124
Zr,23.279,1.771299106960212,-2.000860180360626e-05,-0.02842893078416055
