pair,structure,omega_sf
Ag-Al,B2,-0.0005235810697940927
Ag-Au,B2,0.045738315628765264
Ag-Be,B2,0.0037951729644074765
Ag-Ca,B2,-0.1574545755091728
Ag-Co,B2,0.023683353992951024
Ag-Cr,B2,0.20910808760541422
Ag-Cu,B2,0.039892513855123116
Ag-Fe,B2,0.061383512360968236
Ag-Hf,B2,-0.0017807147836058272
Ag-Ir,B2,0.022240955863622732
Ag-Mg,B2,-0.08952332255043405
Ag-Mn,B2,0.13467821763413065
Ag-Mo,B2,0.01817685370972294
Ag-Nb,B2,0.041022458040043834
Ag-Ni,B2,0.016186605213854247
Ag-Os,B2,0.004019768241438089
Ag-Pb,B2,0.014748002622585354
Ag-Pd,B2,0.04553737153401933
Ag-Pt,B2,0.027546909719606917
Ag-Re,B2,-0.007082558520846104
Ag-Rh,B2,0.03586775321794365
Ag-Ru,B2,0.018972637191858297
Ag-Sc,B2,-0.03700052927129223
Ag-Sn,B2,0.026710587577101853
Ag-Ta,B2,0.01626473158984728
Ag-Ti,B2,0.015873928591944215
Ag-V,B2,0.07244665953399156
Ag-W,B2,0.0030026528578275292
Ag-Zn,B2,-0.0019477302969996377
Ag-Zr,B2,0.01153662776021977
Al-Au,B2,-0.001938761787494461
Al-Be,B2,-0.0010310338095442155
Al-Ca,B2,-0.1536764110434708
Al-Co,B2,-0.16507044623718733
Al-Cr,B2,-0.01760666618943107
Al-Cu,B2,-0.050490027235411114
Al-Fe,B2,-0.16759851951956997
Al-Hf,B2,-0.033613210492222025
Al-Ir,B2,-0.11632156832293783
Al-Mg,B2,-0.017561947538402546
Al-Mn,B2,-0.13193328021146217
Al-Mo,B2,-0.05342347974442011
Al-Nb,B2,-0.018617091487135633
Al-Ni,B2,-0.12367159954571603
Al-Os,B2,-0.10957726767269693
Al-Pb,B2,0.06798309729002505
Al-Pd,B2,-0.07252726028313979
Al-Pt,B2,-0.06837624722651604
Al-Re,B2,-0.0827551399853597
Al-Rh,B2,-0.11866046345569388
Al-Ru,B2,-0.10034805240907826
Al-Sc,B2,-0.07368378669367563
Al-Sn,B2,0.03981933979304095
Al-Ta,B2,-0.034205948893769704
Al-Ti,B2,-0.058877944858811294
Al-V,B2,-0.033195135701451925
Al-W,B2,-0.05929386815714599
Al-Zn,B2,0.014735559844344829
Al-Zr,B2,-0.032290255161154184
Au-Be,B2,0.038536763481254885
Au-Ca,B2,-0.21398564899744435
Au-Co,B2,0.033931538154589526
Au-Cr,B2,0.13729720141116822
Au-Cu,B2,0.03390749182372669
Au-Fe,B2,0.06244523379313565
Au-Hf,B2,-0.008001031917203378
Au-Ir,B2,0.035515756349318944
Au-Mg,B2,-0.12126358067999367
Au-Mn,B2,0.13262422208500235
Au-Mo,B2,0.03141927981796293
Au-Nb,B2,0.03516117112685005
Au-Ni,B2,0.02881703893306366
Au-Os,B2,0.0214707461967846
Au-Pb,B2,0.019851584795976856
Au-Pd,B2,0.04574645533284321
Au-Pt,B2,0.031132255581870685
Au-Re,B2,0.012178202896974773
Au-Rh,B2,0.036493725727663906
Au-Ru,B2,0.03254726815534667
Au-Sc,B2,-0.0734037708609675
Au-Sn,B2,0.013260576644530207
Au-Ta,B2,0.025442258660837526
Au-Ti,B2,0.008312685040275637
Au-V,B2,0.06109193342661595
Au-W,B2,0.023727739308840687
Au-Zn,B2,-0.011416892098767693
Au-Zr,B2,-0.0016904379679565339
Be-Ca,B2,-0.15302863235090106
Be-Co,B2,-0.11367932976259998
Be-Cr,B2,0.016979702766129392
Be-Cu,B2,-0.03648077395722821
Be-Fe,B2,-0.08411842197483982
Be-Hf,B2,-0.0024796109338591113
