origin,ref,struct,family,composition,a_exp,a_pred_family_vegard,a_pred_family_eq10_compound_king,a_pred_family_eq10_sqs_dft,a_pred_family_veff_empirical,a_pred_family_eq10_dr_surrogate,a_pred_eset_vegard,a_pred_eset_eq10_compound_king,a_pred_eset_eq10_sqs_dft,a_pred_eset_veff_empirical,a_pred_eset_eq10_dr_surrogate
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.256Nb0.227Ta0.244W0.273,3.2134,3.2264,3.2282,3.2202,3.2281,3.2329,3.2264,3.2280,3.2193,3.1987,3.2278
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.260Nb0.220Ta0.270W0.250,3.24,3.2290,3.2307,3.2228,3.2306,3.2353,3.2290,3.2305,3.2218,3.2002,3.2303
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.250Nb0.250Ta0.250W0.250,3.222,3.2305,3.2325,3.2243,3.2320,3.2370,3.2305,3.2322,3.2233,3.2006,3.2319
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.217Nb0.206Ta0.156V0.210W0.211,3.1832,3.1842,3.1814,3.1801,3.1635,3.1736,3.1842,3.1818,3.1793,3.1786,3.1822
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.167Nb0.167Ta0.167Ti0.167V0.167W0.167,3.216,3.2064,3.1956,3.1993,3.1915,3.2006,3.2064,3.1970,3.1978,3.2026,3.2053
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Hf0.200Nb0.200Ti0.200V0.200Zr0.200,3.377,3.3625,3.3505,3.3625,3.3450,3.2949,3.3625,3.3518,3.3625,3.3657,3.3439
calibration,Alonso2005_Table2,BCC,Al-Cr-Cu-Fe-Mo-Ni-V,Al0.262Cr0.241Fe0.259Mo0.235V0.003,3.01,3.0364,3.0082,2.9832,3.0259,3.0310,3.0364,3.0055,2.9867,2.9612,3.0288
calibration,Alonso2005_Table2,BCC,Al-Cr-Cu-Fe-Mo-Ni-V,Al0.200Cr0.243Fe0.232Mo0.166V0.158,2.98,3.0188,2.9907,2.9677,3.0119,3.0142,3.0188,2.9896,2.9737,2.9995,3.0128
calibration,Alonso2005_Table2,BCC,Al-Cr-Cu-Fe-Mo-Ni-V,Al0.180Cr0.220Cu0.214Fe0.196Ni0.189,2.894,2.9276,2.9076,2.8860,2.9200,2.9243,2.9276,2.9069,2.8914,2.8959,2.9230
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Hf0.250Nb0.250Ti0.250Zr0.250,3.438,3.4372,3.4239,3.4349,3.4372,3.4074,3.4372,3.4257,3.4345,3.4320,3.4313
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Cr0.187Mo0.208Nb0.200Ti0.202V0.203,3.14,3.1383,3.1207,3.1282,3.1093,3.0968,3.1383,3.1229,3.1262,3.1231,3.1299
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Nb0.250Ta0.250Ti0.250V0.250,3.23,3.2311,3.2219,3.2307,3.2132,3.2230,3.2311,3.2233,3.2306,3.2223,3.2295
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Nb0.250Ta0.250Ti0.250V0.250,3.2206,3.2311,3.2219,3.2307,3.2132,3.2230,3.2311,3.2233,3.2306,3.2223,3.2295
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.210Nb0.270Ta0.270W0.240,3.218,3.2373,3.2396,3.2311,3.2407,3.2445,3.2373,3.2393,3.2302,3.2064,3.2389
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.180Nb0.220Ta0.280W0.310,3.216,3.2324,3.2340,3.2260,3.2389,3.2391,3.2324,3.2338,3.2249,3.2075,3.2338
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.270Nb0.240Ta0.250W0.240,3.214,3.2288,3.2307,3.2226,3.2293,3.2351,3.2288,3.2305,3.2217,3.1986,3.2301
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.180Nb0.240Ta0.360W0.220,3.228,3.2454,3.2474,3.2392,3.2516,3.2533,3.2454,3.2471,3.2383,3.2146,3.2471
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.230Nb0.216Ta0.281W0.273,3.2034,3.2305,3.2321,3.2242,3.2341,3.2370,3.2305,3.2319,3.2232,3.2033,3.2319
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Hf0.213Mo0.043Ti0.426V0.106Zr0.213,3.4584,3.3822,3.3665,3.3814,3.3714,3.3209,3.3822,3.3668,3.3812,3.3731,3.3624
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Al0.120Nb0.255Ta0.121Ti0.262Zr0.242,3.355,3.3628,3.3470,3.3536,3.3519,3.3402,3.3628,3.3493,3.3518,3.3400,3.3585
calibration,Alonso2005_Table2,BCC,Cr-Fe-Ta-V-W,Cr0.309Fe0.308Ta0.025V0.333W0.025,2.935,2.9463,2.9155,2.9196,2.9590,2.9441,2.9463,2.9155,2.9196,2.9590,2.9441
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.200Nb0.200Ta0.200Ti0.200V0.200,3.1945,3.2146,3.2037,3.2089,3.1921,3.2051,3.2146,3.2055,3.2079,3.2024,3.2128
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Hf0.198Nb0.199Ta0.175Ti0.217V0.212,3.279,3.2952,3.2848,3.2954,3.2799,3.2536,3.2952,3.2864,3.2955,3.2996,3.2876
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.037Nb0.304Ta0.051Ti0.319Zr0.290,3.285,3.3809,3.3667,3.3757,3.3806,3.3506,3.3809,3.3705,3.3752,3.3865,3.3769
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.207Nb0.255Ta0.190Ti0.217Zr0.131,3.24,3.3088,3.2966,3.2985,3.3051,3.2929,3.3088,3.2998,3.2974,3.2996,3.3067
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Mo0.095Nb0.275Ta0.091Ti0.284Zr0.256,3.4,3.3629,3.3485,3.3550,3.3614,3.3327,3.3629,3.3523,3.3541,3.3649,3.3589
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Hf0.200Nb0.200Ti0.200V0.200Zr0.200,3.3663,3.3625,3.3505,3.3625,3.3450,3.2949,3.3625,3.3518,3.3625,3.3657,3.3439
calibration,Alonso2005_Table2,BCC,Al-Cr-Hf-Mo-Nb-Ta-Ti-V-W-Zr,Al0.266Nb0.238Ti0.251V0.245,3.18,3.2083,3.1900,3.1889,3.1511,3.1972,3.2083,3.1932,3.1852,3.1985,3.2063
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.250Cr0.250Fe0.250Ni0.250,3.575,3.5778,3.5676,3.5778,3.5932,3.5726,3.5778,3.5722,3.5778,3.5779,3.5725
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.200Cr0.200Fe0.200Mn0.200Ni0.200,3.597,3.5936,3.5766,3.5936,3.6058,3.5883,3.5936,3.5834,3.5936,3.5921,3.5889
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.204Cr0.205Fe0.202Mn0.194Ni0.195,3.59,3.5936,3.5765,3.5936,3.6055,3.5882,3.5936,3.5834,3.5936,3.5920,3.5889
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.203Cr0.194Fe0.206Mn0.201Ni0.196,3.6,3.5936,3.5765,3.5936,3.6056,3.5883,3.5936,3.5834,3.5936,3.5920,3.5889
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Cr0.127Fe0.498Mn0.264Ni0.111,3.61,3.6167,3.5975,3.6167,3.6234,3.6113,3.6167,3.6075,3.6167,3.6114,3.6122
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.200Cr0.200Fe0.400Mn0.100Ni0.100,3.587,3.5977,3.5822,3.5977,3.6038,3.5922,3.5977,3.5884,3.5977,3.5939,3.5928
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.211Cr0.187Fe0.342Mn0.197Ni0.063,3.588,3.6041,3.5843,3.6041,3.6079,3.5984,3.6041,3.5923,3.6041,3.6001,3.5991
calibration,Alonso2005_Table2,FCC,Ir-Os-Pd-Pt-Rh-Ru,Ir0.159Os0.143Pd0.182Pt0.174Rh0.156Ru0.185,3.8473,3.8462,3.8502,3.8558,3.8541,3.8400,3.8462,3.8502,3.8557,3.8508,3.8403
calibration,Alonso2005_Table2,BCC,Co-Cr-Cu-Ni-Zn,Co0.200Cr0.200Cu0.200Ni0.200Zn0.200,2.8831,2.9011,2.8945,2.8778,2.8773,2.8975,2.9011,2.8945,2.8778,2.8773,2.8975
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.301Cr0.095Fe0.455Ni0.051V0.098,3.582,3.6083,3.5957,3.6079,3.6114,3.6062,3.6083,3.6032,3.6076,3.6043,3.6066
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Al0.071Co0.286Fe0.286Mn0.071Ni0.286,3.6084,3.6047,3.5922,3.6047,3.6220,3.6053,3.6047,3.5983,3.6047,3.6012,3.6052
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.200Cr0.200Fe0.200Ni0.200Pd0.200,3.6473,3.6446,3.6445,3.6500,3.6586,3.6468,3.6446,3.6445,3.6511,3.6436,3.6461
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Co0.200Cr0.200Fe0.200Ni0.200Pd0.200,3.6803,3.6446,3.6445,3.6500,3.6586,3.6468,3.6446,3.6445,3.6511,3.6436,3.6461
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Al0.024Co0.244Cr0.244Fe0.244Ni0.244,3.58,3.5906,3.5790,3.5906,3.6056,3.5874,3.5906,3.5853,3.5906,3.5900,3.5880
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Al0.029Co0.314Fe0.318Mn0.032Ni0.307,3.5862,3.5781,3.5705,3.5781,3.5970,3.5755,3.5781,3.5742,3.5781,3.5744,3.5759
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Al0.067Co0.290Fe0.288Mn0.087Ni0.268,3.6,3.6047,3.5917,3.6047,3.6209,3.6050,3.6047,3.5981,3.6047,3.6009,3.6050
calibration,Alonso2005_Table2,FCC,Al-Co-Cr-Fe-Mn-Mo-Ni-Pd-V-Zn,Al0.100Co0.200Fe0.300Ni0.400,3.5936,3.6123,3.6017,3.6123,3.6364,3.6153,3.6123,3.6075,3.6123,3.6129,3.6150
