pair,V_sqs_A3,V_b2ref_A3,dev_pct,ref_sources
Mg-Pt,19.0640,15.7214,21.26,OQMD
Mg-Os,18.3425,15.1623,20.97,OQMD
Mg-Ni,16.9250,14.0141,20.77,OQMD
Ca-Nb,23.9704,29.4287,-18.55,OQMD
Fe-Sn,18.5680,15.9751,16.23,OQMD
Rh-Sc,19.3150,16.6711,15.86,MP+OQMD
Ca-Zr,28.4231,33.3057,-14.66,OQMD
Co-Sn,17.7470,15.6210,13.61,OQMD
Be-Ir,12.3955,11.0030,12.66,OQMD
Fe-Mg,17.1105,15.2518,12.19,OQMD
Ca-Mo,21.1480,24.0509,-12.07,OQMD
Be-Pd,12.5238,11.1801,12.02,MP+OQMD
Be-Os,12.2973,10.9910,11.88,OQMD
Be-Rh,11.9045,10.7035,11.22,MP+OQMD
Be-Re,12.5952,11.3498,10.97,OQMD
Be-Co,9.3614,8.5016,10.11,MP+OQMD
Mg-V,16.6537,18.5271,-10.11,OQMD
Al-Fe,12.8341,11.6613,10.06,MP+OQMD
Be-W,13.3258,12.1115,10.03,OQMD
Ca-W,20.8402,23.1109,-9.83,OQMD
Au-Sc,21.3335,19.4367,9.76,MP+OQMD
Be-Sn,19.8399,18.0828,9.72,OQMD
Au-Be,14.2615,13.0217,9.52,OQMD
Ca-Re,19.3733,21.3829,-9.40,OQMD
Ag-Be,13.7936,12.6338,9.18,OQMD
Mn-Sc,18.6401,17.0729,9.18,OQMD
Nb-Sc,21.6195,19.8111,9.13,OQMD
Al-Co,12.3943,11.3642,9.06,MP+OQMD
Be-Ta,14.6007,13.4040,8.93,OQMD
Be-Ru,11.7892,10.8249,8.91,OQMD
Ca-Zn,26.6291,24.4840,8.76,MP+OQMD
Be-Hf,16.4850,15.1738,8.64,OQMD
Pd-Zn,15.6035,14.4844,7.73,OQMD
Ru-Ti,15.5790,14.4670,7.69,MP+OQMD
Be-Nb,14.5421,13.5053,7.68,OQMD
Be-Mo,12.9324,12.0346,7.46,OQMD
Al-Ir,14.5853,13.5896,7.33,MP+OQMD
Cr-Sn,20.9865,19.5571,7.31,OQMD
Be-Ni,9.3815,8.7595,7.10,MP+OQMD
Fe-Hf,16.3437,15.2640,7.07,OQMD
Hf-Mn,16.6944,15.5958,7.04,OQMD
Al-Rh,14.2881,13.3770,6.81,MP+OQMD
Ca-Mn,25.8688,27.6709,-6.51,OQMD
Ru-Sn,18.0827,16.9880,6.44,OQMD
Cr-Mg,17.0705,18.2287,-6.35,MP+OQMD
Nb-Pb,22.5354,21.1993,6.30,OQMD
Fe-Ti,13.4852,12.6941,6.23,MP+OQMD
Cr-Zn,13.7355,14.6307,-6.12,OQMD
Fe-Sc,16.4398,15.4923,6.12,OQMD
Be-Zr,16.7868,15.8251,6.08,OQMD
Hf-Zn,18.8419,17.7658,6.06,MP+OQMD
Os-Sn,18.2035,17.1753,5.99,OQMD
Fe-Zr,16.7883,15.8507,5.92,OQMD
Pb-Zn,25.7906,24.3636,5.86,OQMD
Cr-Cu,12.5867,13.3637,-5.81,OQMD
Mn-Sn,20.2143,19.1117,5.77,MP+OQMD
Rh-Sn,18.4769,17.4775,5.72,OQMD
Al-Os,14.3832,13.6141,5.65,MP+OQMD
Au-Zn,16.7695,15.9028,5.45,MP+OQMD
Al-Mo,16.1155,15.2835,5.44,OQMD
Be-Fe,9.6028,9.1071,5.44,OQMD
Mg-Zn,18.5109,17.5623,5.40,MP+OQMD
Be-Ti,13.2196,12.5455,5.37,MP+OQMD
Pb-Sc,26.1671,24.8506,5.30,OQMD
Al-Ni,12.4740,11.8548,5.22,MP+OQMD
Mg-Pd,16.6615,15.8353,5.22,MP+OQMD
Al-Pd,15.0748,14.3294,5.20,MP+OQMD
Be-Cu,10.0827,9.5971,5.06,MP+OQMD
Ca-Cu,23.2641,22.1537,5.01,OQMD
Al-Ru,14.1066,13.4411,4.95,MP+OQMD
Sc-Zn,19.4889,18.5714,4.94,MP+OQMD
Mg-Rh,15.6372,14.9132,4.85,MP+OQMD
Cr-Hf,17.6657,16.8507,4.84,OQMD
Ca-Sn,30.0185,28.6348,4.83,OQMD
Co-Mg,14.4047,13.7434,4.81,OQMD
Mg-Sn,25.1365,23.9896,4.78,MP+OQMD
Cu-Os,13.4706,12.8698,4.67,OQMD
Co-Ir,13.4050,12.8091,4.65,OQMD
Co-Os,13.1267,12.5442,4.64,OQMD
Al-Be,12.9146,12.3438,4.62,OQMD
Mg-Mn,17.5021,16.7347,4.59,OQMD
Ag-Ca,26.4508,25.2927,4.58,OQMD
Ta-Zn,16.7018,15.9847,4.49,OQMD
Fe-Os,13.4499,12.8792,4.43,OQMD
Ni-Os,12.9950,12.4495,4.38,OQMD
Fe-Ta,14.9711,14.3492,4.33,OQMD
Mn-Ni,11.7689,12.3000,-4.32,MP+OQMD
Fe-Nb,15.0646,14.4480,4.27,OQMD
Ag-Mg,18.8989,18.1259,4.26,MP+OQMD
Al-Sc,19.9757,19.1654,4.23,MP+OQMD
Rh-Zn,14.1719,13.6006,4.20,MP+OQMD
Au-Mg,18.4064,17.6652,4.20,MP+OQMD
Be-V,11.2553,10.8043,4.17,OQMD
Ir-Ni,13.1426,12.6222,4.12,OQMD
Be-Sc,16.6135,15.9609,4.09,OQMD
Cr-Ni,11.5091,11.9930,-4.03,MP+OQMD
Pd-Sn,19.7788,19.0123,4.03,OQMD
Ag-Zn,16.4359,15.7991,4.03,MP+OQMD
Ni-Re,13.1977,12.6911,3.99,OQMD
Pb-Ti,22.4826,21.6283,3.95,OQMD
Fe-Re,13.5821,13.0668,3.94,OQMD
Cu-Mn,12.4435,12.9395,-3.83,OQMD
Be-Zn,11.6969,11.2694,3.79,OQMD
Nb-Sn,20.6351,19.8837,3.78,OQMD
Sn-Ti,20.3822,19.6442,3.76,OQMD
Re-Zn,14.5619,14.0368,3.74,OQMD
Co-Ru,12.8859,12.4223,3.73,OQMD
Co-Hf,16.2155,15.6346,3.72,MP+OQMD
Mo-Sn,19.0088,18.3339,3.68,OQMD
Ti-Zn,15.8656,15.3036,3.67,MP+OQMD
Co-Zn,12.2989,11.8643,3.66,OQMD
Zn-Zr,19.1433,18.4673,3.66,MP+OQMD
Ca-Ru,19.3100,20.0290,-3.59,OQMD
Ir-Mg,15.6057,15.0662,3.58,OQMD
Au-Co,15.0100,14.4952,3.55,OQMD
Cu-Pt,14.1778,13.6935,3.54,OQMD
Mn-W,14.0126,13.5340,3.54,OQMD
Pt-Zn,15.1334,14.6213,3.50,OQMD
Ir-Zn,14.4724,13.9851,3.48,OQMD
Sn-W,19.0686,18.4287,3.47,OQMD
Sn-Ta,20.4870,19.8008,3.47,OQMD
Hf-Mg,21.8832,21.1548,3.44,MP+OQMD
Cu-Ir,13.6149,13.1629,3.43,OQMD
Ca-Ta,23.4944,24.3183,-3.39,OQMD
