dir,structure_root,natoms,relax_converged,volume_A3,v_per_atom,expected_input_v_per_atom,note
Ag12Dy4,BCC_SQS,16,yes,341.05600001,21.3160000006,21.316,UNRELAXED_VOLUME
Ag4Er12,BCC_SQS,16,yes,444.11600001,27.7572500006,27.75725,UNRELAXED_VOLUME
Ag4Fe12,BCC_SQS,16,yes,207.10400000,12.944,12.944,UNRELAXED_VOLUME
Ag4Os12,BCC_SQS,16,yes,236.67200000,14.792,14.792,UNRELAXED_VOLUME
Ag8Ti8,BCC_SQS,16,yes,278.89600000,17.431,17.431,UNRELAXED_VOLUME
Al12Re4,BCC_SQS,16,yes,258.72400000,16.17025,16.17025,UNRELAXED_VOLUME
Al12Ru4,BCC_SQS,16,yes,255.76799999,15.9854999994,15.9855,UNRELAXED_VOLUME
Al4Co12,BCC_SQS,16,yes,198.33600000,12.396,12.396,UNRELAXED_VOLUME
Al4Fe12,BCC_SQS,16,yes,202.15200000,12.6345,12.6345,UNRELAXED_VOLUME
Al4Mo12,BCC_SQS,16,yes,253.95600000,15.87225,15.87225,UNRELAXED_VOLUME
Al4Sc12,BCC_SQS,16,yes,364.83600000,22.80225,22.80225,UNRELAXED_VOLUME
Au12Mo4,BCC_SQS,16,yes,276.09200000,17.25575,17.25575,UNRELAXED_VOLUME
Au12Pb4,BCC_SQS,16,yes,335.96000000,20.9975,20.9975,UNRELAXED_VOLUME
Au4Ca12,BCC_SQS,16,yes,575.49200001,35.9682500006,35.96825,UNRELAXED_VOLUME
Au4W12,BCC_SQS,16,yes,262.71200000,16.4195,16.4195,UNRELAXED_VOLUME
Au8Ru8,BCC_SQS,16,yes,255.47200001,15.9670000006,15.967,UNRELAXED_VOLUME
Be12Pd4,BCC_SQS,16,yes,159.12400000,9.94525,9.94525,UNRELAXED_VOLUME
Be4Ti12,BCC_SQS,16,yes,236.68400000,14.79275,14.79275,UNRELAXED_VOLUME
Ca12Ge4,BCC_SQS,16,yes,581.27200001,36.3295000006,36.3295,UNRELAXED_VOLUME
Ca4Pb12,BCC_SQS,16,no,535.25200001,33.4532500006,33.45325,UNRELAXED_VOLUME
Co4Sc12,BCC_SQS,16,yes,342.40400000,21.40025,21.40025,UNRELAXED_VOLUME
Co4Ta12,BCC_SQS,16,yes,261.88400000,16.36775,16.36775,UNRELAXED_VOLUME
Co4Zr12,BCC_SQS,16,yes,316.62800001,19.7892500006,19.78925,UNRELAXED_VOLUME
Cr12Dy4,BCC_SQS,16,no,263.95600000,16.49725,16.49725,UNRELAXED_VOLUME
Cr12Pd4,BCC_SQS,16,yes,198.84400000,12.42775,12.42775,UNRELAXED_VOLUME
Cr12Sn4,BCC_SQS,16,yes,247.42400000,15.464,15.464,UNRELAXED_VOLUME
Cr4Tb12,BCC_SQS,16,yes,435.69599999,27.2309999994,27.231,UNRELAXED_VOLUME
Cr8Ta8,BCC_SQS,16,yes,236.59200000,14.787,14.787,UNRELAXED_VOLUME
Cu12Ru4,BCC_SQS,16,yes,200.83200000,12.552,12.552,UNRELAXED_VOLUME
Cu4Dy12,BCC_SQS,16,yes,429.02400001,26.8140000006,26.814,UNRELAXED_VOLUME
Cu4Pd12,BCC_SQS,16,yes,233.68800000,14.6055,14.6055,UNRELAXED_VOLUME
Cu4Ta12,BCC_SQS,16,yes,266.00399999,16.6252499994,16.62525,UNRELAXED_VOLUME
Cu4Zr12,BCC_SQS,16,yes,320.74800000,20.04675,20.04675,UNRELAXED_VOLUME
Cu8Re8,BCC_SQS,16,yes,215.19200000,13.4495,13.4495,UNRELAXED_VOLUME
Dy12Nb4,BCC_SQS,16,yes,454.40799999,28.4004999994,28.4005,UNRELAXED_VOLUME
Dy12Pt4,BCC_SQS,16,yes,441.80400000,27.61275,27.61275,UNRELAXED_VOLUME
Dy4Rh12,BCC_SQS,16,yes,292.10800000,18.25675,18.25675,UNRELAXED_VOLUME
Dy4Sn12,BCC_SQS,16,yes,458.30800001,28.6442500006,28.64425,UNRELAXED_VOLUME
Dy4Tb12,BCC_SQS,16,yes,517.01200001,32.3132500006,32.31325,UNRELAXED_VOLUME
Dy4Y12,BCC_SQS,16,yes,523.18000000,32.69875,32.69875,UNRELAXED_VOLUME
Dy8Y8,BCC_SQS,16,yes,518.08800000,32.3805,32.3805,UNRELAXED_VOLUME
Er12Pb4,BCC_SQS,16,yes,495.13999999,30.9462499994,30.94625,UNRELAXED_VOLUME
Er12Re4,BCC_SQS,16,yes,432.25600001,27.0160000006,27.016,UNRELAXED_VOLUME
