el1,el2,a_25,src_25,d_nn_25,r_ws_25,a_50,src_50,d_nn_50,r_ws_50,a_75,src_75,d_nn_75,r_ws_75,n_compositions
Ag,Pt,4.006844,L12_MP,2.8332665635566308,1.5658598936137726,3.208888,B2_OQMD,2.7789785258990394,1.5799682418253833,4.06372,L12_OQMD,2.873483968843397,1.5880868251611893,3
Al,Dy,4.73729622,L12_MP,3.3497742816513987,1.851317933781831,3.5906392,B2_MP,3.1095847630242335,1.7679320387166213,4.254197,L12_OQMD,3.0081715472034665,1.662524535976951,3
Al,Lu,4.62654991,L12_MP,3.2714648148590104,1.8080386832807587,3.523996,B2_OQMD,3.0518700588347465,1.7351187589967876,4.203133,L12_OQMD,2.972063846528957,1.642568912646596,3
Al,Np,4.306809,L12_MP,3.0453738491752538,1.6830851120120571,3.528724,B2_OQMD,3.0559646269438394,1.7374466962284238,4.252179,L12_OQMD,3.006744605719032,1.6617359090013781,3
Al,Pr,4.92749911,L12_MP,3.4842680349716777,1.9256485234180716,3.758446245,B2_MP,3.254909926928232,1.850555614813563,4.385645,L12_OQMD,3.1011193193768762,1.7138939307664023,3
Al,Sc,4.43330466,L12_MP,3.1348197881519213,1.7325191505496702,3.371702985,B2_MP,2.919980439025822,1.660133864805455,4.103,L12_OQMD,2.901259123208404,1.6034373046460777,3
Al,Y,4.79300839,L12_MP,3.389168734853016,1.8730900448470964,3.600994345,B2_MP,3.118552581654105,1.773030627461226,4.259108,L12_OQMD,3.0116441486058743,1.6644437367088831,3
Al,Zr,4.37674312,L12_MP,3.0948247396635673,1.7104151088133235,3.38534,B2_OQMD,2.931790440447611,1.666848356122477,4.103297,L12_OQMD,2.901469133922417,1.6035533711533847,3
Ca,Pb,4.91751662,L12_MP,3.4772093485995503,1.9217474030526664,3.923544,B2_OQMD,3.3978887768660115,1.9318452109903905,5.051927,L12_OQMD,3.5722518397594114,1.9742744850472207,3
Ce,In,4.753198,L12_OQMD,3.361018538122335,1.8575322909015668,3.931458,B2_OQMD,3.4047425019115614,1.935741847041822,4.90040919,L12_MP,3.4651125688378768,1.91506188234864,3
Ce,Pb,4.930042,L12_OQMD,3.486066129734489,1.9266422754745207,4.003341,B2_OQMD,3.466995006011798,1.9711350602443811,4.93413771,L12_MP,3.4889622340492625,1.9282428638739875,3
Ce,Sn,4.787402,L12_OQMD,3.38520441846604,1.870899088261575,3.949307,B2_OQMD,3.42020018934371,1.9445302039892571,4.87086964,L12_MP,3.444224952719677,1.9035179348876459,3
Dy,Ga,4.264708,L12_OQMD,3.0156039465805184,1.6666321961059138,3.565057,B2_OQMD,3.087429927939539,1.755336066667729,4.720686,L12_MP,3.338029082452398,1.8448267209165181,3
Dy,In,4.607045,L12_OQMD,3.2576727607315776,1.800416236213305,3.745748665,B2_MP,3.243913500081647,1.844303675466338,4.82695394,L12_MP,3.4131718634491235,1.8863558408979688,3
Er,Ga,4.231646,L12_OQMD,2.9922255821809287,1.6537116881443714,3.538047,B2_OQMD,3.0640385817833216,1.7420370851477436,4.672864,L12_MP,3.304213821962495,1.8261380592585155,3
Er,In,4.591287,L12_OQMD,3.24653017207364,1.794258067788588,3.71737928,B2_MP,3.2193448919819057,1.8303353701405938,4.77974619,L12_MP,3.379790943299564,1.867907225880078,3
Fe,Ni,3.526882,L12_OQMD,2.493882178644773,1.3782925098427414,2.827374,B2_OQMD,2.4485777099996233,1.392121235693736,3.584632,L12_MP,2.534717595258296,1.4008609973746233,3
Fe,Pd,3.884967,L12_OQMD,2.747086510385958,1.51823081041164,3.042715,B2_OQMD,2.635068486475968,1.49814922456805,3.73106,L12_MP,2.63825782701388,1.458084521051132,3
Fe,Pt,3.911388,L12_OQMD,2.7657689786516877,1.5285560400060962,3.05127,B2_OQMD,2.642477333805344,1.5023614713989824,3.750854,L12_MP,2.652254298640686,1.4658199434269947,3
Ga,Ho,4.696472,L12_MP,3.3209071988527468,1.8353639788022846,3.523197,B2_OQMD,3.0511781045371227,1.7347253533605616,4.232496,L12_OQMD,2.992826622944938,1.6540438650171352,3
Ga,Nd,4.8431115,L12_MP,3.4245969836925516,1.8926701559006636,3.692002,B2_OQMD,3.197367522822955,1.8178402950666397,4.383784,L12_OQMD,3.099803393657088,1.7131666588132104,3
Gd,In,4.634507,L12_OQMD,3.2770913271565227,1.8111482847778164,3.7920594850000002,B2_MP,3.2840198466717356,1.8671058501925648,4.89018364,L12_MP,3.457882013091514,1.9110657750294773,3
Ge,Ni,3.571,L12_OQMD,2.525078315617161,1.3955336619281364,2.97575,B2_OQMD,2.5770750953115433,1.4651774993742022,4.027851,L12_MP,2.8481207557090165,1.5740693519268851,3
Ge,Pu,4.58766757,L12_MP,3.24397084857661,1.7928436078608387,3.532941,B2_OQMD,3.0596166560715985,1.7395230311069791,4.238565,L12_OQMD,2.9971180539999587,1.6564156078886676,3
Ge,U,4.28812556,L12_MP,3.0321626620553612,1.6757836923983311,3.508931,B2_OQMD,3.038823386126734,1.7277011671197575,4.196,L12_OQMD,2.9670200538587532,1.6397813624896276,3
Hg,Tl,4.850267390000227,L12_MP,3.4296569620371375,1.895466651385506,3.82290312,B2_MP,3.31073121812679,1.8822924082034564,4.749981,L12_OQMD,3.358743775607258,1.8562750991372363,3
Ho,In,4.606402,L12_OQMD,3.257218091071275,1.800164954178967,3.7268750949999996,B2_MP,3.2275685090015425,1.8350108484153882,4.80631353159134,L12_MP,3.3985768906969,1.8782896452300242,3
In,Nd,4.99280382,L12_MP,3.5304454382560984,1.9511693638234076,3.87046642,B2_MP,3.3519222442146104,1.9057112696521616,4.686799,L12_OQMD,3.3140673549583295,1.8315838059902345,3
In,Ni,3.732554,L12_OQMD,2.6393142445449724,1.4586683707545542,3.145716,B2_MP,2.724269969091169,1.54886408556546,4.422626,L12_MP,3.127268835251936,1.7283459695095453,3
