Pair,r_ws_25,r_ws_50,r_ws_75,R2_rws,R2_dnn,dev_rws_pct,dev_dnn_pct
Dy--Ga,2.686597690427532,2.8295876160632965,2.973845830672014,0.9999935017277123,0.9070485452978171,-0.0224061766224857,-2.8137157487210027
Er--In,2.892329568704341,2.9504858898183937,3.01105141896791,0.9998627518724109,0.6021113035560278,-0.04081064800822889,-2.831606379203149
Dy--In,2.902256486656463,2.973002685614739,3.040790437939497,0.9998480055373725,0.6841105685585673,0.04977996423474844,-2.743544998095124
Er--Ga,2.66576993555172,2.808149764856466,2.943719858447978,0.9997999588887376,0.911517626788293,0.12139670385920168,-2.6739277513889625
Al--Y,3.0194060814418675,2.858111105692269,2.6830699114878267,0.9994435113227479,0.9410173582387339,0.2410570157925658,-2.557608277750734
Ni--Pt,2.4285215227873165,2.3670586345460625,2.2962634398411765,0.9983431159760254,0.7766653266583683,0.19751812066469526,-2.5999315951667934
In--Tm,2.997316647926296,2.9394873593936848,2.8912050891673102,0.9973089696714625,0.5282491536552869,-0.16212928698381707,-2.9495378804682115
Ho--In,2.9018514220389218,2.958022723178541,3.027787795423248,0.9961312306191026,0.5982097815342332,-0.2292512344605265,-3.0147858267080054
Ga--Ho,2.9585919665209373,2.796363312045602,2.666305401997925,0.9959780835644514,0.8784505484048541,-0.5719347806719028,-3.3479018705805204
Al--Dy,2.984309613582707,2.8498922216591267,2.6799761753498093,0.9954852054482609,0.9478554634059808,0.626710157441177,-2.1827223216746683
Al--Lu,2.914543809999115,2.796997478765864,2.647807871103894,0.9953307621963745,0.9322589292726204,0.568883059591875,-2.2389349244598367
Gd--In,2.919556462592569,3.0097596078074944,3.080622652943766,0.995216947264678,0.7786987447098694,0.32232537906370073,-2.478608874469827
Pd--Sm,3.018407978285746,2.8401247842462616,2.612995622534773,0.9951844510538232,0.9761571849180719,0.8673853116279363,-1.9487666616861286
Al--Sc,2.792806930865517,2.6761224326566597,2.584728033859332,0.9951000629813431,0.8097000890029873,-0.47029167783054737,-3.2490965772427765
In--Sm,3.104350985461436,3.032215308505852,2.9394606953388083,0.9948148259348403,0.786736456264791,0.34115782060120664,-2.4603022224849678
Fe--Pt,2.464020037753104,2.421794603919504,2.3628899548411924,0.991014356356145,0.6858410676924458,0.34554643178144745,-2.456036138482329
Ga--Nd,3.0509690629189667,2.930343929334348,2.761610869896173,0.990870284418041,0.949553500487908,0.8276518587204346,-1.9873907823603327
Nd--Tl,3.011823630878996,3.0884762146998668,3.142746197512247,0.9903514913645107,0.6954171318655129,0.3636744993165828,-2.4384141948345666
Pb--Tm,3.0208001336867345,3.031211360679037,3.046068285015138,0.9897869998371985,0.05969193761038738,-0.07327828851692055,-2.8631675442479865
Al--Zr,2.7571753934352814,2.686946138635012,2.584915132135242,0.9887667741423067,0.864279268667554,0.595305368699366,-2.213250309084591
Ge--Pu,2.8900494706815305,2.804097129970791,2.670128632423832,0.9843586534764093,0.9248762605296394,0.8635722803447993,-1.9524732356090098
Ge--Ni,2.249589034587296,2.3618543401971848,2.5373871303700573,0.9841465487144504,0.8671037510765438,-1.3216586501125347,-4.076693935872093
Fe--Ni,2.221796436147665,2.244088230953768,2.2581766564633794,0.9833339132185366,0.22453079742893178,0.18311202158830103,-2.613935485301074
In--Nd,3.1452693154067664,3.0719912333577954,2.9524983583631204,0.9812018156340712,0.8765175269867151,0.7578969127423624,-2.0551982154911537
In--Pr,3.171488663030604,3.094801166569402,2.96844517909164,0.9804437647684179,0.8907854615787082,0.8089417947114659,-2.0055784735179034
Ag--Pt,2.5241535496224867,2.5468960934240656,2.559983184439397,0.9763652196088938,0.1797699916381702,0.189913318451077,-2.607324076235228
Al--Pr,3.1041299260136266,2.983080761539465,2.7627832264331005,0.9725927704407794,0.9871997297178096,1.6916625157611564,-1.1475027424497555
