material_id,formula,element_A,element_B,lattice_constant,energy_per_atom,energy_above_hull
mp-866199,AcAg,Ac,Ag,3.94785174,-45.26783526,0.0
mp-758433,AgHg,Ag,Hg,3.453205,-35.276482879583334,0.085358954166665
mp-284,AlCo,Al,Co,2.81940321,-10.53962086,0.0
mp-1022721,AlCu,Al,Cu,2.997509,-8.957870017,0.074061238
mp-2658,AlFe,Al,Fe,2.845506,-6.434685535,0.0
mp-1885,AlIr,Al,Ir,2.99455485,-30.61632865,0.0
mp-1487,AlNi,Al,Ni,2.85971129,-10.041808895,0.0
mp-875,AlOs,Al,Os,2.99791198,-30.3487953,0.012587037500004
mp-829,AlPd,Al,Pd,3.05052548,-15.74408449,0.037793284999999004
mp-364,AlRh,Al,Rh,2.97732247,-16.61165009,0.0
mp-542569,AlRu,Al,Ru,2.98249544,-16.806725945,0.0
mp-527,BaCd,Ba,Cd,4.2519734,-1.7487043899999999,0.0
mp-2197,BaHg,Ba,Hg,4.17876004,-1.6443587449999981,0.0
mp-902,BaZn,Ba,Zn,4.07851334,-1.7567380549999991,0.0035235766666670003
mp-2773,BeCo,Be,Co,2.57175331,-5.72974061,0.0
mp-2323,BeCu,Be,Cu,2.67246788,-4.019554075,0.005036342500000001
mp-1033,BeNi,Be,Ni,2.58699959,-5.228056025,0.0
mp-11274,BePd,Be,Pd,2.81163727,-5.052358160000001,0.0
mp-11276,BeRh,Be,Rh,2.7678883,-6.15967629,0.0
mp-1073,CaCd,Ca,Cd,3.80926031,-1.818346545,0.0
mp-11286,CaHg,Ca,Hg,3.75465468,-28.79583176,0.0
mp-20263,CaIn,Ca,In,3.84336532,-15.37121027,0.020320988749999002
mp-1039148,CaMg,Ca,Mg,3.9675728118296862,-5.676345275,0.015577142499999001
mp-213,CaPd,Ca,Pd,3.50568548,-15.644829405,0.006872011666665001
mp-2861,CaTl,Ca,Tl,3.8654897200000002,-30.6214504,0.0
mp-1039147,CaZn,Ca,Zn,3.64868372,-1.8540064725,0.02615939
mp-2642,CdAg,Cd,Ag,3.3527165,-20.783473355,0.0
mp-2757,CdAu,Cd,Au,3.36095728,-35.54430999,0.011665960555554002
mp-2756,CeAg,Ce,Ag,3.73311,-4.43524116,0.08731731875000001
mp-183,CeCd,Ce,Cd,3.850494,-25.639444321250004,0.08205001624999701
mp-702,CeHg,Ce,Hg,3.84151864,-40.572162385,0.0
mp-1206752,CeTl,Ce,Tl,3.91315008,-42.43434937,0.008205019999998
mp-986,CeZn,Ce,Zn,3.62688516,-3.789944659999999,0.029317755000001004
mp-2667,CsAu,Cs,Au,4.28285436,-38.20726542,0.0
mp-22906,CsBr,Cs,Br,4.32562222,-3.324175479999997,0.0
mp-22865,CsCl,Cs,Cl,4.14369834,-17.802043195,0.0
