material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull
mp-1183059,Ac3Yb,Ac,Yb,3.0,1.0,5.48551210596988,-60.558120295,0.052333960624999
mp-1183062,AcDy3,Ac,Dy,1.0,3.0,5.1806112,-41.069441195,0.07628107687499801
mp-985300,AcEr3,Ac,Er,1.0,3.0,5.140364,-42.52809074125,0.075355486875004
mp-1183183,AcY3,Ac,Y,1.0,3.0,5.2396471,-32.2995014425,0.095069130624992
mp-1183137,Ag3Au,Ag,Au,3.0,1.0,4.1110932,-28.724861585,0.0
mp-985282,Ag3Ge,Ag,Ge,3.0,1.0,4.162825,-19.3851713475,0.09973090625000201
mp-985443,Ag3Hg,Ag,Hg,3.0,1.0,4.19211433,-28.3270348675,0.031824621874999
mp-12065,Ag3Pt,Ag,Pt,3.0,1.0,4.05612842,-28.9092283025,0.0208054225
mp-863750,AgAu3,Ag,Au,1.0,3.0,4.12163154,-43.34257413,0.0
mp-30353,AgPt3,Ag,Pt,1.0,3.0,4.006844,-43.92456509833334,0.07138850416666201
mp-1183130,Al3Ag,Al,Ag,3.0,1.0,4.081513,-10.340943023625002,0.071258186874999
mp-1183161,Al3Cu,Al,Cu,3.0,1.0,3.924151,-7.82401965,0.096245834999999
mp-983594,Al3Ga,Al,Ga,3.0,1.0,4.00279187,-7.8663235575,0.0434441775
mp-983585,Al3Zn,Al,Zn,3.0,1.0,3.96877183,-7.2404259075,0.036298491249999
mp-1008555,AlCu3,Al,Cu,1.0,3.0,3.63737667,-10.011573595,0.008516517500000001
mp-8039,AlF3,Al,F,1.0,3.0,3.58945264,-7.883955955,0.009358996249999
mp-1183162,AlFe3,Al,Fe,1.0,3.0,3.63929352,-7.48780304,0.0
mp-2593,AlNi3,Al,Ni,1.0,3.0,3.5229346,-11.09573223,0.0
mp-1183143,AlPd3,Al,Pd,1.0,3.0,3.87469151,-19.5049891225,0.04402146750000201
mp-188,AlPt3,Al,Pt,1.0,3.0,3.889931739999999,-41.0380479975,0.013889883124996002
mp-1183314,Ba3Ca,Ba,Ca,3.0,1.0,6.25493123,-1.900276819999998,0.040354355000001
mp-1183304,Ba3Na,Ba,Na,3.0,1.0,6.23258744,-1.72536866,0.054992631041665005
mp-23201,BaBi3,Ba,Bi,1.0,3.0,5.15316296,-3.85810403,0.017992561250001
mp-1183379,BaEu3,Ba,Eu,1.0,3.0,5.929055,-8.11723894,0.078588731249995
mp-1183391,BaPb3,Ba,Pb,1.0,3.0,5.12377908,-3.604932315833338,0.031871516666664004
mp-983590,Be3Fe,Be,Fe,3.0,1.0,3.239004850000161,-5.1310522125,0.0
mp-977552,Be3Tc,Be,Tc,3.0,1.0,3.37065478,-5.6612924475,0.0
mp-984717,BeNi3,Be,Ni,1.0,3.0,3.418936,-5.43118532,0.0729110325
mp-1183501,Ca3Cd,Ca,Cd,3.0,1.0,5.1585844,-1.85830677,0.056827950312499
mp-1183636,Ca3Eu,Ca,Eu,3.0,1.0,5.63079353,-14.87762921,0.031311743749999
mp-1094857,Ca3Mg,Ca,Mg,3.0,1.0,5.28881343,-6.3216499125,0.043458146249999004
mp-30479,Ca3Pb,Ca,Pb,3.0,1.0,5.04985756,-2.8032942574999993,0.042271665
mp-1183489,Ca3Sn,Ca,Sn,3.0,1.0,5.00268917,-2.944635379999999,0.047423900624999
mp-866006,CaBi3,Ca,Bi,1.0,3.0,4.972059056118655,-46.02029883,0.06833353750000201
mp-1094922,CaMg3,Ca,Mg,1.0,3.0,4.75394743,-4.8964772925,0.078197596249999
mp-20549,CaPb3,Ca,Pb,1.0,3.0,4.91751662,-3.5762183800000003,0.0
mp-11290,CaSn3,Ca,Sn,1.0,3.0,4.74167371,-3.915423269999998,0.0
mp-526,CaTl3,Ca,Tl,1.0,3.0,4.8251418600000004,-41.92368676,0.0
mp-12661,Cd3In,Cd,In,3.0,1.0,4.49660846,-20.68165489,0.041733472500002006
mp-1183624,Cd3Ni,Cd,Ni,3.0,1.0,4.180107,-17.983257292575757,0.09107569833333401
mp-1183621,Cd3Pd,Cd,Pd,3.0,1.0,4.20847902,-2.201647184999999,0.024672723189656003
mp-1183627,CdAg3,Cd,Ag,1.0,3.0,4.15941889,-21.0820391475,0.007372807499997001
mp-1264,CdAu3,Cd,Au,1.0,3.0,4.16047153,-43.1078333,0.011046036249993
mp-1183623,CdCu3,Cd,Cu,1.0,3.0,3.825701,-13.0812672825,0.080076639999999
mp-1183655,CdPd3,Cd,Pd,1.0,3.0,3.996972689999999,-4.358508632500001,0.0257095975
mp-866022,CdPt3,Cd,Pt,1.0,3.0,4.01072757,-4.955322577499999,0.007683415000002001
mp-2413,Ce3Al,Ce,Al,3.0,1.0,4.73405104,-25.048932745,0.0
mp-1183737,Ce3Dy,Ce,Dy,3.0,1.0,4.863452,-31.026856585000004,0.09906579124999801
mp-1183840,Ce3Er,Ce,Er,3.0,1.0,4.842396,-31.515360130416667,0.09647023125000201
mp-19920,Ce3Ga,Ce,Ga,3.0,1.0,4.69516669,-26.32809635,0.0
mp-1183889,Ce3Gd,Ce,Gd,3.0,1.0,4.841682,-33.89100004625,0.08872284875000201
mp-1183745,Ce3Ho,Ce,Ho,3.0,1.0,4.870365,-31.254191597500004,0.096615951249997
mp-20984,Ce3In,Ce,In,3.0,1.0,4.9004091899999995,-29.1187361225,0.0
mp-570018,Ce3Pb,Ce,Pb,3.0,1.0,4.93413771,-5.6568939275,0.0
mp-20735,Ce3Sn,Ce,Sn,3.0,1.0,4.8708696400000004,-5.865303785000002,0.0
mp-21412,Ce3Tl,Ce,Tl,3.0,1.0,4.9019800700000005,-36.69523788,0.0
mp-1183761,CeEr3,Ce,Er,1.0,3.0,4.96039,-33.08799852875,0.066235036249999
mp-1185539,CeGd3,Ce,Gd,1.0,3.0,5.029572,-40.17925961625001,0.078651548750002
mp-1183834,CeHo3,Ce,Ho,1.0,3.0,5.022379,-32.30270114,0.06846398625000201
mp-20369,CeIn3,Ce,In,1.0,3.0,4.69490422,-25.166877575,0.0
