entry_id,formula,element_A,element_B,count_A,count_B,lattice_constant,delta_e,stability,volume,natoms
10677,Ti3Ag,Ti,Ag,3,1,4.075409019628892,0.0521080827853009,0.13038617655343165,67.6883,4
18890,PrSn3,Pr,Sn,1,3,4.769760707142207,-0.572317017013401,0.00029298375000086363,108.515,4
18123,TbSn3,Tb,Sn,1,3,4.698113019479592,-0.33898677880507,0.014555896018598524,103.698,4
17090,CePt3,Ce,Pt,1,3,4.219708956216178,-0.749716076875,0.10036981666666711,75.1359,4
18892,PrTl3,Pr,Tl,1,3,4.799204150461264,-0.312772653125,0.005527719999999958,110.537,4
10680,TmAg3,Tm,Ag,1,3,4.323402240966885,-0.125486840625,0.15238744,80.8122,4
10938,Li3Bi,Li,Bi,3,1,4.170235520093485,-0.54825697375,0.0,72.524,4
19408,AlCu3,Al,Cu,1,3,3.667883709859201,-0.1675233825,0.021387418749999998,49.3454,4
18125,ThSn3,Th,Sn,1,3,4.7535891617225845,-0.510827515138402,0.00013970250000006068,107.415,4
17620,LuPb3,Lu,Pb,1,3,4.8302059303483285,-0.17595500875,0.024753781249999995,112.693,4
17363,HfIr3,Hf,Ir,1,3,3.9602670465762873,-0.80344056875,0.0,62.1117,4
18884,PrPt3,Pr,Pt,1,3,4.201312892654558,-0.803113476875,0.08803257750000004,74.1575,4
18128,Ti3Sn,Ti,Sn,3,1,4.150731955860135,-0.333598379552499,0.03704907875000002,71.5112,4
18894,Pr3Tl,Pr,Tl,3,1,5.006232228637722,-0.216651561875,0.0009822525000010018,125.468,4
17622,LuPd3,Lu,Pd,1,3,4.0572759518405,-0.93506239625,0.0014361375000000454,66.7888,4
17873,NpRh3,Np,Rh,1,3,4.001420328940065,-0.354405087187502,0.0,64.0682,4
17875,NpSn3,Np,Sn,1,3,4.655364372198858,-0.207199044825901,6.759249999999106e-05,100.893,4
17628,LuTl3,Lu,Tl,1,3,4.688685626016045,-0.1237477075,0.0031962524999999964,103.075,4
18138,YbSn3,Yb,Sn,1,3,4.705139993191951,-0.514966627638402,0.00011728750000006283,104.164,4
19154,PuGe3,Pu,Ge,1,3,4.23856580483456,-0.37167911625,0.001877512500000289,76.1477,4
18908,SmSn3,Sm,Sn,1,3,4.731328362419685,-0.544505759513402,0.015036402499999046,105.913,4
17876,Np3Sn,Np,Sn,3,1,4.59376281329821,0.2163139917247,0.2854028701424449,96.9406,4
18132,USn3,U,Sn,1,3,4.6281885973929935,-0.197936296388401,0.00044904750000035465,99.1364,4
18135,YSn3,Y,Sn,1,3,4.701387850292981,-0.494753831388402,0.023511687268598425,103.915,4
22246,Pd3Au,Pd,Au,3,1,3.987502661463159,-0.0539886024999996,0.002142258750000174,63.402,4
19681,MgPd3,Mg,Pd,1,3,3.9462004803527,-0.486146624791667,0.009009687500001029,61.4522,4
17624,LuPt3,Lu,Pt,1,3,4.056816241029054,-1.09078774875,0.001670882500000026,66.7661,4
17890,AlNi3,Al,Ni,1,3,3.5561501537422324,-0.438648115,0.0,44.9718,4
22245,PdAu3,Pd,Au,1,3,4.106547144133877,-0.0775903750000002,0.00927139374999976,69.2517,4
10964,SrBi3,Sr,Bi,1,3,5.050815147963211,-0.44967529625,0.0018897949999996944,128.85,4
10935,K3Bi,K,Bi,3,1,5.468792962927784,-0.36386087,0.02465771458333299,163.559,4
22226,LiO3,Li,O,1,3,3.2830134164546596,-0.918965089409066,0.0,35.3849,4
21460,TiMo3,Ti,Mo,1,3,3.9760696197259375,-0.159297095946565,0.004696062500000708,62.8582,4
10692,Zr3Ag,Zr,Ag,3,1,4.396162287300452,0.028998483125001,0.1121212862500012,84.9613,4
17877,Np3Tl,Np,Tl,3,1,4.654641374865424,0.545530579687499,0.545530579687499,100.846,4
21464,Re3Ru,Re,Ru,3,1,3.8762328370045407,-0.0594438662499996,0.0,58.2411,4
10447,DyAl3,Dy,Al,1,3,4.254197467813818,-0.420638754166667,0.010979616250000379,76.9933,4
17632,NdMg3,Nd,Mg,1,3,4.675075541879415,-0.123753715625003,0.0001252762499995147,102.18,4
10961,Rb3Bi,Rb,Bi,3,1,5.7088914272512845,-0.31336118875,0.027849214999999983,186.061,4
