year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2025,A 7nm CMOS Anomaly-Detection Deep-Learning Processor with Embedded A/D Converters and Pseudo-Image Generation for Sensor Fusion,T. Oshima; Keisuke Yamamoto; Seiji Miura; Keita Yamane; Goichi Ono,,,,1-6,10.1109/iecon58223.2025.11221367,article,0,,W4415968525,研究分野が異なる（同姓同名の別人）
2023,Effect of Grain Boundary Characters on Precipitation Behavior and Local Deformation Behavior in Al–Mg–Si Alloy,Takuya Hashimoto; Ken‐ichi Ikeda; Seiji Miura,MATERIALS TRANSACTIONS,64,8,1959-1968,10.2320/matertrans.mt-m2022217,article,6,https://www.jstage.jst.go.jp/article/matertrans/64/8/64_MT-M2022217/_pdf,W4385215867,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2023,Microstructure and Strength of Ti-6Al-4V Samples Additively Manufactured with TiC Heterogeneous Nucleation Site Particles,Yoshimi Watanabe; Shintaro Yamada; Tadachika Chiba; Hisashi Sato; Seiji Miura; Kenshiro Abe; Tomotsugu Kato,Materials,16,17,5974-5974,10.3390/ma16175974,article,12,https://www.mdpi.com/1996-1944/16/17/5974/pdf?version=1693473625,W4386307369,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2021,Edge devices object detection by filter pruning,Viviana Crescitelli; Seiji Miura; Goichi Ono; Naohiro Kohmu,,,,1-7,10.1109/etfa45728.2021.9613668,article,6,,W3215436229,研究分野が異なる（同姓同名の別人）
2021,Fabrication of Textured Porous Ti3SiC2 by Slip Casting under High Magnetic Field and Microstructural Evolution through High Temperature Deformation,N. Hashimoto; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,MATERIALS TRANSACTIONS,63,2,133-140,10.2320/matertrans.mt-m2021207,article,10,https://www.jstage.jst.go.jp/article/matertrans/63/2/63_MT-M2021207/_pdf,W4206056068,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2021,Fabrication of Textured Porous Ti3SiC2 by Slip Casting under High Magnetic Field and Microstructural Evolution through High Temperature Deformation,N. Hashimoto; Ken‐ichi Ikeda; Seiji Miura; Koji Morita; T. Suzuki; Yoshio Sakka,Journal of the Japan Institute of Metals and Materials,85,7,256-263,10.2320/jinstmet.j2021001,article,6,https://www.jstage.jst.go.jp/article/jinstmet/85/7/85_J2021001/_pdf,W3176791185,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2021,Multivariate analysis on causes of landslide in southern part of Ehime Prefecture resulting from the July 2018 heavy rain event,Seiji Miura,The Japanese Geotechnical Society,,,,,article,0,,W3182691458,研究分野が異なる（同姓同名の別人）
2020,Effect of Grain Boundary Characters on Precipitation Behavior and Local Deformation Behavior in Al-Mg-Si Alloy,Takuya Hashimoto; Ken‐ichi Ikeda; Seiji Miura,Journal of the Japan Institute of Metals and Materials,85,1,7-16,10.2320/jinstmet.jd202002,article,2,https://www.jstage.jst.go.jp/article/jinstmet/85/1/85_JD202002/_pdf,W3111618583,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2020,Relationship between mechanical properties and age-hardening behavior around grain boundaries of Al-Mg-Si alloy,Takuya Hashimoto; Ken‐ichi Ikeda; Seiji Miura,MATEC Web of Conferences,326,,03002-03002,10.1051/matecconf/202032603002,article,3,https://www.matec-conferences.org/articles/matecconf/pdf/2020/22/matecconf_icaa172020_03002.pdf,W3097244244,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2019,Long-Period Superlattices of γ' Phase in Ni-Based Superalloy,M. Yamashita; Shigeharu Ukai; S.M.S. Aghamiri; Shigenari Hayashi; Naoko Oono; Seiji Miura; Masatoshi Mitsuhara,SSRN Electronic Journal,,,,10.2139/ssrn.3394585,article,0,https://doi.org/10.2139/ssrn.3394585,W3043647448,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2018,Fabrication of Ni-aluminides long-fiber reinforced Ni matrix composite by a reaction at narrow holes method,Yoshimi Watanabe; Shingo Gonda; Hisashi Sato; Seiji Miura,Journal of Materials Processing Technology,259,,320-331,10.1016/j.jmatprotec.2018.02.032,article,8,https://nitech.repo.nii.ac.jp/records/6617,W2791070218,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2016,Report on The 9th Pacific Rim International Conference on Advanced Materials and Processing,Tadashi Furuhara; Haruyuki Inui; Tomoyuki Kakeshita; Minoru Nishida; Masahiko Ikeda; Seiji Miura; Yoshimasa Kajiwara,Materia Japan,55,12,615-618,10.2320/materia.55.615,article,0,https://www.jstage.jst.go.jp/article/materia/55/12/55_55.615/_pdf,W2564761225,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
