crystal_structure,density_g/cm3,melting_point_degC,boiling_point_degC,thermal_conductivity_W/(m*K),specific_heat_J/(kg*K),thermal_expansion_1e-6/K,youngs_modulus_GPa,shear_modulus_GPa,bulk_modulus_GPa,poissons_ratio,hardness_MPa,hardness_Mohs,tensile_strength_MPa,compressive_strength_MPa,fracture_toughness_MPa*m^0.5,refractive_index_o,refractive_index_e,dielectric_constant,resistivity_ohm*m,magnetic_susceptibility_cm3/mol,band_gap_eV,std_enthalpy_kJ/mol,std_entropy_J/(mol*K),Sellmeier_B1,Sellmeier_B2,Sellmeier_B3,Sellmeier_C1_um2,Sellmeier_C2_um2,Sellmeier_C3_um2,lattice_a_angstrom,lattice_b_angstrom,lattice_c_angstrom,lattice_alpha_deg,lattice_beta_deg,lattice_gamma_deg,space_group,volume_angstrom3,Z_formula_units,piezo_d11_pC/N,piezo_d14_pC/N,piezo_e11_C/m2,piezo_e14_C/m2,elastic_C11_GPa,elastic_C12_GPa,elastic_C13_GPa,elastic_C14_GPa,elastic_C33_GPa,elastic_C44_GPa,elastic_C66_GPa,molar_volume_cm3/mol,melting_point_K,boiling_point_K,thermal_expansion_parallel_1/K,thermal_expansion_perp_1/K,dielectric_constant_parallel,dielectric_constant_perp,dielectric_loss_tan_delta,thermal_conductivity_W/mK,poisson_ratio,bandgap_eV,sound_velocity_longitudinal_m/s,sound_velocity_transverse_m/s,viscosity_Pa.s,softening_point_degC,annealing_point_degC,strain_point_degC,freq_temp_coeff_ppm/C,Q_factor,debye_temp_K,formation_gibbs_kJ/mol,notes,reference
fused_silica,,1713.0,2950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikipedia Silicon dioxide,Amorphous silica melting and boiling points
fused_silica,2.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wikipedia Silicon dioxide,Amorphous silica density
fused_silica,,,,,,,,,,,,,,,,,,,,,,,,0.6961663,0.4079426,0.8974794,0.0684043,0.1162414,9.896161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corning HPFS 7980 Datasheet
fused_silica,,,,,,,,,,,,,,,,,,,,,,,,0.473115591,0.631038719,0.906404498,0.012995717,0.00412809220,98.7685322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heraeus Suprasil Datasheet
fused_silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,1180,1068,,,,,,Corning HPFS Datasheet
alpha-quartz,2.648,,,,,,,,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,6.74,12.4,17.8,106.4,58.0,40.3,,,,,,,,,,,,,,,,,Elastic constants at ambient P; Ks=37.8 GPa; G=44.4 GPa,,,,,,,,,,,,,Wang et al. Phys Chem Minerals 42:203-212 (2015). DOI:10.1007/s00269-014-0711-z
alpha-quartz,2.742,,,,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,15.4,23.7,10.7,122.3,62.4,37.5,,,,,,,,,,,,,,,,,Elastic constants at 1.5 GPa,,,,,,,,,,,,,Wang et al. Phys Chem Minerals 42:203-212 (2015). DOI:10.1007/s00269-014-0711-z
alpha-quartz,2.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4,35.6,38.9,3.8,160.1,65.9,33.9,,,,,,,,,,,,,,,,,Elastic constants at 4.4 GPa,,,,,,,,,,,,,,Wang et al. Phys Chem Minerals 42:203-212 (2015). DOI:10.1007/s00269-014-0711-z
alpha-quartz,2.6497,,,,,,,,37.74,,,,,,,,,,,,,,,,,,,,,,,,,,,87.17,6.61,12.02,-18.23,105.8,58.27,40.28,,,,,,,,,,,,,,,,563,,RUS measurement; Debye temp 563 K,,,,,,,,,,,,Ogi et al. J Appl Phys 100:053511 (2006). DOI:10.1063/1.2335684
alpha-quartz,2.6497,,,,,,,,37.67,,,,,,,,,,,,,,,,,,,,,,,,P3121,,87.26,6.57,11.95,-17.18,105.8,57.15,40.35,,,,,,,,,,,,,,,,564,,Mean experimental values; Debye temp 564 K,Every & McCurdy Landolt-Bornstein III/29a (1992),,,,,,,,,,,,Every & McCurdy Landolt-Bornstein III/29a (1992)
