sigma,T,kappa
38079471.765888885,206.28583713734685,191.60023687561633
95120716.3345817,327.2820822527561,759.6270943891939
73467400.2393291,262.87119621526534,471.2534138105398
60267189.93550663,301.71413823294057,443.60506877093826
16445845.403801216,381.5132947852186,153.2797088901086
16443457.513284061,249.85844582977498,100.29567970751623
6750277.604651746,282.07658460712594,46.34079379591105
86751438.43171859,351.1102277086097,743.2729975250311
60510386.162577674,245.75963309832449,362.75518320063094
71099185.2018085,215.3959819657586,373.7519915099908
3037864.9352844423,257.9502905827536,19.236142242410573
97021075.36403744,232.2442574508009,549.7130693301422
83411821.43924175,385.9395304685146,785.5791661364673
22021571.957149338,361.6240759128834,194.35142495603168
19000671.75350296,326.6807513020847,151.5367568737584
19157046.475489948,374.29211803754356,175.1457679142423
31119982.052994236,360.7344153798229,273.8910453818257
52950886.731591545,237.31401177720716,306.53471790496553
43762556.84556946,378.51179969799557,404.08836584149435
29831684.87960615,307.86844838313016,224.01374166305092
61573436.577515565,361.4880310328125,543.0889624259071
14809892.204552142,379.21825998469865,137.06894507533934
29922320.2049866,263.60069499437276,192.48375248577153
37269822.486075476,222.01038490553535,201.97533663097164
46150928.43748656,245.58703250838835,276.5525975134391
78732420.17790835,285.42155772525126,548.4604456677614
20767704.433677614,363.60295318449863,184.22278169260707
51909209.40294755,372.1461166512687,471.62659794162363
59649042.31734221,201.39042610623815,293.1735703332698
5598590.859279775,302.14946051551317,41.189597714152974
61146940.3382424,283.48220062975577,422.8441994464105
17881888.245041862,244.42156209414605,106.69379225784867
7440107.705542672,223.97307346673657,40.637418190975595
94939668.18808,267.5230342807256,619.7959738670519
96597571.27438137,388.5819407825038,915.9274737469359
81031337.46352965,264.64058640415107,523.2307252971862
31156763.1481637,303.7581243486732,230.83984703394765
10669539.286632003,340.60379177903553,88.52020239405023
68739069.62470353,272.7259204758588,457.3803437844478
44575096.88022053,394.35641654419214,429.00044141560517
13081785.249633104,392.48945898842226,125.30230206605476
50022514.10101575,250.35645916507283,305.44783813844043
4404463.590406621,299.4497011784771,32.198851558954495
91022719.80579942,260.17566196335395,577.8768033899345
26619218.178401675,256.9680988754935,166.81468754446277
66589706.15104421,207.37738947090656,336.9598385352095
31859396.532851685,321.91286679597937,250.25099287548076
52486734.09660327,300.5358046457723,384.77478887502997
55124317.65498468,210.29575024999787,282.8905763499255
19300591.097027175,255.72929284732228,120.48780536442206
96988878.1486913,381.65317719333075,903.3014744722199
77738149.51275034,247.9123781333945,470.3482684296493
94010395.21485472,228.9789744182446,525.1064877584156
89587907.69233723,297.8905520555126,651.0785647272435
60192097.90229743,397.1300908221201,583.3113802105261
92265549.26728857,248.41105430230007,559.2940684052295
9760757.70314003,334.4271094811757,79.69949720280727
20402303.379495375,352.32392306574354,175.77783056535293
5477501.602143268,247.52750879847994,33.139397805913546
33207702.745563168,345.6432697223719,280.177219113477
39479051.67925872,273.55662654385065,263.6094513716412
27863554.145615697,326.4611661187159,222.01652756271878
83045013.40604101,326.7059421521789,661.9721771145433
36318579.34266534,307.1549368149517,272.26841193625575
28812516.459050696,218.05795401088164,153.22299816930317
54726912.2326666,367.0604991178476,490.12565849027624
14951498.272501502,264.1560129943472,96.31995104094023
80417501.09464993,237.30370207997083,465.64243302538364
8380513.724297311,208.1550283109528,42.79595000227837
98701806.72345121,318.1785886376484,766.0904315265301
77452232.16036908,335.51287236845644,634.1324155758023
20672852.47188307,203.31756578557122,102.39568704811191
1546689.5952366376,302.4186116598562,11.365851182890154
81730681.41702858,245.2991550395876,489.2914921144235
70978877.04091409,329.03455808188994,569.8563119453752
73171709.63605775,234.8732858009983,419.23257434770494
77355764.32190862,338.1875476204932,638.2509216492509
8330420.521674946,277.34706926010745,56.442152079229025
36488107.12588299,387.3459977473469,344.78490649515663
12471036.892987842,227.50418882919865,69.24964628459449
86447239.16168375,268.2132702100517,565.7501970589202
62706514.55592823,222.69470424811783,340.66641257373004
33758904.460412264,384.9387236557126,317.2950685270848
7292276.67831634,375.4678706761962,66.87097246388636
31787249.849850558,251.58832554303112,194.93162924687587
33193148.880647957,331.9968092068358,268.9071216194998
73231011.65546834,363.4444400402432,649.3496795562572
64118189.6641661,311.0401623198925,486.7025470809966
88834061.51505633,305.9301156712013,663.0399069683453
47749277.59103298,248.37045818009034,289.36056921035095
12839830.347891869,218.62055356117983,68.54253869411932
71611233.9350765,379.44315159066537,663.0929474837898
76317719.81307285,380.0836114326661,707.6535656930556
56566442.55938013,326.62029145465357,450.7747999856788
77325750.81550154,267.80595820974014,505.2349471798487
49885764.040074684,269.84191492253217,328.3896574178579
52750550.10881741,345.1911357740479,444.4766896603797
43326560.81749641,379.42205199051546,401.1533818811151
3516493.5476654237,377.4172848530235,32.25723651046516
11681251.27233714,355.97510917152476,101.55271279980299
