Element,r_pure,r_L12_maj,r_L12_min,r_B2,dr_L12_maj,dr_L12_min,dr_B2,asymmetry_L12
Ag,1.5970013792725173,1.6132059553933984,1.6549506702204542,1.6424084720700587,0.01620457612088111,0.05794929094793688,0.045407092797541404,-0.04174471482705577
Al,1.582549367713697,1.567762696293402,1.6423984110386658,1.5867167563296274,-0.014786671420295106,0.059849043324968765,0.004167388615930356,-0.07463571474526387
As,1.722030047311866,1.6477841044822252,1.7837317944143094,1.6129355995825294,-0.0742459428296407,0.06170174710244347,-0.10909444772933652,-0.13594768993208417
Au,1.594031690087204,1.623490985238287,1.6126311900304187,1.626478045654047,0.02945929515108303,0.018599499943214637,0.032446355566843055,0.010859795207868395
B,1.200153085653299,0.6381911845487345,1.3668056829151898,1.1062275235860914,-0.5619619011045645,0.16665259726189086,-0.09392556206720748,-0.7286144983664553
Ba,2.285390748670416,2.214723868245222,2.181710551581059,2.297422737305861,-0.07066688042519376,-0.10368019708935705,0.012031988635444968,0.033013316664163295
Be,1.2464128871712232,1.2313918819173189,1.3583437418878364,1.2965721883774268,-0.015021005253904374,0.11193085471661313,0.0501593012062036,-0.1269518599705175
Bi,2.036716825299433,1.9690897207103986,1.962985446330916,1.9250812613889958,-0.06762710458903443,-0.073731378968517,-0.11163556391043716,0.006104274379482577
Ca,2.183897248992819,2.0317788522143734,1.9688328049860735,2.0216342035940404,-0.1521183967784454,-0.2150644440067453,-0.16226304539877834,0.06294604722829988
Cd,1.7271137578027125,1.6976124395619974,1.6797018276738207,1.7559339661719007,-0.029501318240715113,-0.04741193012889178,0.028820208369188194,0.017910611888176664
Ce,2.016899869469424,1.8503919175184091,1.9318105487759165,2.013208764320076,-0.16650795195101487,-0.0850893206935075,-0.0036911051493482283,-0.08141863125750737
Co,1.3826923611463033,1.3331055809525272,1.3251157171414916,1.3016549338255143,-0.04958678019377616,-0.05757664400481177,-0.081037427320789,0.007989863811035613
Cr,1.4205636251907152,1.4153660599169213,1.4787517873178493,1.4735533818452866,-0.0051975652737938915,0.05818816212713407,0.052989756654571396,-0.06338572740092796
