,0
total_pairs,946.0
pairs_with_X3Y,914.0
pairs_with_Y3X,937.0
pairs_with_B2,946.0
pairs_with_all_3,905.0
pairs_with_both_L12,905.0
hea_pairs_total,465.0
hea_pairs_all_3,465.0
l12_mean_abs_diff_a,0.3277570159076012
l12_max_abs_diff_a,2.7372172442652474
l12_median_abs_diff_a,0.2499792800000007
omega_mean_abs_diff,0.08630005712547101
omega_std_diff,0.23007661690788067
vegard_rmse_X3Y,4.763564225452319
vegard_rmse_Y3X,5.670195319451645
n_elements_all_structures,51.0
mean_abs_dr_L12_maj,0.08785271977177492
mean_abs_dr_L12_min,0.12674066748027937
mean_abs_dr_B2,0.06241984983338972
rmse_L12_majority,3.297618509205348
rmse_L12_minority,3.297618509205348
rmse_B2,1.466885579831994
